# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210910_std2_1/: 12C13C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16
# plane	POL=1		POL=3		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1	
13	3.800e+01	6.164e+00	1.170e+02	1.082e+01	4.060e+02	2.015e+01	2.580e+02	1.606e+01	2.040e+02	1.428e+01	2.300e+02	1.517e+01	3.000e+02	1.732e+01	3.460e+02	1.860e+01	2.550e+02	1.597e+01	3.910e+02	1.977e+01	4.000e+02	2.000e+01	1.780e+02	1.334e+01	3.150e+02	1.775e+01	1.920e+02	1.386e+01	2.460e+02	1.568e+01	2.580e+02	1.606e+01
14	4.600e+01	6.782e+00	1.050e+02	1.025e+01	4.220e+02	2.054e+01	2.820e+02	1.679e+01	2.420e+02	1.556e+01	2.100e+02	1.449e+01	2.900e+02	1.703e+01	3.370e+02	1.836e+01	2.430e+02	1.559e+01	3.680e+02	1.918e+01	4.110e+02	2.027e+01	1.540e+02	1.241e+01	3.100e+02	1.761e+01	2.030e+02	1.425e+01	2.230e+02	1.493e+01	2.390e+02	1.546e+01
15	4.100e+01	6.403e+00	9.700e+01	9.849e+00	4.210e+02	2.052e+01	2.610e+02	1.616e+01	2.140e+02	1.463e+01	2.150e+02	1.466e+01	2.860e+02	1.691e+01	3.560e+02	1.887e+01	2.580e+02	1.606e+01	3.510e+02	1.873e+01	4.100e+02	2.025e+01	1.820e+02	1.349e+01	3.090e+02	1.758e+01	2.080e+02	1.442e+01	2.390e+02	1.546e+01	2.500e+02	1.581e+01
16	4.700e+01	6.856e+00	1.050e+02	1.025e+01	4.720e+02	2.173e+01	3.220e+02	1.794e+01	2.200e+02	1.483e+01	2.280e+02	1.510e+01	3.140e+02	1.772e+01	3.570e+02	1.889e+01	2.860e+02	1.691e+01	4.460e+02	2.112e+01	4.750e+02	2.179e+01	2.050e+02	1.432e+01	3.400e+02	1.844e+01	2.640e+02	1.625e+01	2.520e+02	1.587e+01	2.630e+02	1.622e+01
17	5.300e+01	7.280e+00	1.140e+02	1.068e+01	4.680e+02	2.163e+01	3.090e+02	1.758e+01	2.390e+02	1.546e+01	2.560e+02	1.600e+01	3.660e+02	1.913e+01	3.620e+02	1.903e+01	3.080e+02	1.755e+01	4.450e+02	2.110e+01	4.520e+02	2.126e+01	2.330e+02	1.526e+01	3.820e+02	1.954e+01	2.300e+02	1.517e+01	2.370e+02	1.539e+01	2.900e+02	1.703e+01
18	3.800e+01	6.164e+00	8.600e+01	9.274e+00	4.900e+02	2.214e+01	3.280e+02	1.811e+01	2.560e+02	1.600e+01	2.550e+02	1.597e+01	3.960e+02	1.990e+01	3.640e+02	1.908e+01	3.180e+02	1.783e+01	4.450e+02	2.110e+01	4.850e+02	2.202e+01	1.880e+02	1.371e+01	3.520e+02	1.876e+01	2.550e+02	1.597e+01	2.870e+02	1.694e+01	3.060e+02	1.749e+01
19	5.000e+01	7.071e+00	1.120e+02	1.058e+01	5.150e+02	2.269e+01	3.290e+02	1.814e+01	2.820e+02	1.679e+01	2.500e+02	1.581e+01	3.670e+02	1.916e+01	3.890e+02	1.972e+01	3.540e+02	1.881e+01	4.810e+02	2.193e+01	4.730e+02	2.175e+01	2.100e+02	1.449e+01	3.680e+02	1.918e+01	2.520e+02	1.587e+01	2.810e+02	1.676e+01	3.190e+02	1.786e+01
20	4.400e+01	6.633e+00	1.080e+02	1.039e+01	4.800e+02	2.191e+01	3.540e+02	1.881e+01	3.110e+02	1.764e+01	2.880e+02	1.697e+01	3.800e+02	1.949e+01	3.750e+02	1.936e+01	3.380e+02	1.838e+01	4.740e+02	2.177e+01	4.990e+02	2.234e+01	1.990e+02	1.411e+01	4.300e+02	2.074e+01	2.350e+02	1.533e+01	2.580e+02	1.606e+01	3.330e+02	1.825e+01
21	5.700e+01	7.550e+00	1.060e+02	1.030e+01	5.630e+02	2.373e+01	3.840e+02	1.960e+01	3.230e+02	1.797e+01	2.720e+02	1.649e+01	3.970e+02	1.992e+01	4.320e+02	2.078e+01	3.140e+02	1.772e+01	4.690e+02	2.166e+01	5.540e+02	2.354e+01	2.270e+02	1.507e+01	4.010e+02	2.002e+01	2.550e+02	1.597e+01	3.000e+02	1.732e+01	2.910e+02	1.706e+01
22	6.900e+01	8.307e+00	1.060e+02	1.030e+01	5.420e+02	2.328e+01	4.040e+02	2.010e+01	2.880e+02	1.697e+01	3.100e+02	1.761e+01	4.420e+02	2.102e+01	4.610e+02	2.147e+01	3.560e+02	1.887e+01	4.980e+02	2.232e+01	6.080e+02	2.466e+01	2.330e+02	1.526e+01	4.370e+02	2.090e+01	2.710e+02	1.646e+01	3.150e+02	1.775e+01	3.500e+02	1.871e+01
23	5.600e+01	7.483e+00	1.210e+02	1.100e+01	5.970e+02	2.443e+01	3.900e+02	1.975e+01	2.950e+02	1.718e+01	3.270e+02	1.808e+01	4.640e+02	2.154e+01	4.480e+02	2.117e+01	3.880e+02	1.970e+01	5.370e+02	2.317e+01	5.470e+02	2.339e+01	2.380e+02	1.543e+01	4.530e+02	2.128e+01	2.760e+02	1.661e+01	3.260e+02	1.806e+01	3.330e+02	1.825e+01
24	7.100e+01	8.426e+00	1.130e+02	1.063e+01	5.780e+02	2.404e+01	4.260e+02	2.064e+01	3.090e+02	1.758e+01	2.920e+02	1.709e+01	4.670e+02	2.161e+01	4.710e+02	2.170e+01	3.590e+02	1.895e+01	5.660e+02	2.379e+01	5.850e+02	2.419e+01	2.350e+02	1.533e+01	4.100e+02	2.025e+01	2.760e+02	1.661e+01	3.410e+02	1.847e+01	3.340e+02	1.828e+01
25	8.500e+01	9.220e+00	1.180e+02	1.086e+01	6.110e+02	2.472e+01	4.480e+02	2.117e+01	3.490e+02	1.868e+01	3.290e+02	1.814e+01	4.860e+02	2.205e+01	4.550e+02	2.133e+01	3.960e+02	1.990e+01	5.980e+02	2.445e+01	6.210e+02	2.492e+01	2.340e+02	1.530e+01	4.530e+02	2.128e+01	3.220e+02	1.794e+01	3.420e+02	1.849e+01	3.770e+02	1.942e+01
