# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210910_std2_1/: 13C/(12C+13C)*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
13	0.000e+00	0.000e+00	4.739e-01	4.745e-01	6.253e-01	2.287e-01	7.882e-01	2.792e-01	4.313e-01	2.493e-01	6.475e-01	3.057e-01	7.429e-01	2.919e-01	6.336e-01	2.706e-01	7.312e-01	2.873e-01	9.727e-01	3.009e-01	9.013e-01	2.664e-01	9.688e-01	4.578e-01	1.088e+00	3.449e-01	7.992e-01	4.004e-01	9.107e-01	4.082e-01	8.503e-01	3.811e-01
14	4.386e-01	6.210e-01	5.450e-01	5.457e-01	1.048e+00	2.914e-01	6.238e-01	2.451e-01	6.592e-01	2.953e-01	8.826e-01	3.469e-01	3.309e-01	1.912e-01	8.542e-01	3.126e-01	9.534e-01	3.186e-01	4.548e-01	2.036e-01	6.577e-01	2.196e-01	1.121e+00	4.795e-01	7.341e-01	2.780e-01	1.063e+00	4.544e-01	7.401e-01	3.707e-01	6.565e-01	3.100e-01
15	1.732e+00	1.230e+00	8.876e-01	7.263e-01	4.928e-01	1.935e-01	7.731e-01	2.657e-01	6.773e-01	2.893e-01	6.329e-01	2.835e-01	5.729e-01	2.446e-01	7.740e-01	2.832e-01	6.202e-01	2.536e-01	7.249e-01	2.491e-01	8.008e-01	2.366e-01	1.202e+00	4.924e-01	9.320e-01	3.204e-01	7.162e-01	3.587e-01	6.706e-01	3.359e-01	6.696e-01	3.162e-01
16	1.554e+00	1.274e+00	6.042e-01	6.051e-01	6.620e-01	2.210e-01	5.790e-01	2.192e-01	9.832e-01	3.381e-01	7.190e-01	2.941e-01	8.224e-01	2.827e-01	5.136e-01	2.300e-01	1.111e+00	3.286e-01	9.009e-01	2.663e-01	5.224e-01	1.849e-01	1.102e+00	4.511e-01	5.379e-01	2.297e-01	8.292e-01	3.716e-01	5.993e-01	3.208e-01	8.011e-01	3.277e-01
17	8.621e-01	8.639e-01	1.597e+00	1.014e+00	7.647e-01	2.310e-01	8.839e-01	2.612e-01	6.961e-01	2.847e-01	7.108e-01	2.793e-01	7.026e-01	2.570e-01	8.768e-01	2.929e-01	1.050e+00	3.104e-01	9.151e-01	2.594e-01	6.940e-01	2.050e-01	9.346e-01	4.189e-01	8.275e-01	2.690e-01	1.122e+00	4.252e-01	8.191e-01	3.500e-01	6.536e-01	2.928e-01
18	4.651e-01	6.585e-01	1.050e+00	7.443e-01	7.299e-01	2.156e-01	1.024e+00	2.794e-01	6.810e-01	2.676e-01	4.296e-01	2.151e-01	6.318e-01	2.311e-01	9.390e-01	2.976e-01	7.606e-01	2.472e-01	6.385e-01	2.132e-01	1.065e+00	2.516e-01	5.190e-01	3.001e-01	7.826e-01	2.614e-01	8.488e-01	3.627e-01	1.377e+00	4.371e-01	1.108e+00	3.705e-01
19	1.304e+00	1.069e+00	1.124e+00	7.968e-01	8.357e-01	2.279e-01	9.872e-01	2.694e-01	9.291e-01	3.021e-01	4.946e-01	2.214e-01	6.667e-01	2.361e-01	7.637e-01	2.625e-01	7.669e-01	2.430e-01	8.898e-01	2.473e-01	8.350e-01	2.160e-01	5.785e-01	3.097e-01	6.625e-01	2.346e-01	8.778e-01	3.592e-01	2.762e-01	1.955e-01	4.678e-01	2.342e-01
20	7.605e-01	7.619e-01	5.525e-01	5.533e-01	8.828e-01	2.324e-01	6.421e-01	2.087e-01	1.293e+00	3.531e-01	6.078e-01	2.387e-01	8.048e-01	2.550e-01	7.246e-01	2.490e-01	9.006e-01	2.553e-01	5.314e-01	1.881e-01	6.405e-01	1.852e-01	3.771e-01	2.387e-01	8.127e-01	2.513e-01	3.556e-01	2.251e-01	5.457e-01	2.732e-01	7.646e-01	2.896e-01
21	1.020e+00	8.353e-01	5.731e-01	5.739e-01	7.580e-01	2.067e-01	9.681e-01	2.465e-01	3.538e-01	1.771e-01	8.441e-01	2.744e-01	5.968e-01	2.113e-01	5.771e-01	2.110e-01	8.386e-01	2.377e-01	9.039e-01	2.339e-01	7.990e-01	1.971e-01	5.706e-01	2.857e-01	4.986e-01	1.887e-01	6.905e-01	2.950e-01	9.552e-01	3.385e-01	9.439e-01	3.154e-01
22	3.367e-01	4.766e-01	1.053e+00	7.463e-01	9.417e-01	2.225e-01	7.208e-01	2.003e-01	5.965e-01	2.258e-01	8.162e-01	2.653e-01	7.700e-01	2.326e-01	8.617e-01	2.547e-01	6.616e-01	2.045e-01	1.002e+00	2.335e-01	8.576e-01	2.026e-01	6.008e-01	2.836e-01	8.922e-01	2.529e-01	8.120e-01	3.191e-01	8.601e-01	3.147e-01	4.367e-01	2.061e-01
23	9.091e-01	7.440e-01	4.630e-01	4.635e-01	1.116e+00	2.387e-01	5.450e-01	1.726e-01	8.184e-01	2.531e-01	9.319e-01	2.755e-01	8.744e-01	2.385e-01	7.729e-01	2.390e-01	7.833e-01	2.136e-01	8.365e-01	2.129e-01	9.385e-01	2.053e-01	5.424e-01	2.716e-01	8.844e-01	2.412e-01	7.317e-01	2.993e-01	8.484e-01	3.105e-01	1.105e+00	3.268e-01
24	0.000e+00	0.000e+00	4.651e-01	4.657e-01	7.474e-01	1.933e-01	7.294e-01	1.919e-01	1.068e+00	2.813e-01	9.701e-01	2.807e-01	8.696e-01	2.372e-01	7.532e-01	2.275e-01	7.420e-01	2.023e-01	7.486e-01	1.970e-01	6.531e-01	1.635e-01	8.521e-01	3.228e-01	6.783e-01	2.097e-01	6.444e-01	2.752e-01	5.932e-01	2.425e-01	7.385e-01	2.538e-01
25	1.208e+00	8.571e-01	3.795e-01	3.799e-01	7.087e-01	1.803e-01	9.531e-01	2.163e-01	8.358e-01	2.470e-01	7.656e-01	2.367e-01	8.429e-01	2.257e-01	8.646e-01	2.403e-01	9.885e-01	2.304e-01	5.393e-01	1.628e-01	6.696e-01	1.677e-01	9.222e-01	3.268e-01	1.009e+00	2.491e-01	5.187e-01	2.449e-01	6.163e-01	2.520e-01	9.592e-01	2.776e-01
