# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210910_std2_1/: 12C14N
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16
# plane	POL=1		POL=2		POL=2		POL=2		POL=2		POL=1		POL=2		POL=1		POL=3		POL=2		POL=2		POL=2		POL=2		POL=2		POL=2		POL=2	
1	2.713e+03	5.209e+01	1.080e+04	1.039e+02	7.227e+04	2.688e+02	3.465e+04	1.861e+02	3.008e+04	1.735e+02	3.331e+04	1.825e+02	5.052e+04	2.248e+02	6.024e+04	2.454e+02	4.743e+04	2.178e+02	7.104e+04	2.665e+02	6.214e+04	2.493e+02	3.416e+04	1.848e+02	6.076e+04	2.465e+02	4.910e+04	2.216e+02	5.490e+04	2.343e+02	4.895e+04	2.212e+02
2	2.854e+03	5.342e+01	1.052e+04	1.026e+02	7.147e+04	2.673e+02	3.380e+04	1.838e+02	3.029e+04	1.740e+02	3.189e+04	1.786e+02	4.912e+04	2.216e+02	5.691e+04	2.386e+02	4.692e+04	2.166e+02	6.867e+04	2.620e+02	6.172e+04	2.484e+02	3.337e+04	1.827e+02	6.010e+04	2.452e+02	4.505e+04	2.122e+02	4.974e+04	2.230e+02	4.953e+04	2.226e+02
3	2.748e+03	5.242e+01	9.755e+03	9.877e+01	7.006e+04	2.647e+02	3.306e+04	1.818e+02	3.026e+04	1.740e+02	3.134e+04	1.770e+02	4.804e+04	2.192e+02	5.660e+04	2.379e+02	4.610e+04	2.147e+02	6.627e+04	2.574e+02	6.019e+04	2.453e+02	3.294e+04	1.815e+02	5.924e+04	2.434e+02	4.424e+04	2.103e+02	4.858e+04	2.204e+02	4.799e+04	2.191e+02
4	2.677e+03	5.174e+01	8.858e+03	9.412e+01	6.707e+04	2.590e+02	3.341e+04	1.828e+02	2.938e+04	1.714e+02	3.314e+04	1.820e+02	4.891e+04	2.212e+02	5.964e+04	2.442e+02	4.503e+04	2.122e+02	6.794e+04	2.606e+02	5.900e+04	2.429e+02	3.284e+04	1.812e+02	5.916e+04	2.432e+02	4.554e+04	2.134e+02	5.183e+04	2.277e+02	4.571e+04	2.138e+02
5	2.604e+03	5.103e+01	8.608e+03	9.278e+01	6.632e+04	2.575e+02	3.322e+04	1.823e+02	2.952e+04	1.718e+02	3.117e+04	1.766e+02	4.655e+04	2.158e+02	5.607e+04	2.368e+02	4.434e+04	2.106e+02	6.418e+04	2.533e+02	5.829e+04	2.414e+02	3.229e+04	1.797e+02	5.780e+04	2.404e+02	4.280e+04	2.069e+02	4.779e+04	2.186e+02	4.514e+04	2.125e+02
6	2.641e+03	5.139e+01	8.130e+03	9.017e+01	6.412e+04	2.532e+02	3.113e+04	1.764e+02	2.846e+04	1.687e+02	3.103e+04	1.762e+02	4.666e+04	2.160e+02	5.739e+04	2.396e+02	4.298e+04	2.073e+02	6.305e+04	2.511e+02	5.713e+04	2.390e+02	3.130e+04	1.769e+02	5.658e+04	2.379e+02	4.249e+04	2.061e+02	4.704e+04	2.169e+02	4.491e+04	2.119e+02
7	2.563e+03	5.063e+01	7.207e+03	8.489e+01	6.267e+04	2.503e+02	3.056e+04	1.748e+02	2.801e+04	1.674e+02	3.031e+04	1.741e+02	4.501e+04	2.122e+02	5.486e+04	2.342e+02	4.296e+04	2.073e+02	6.042e+04	2.458e+02	5.647e+04	2.376e+02	3.022e+04	1.738e+02	5.540e+04	2.354e+02	4.013e+04	2.003e+02	4.382e+04	2.093e+02	4.343e+04	2.084e+02
8	2.464e+03	4.964e+01	6.833e+03	8.266e+01	6.056e+04	2.461e+02	3.017e+04	1.737e+02	2.700e+04	1.643e+02	2.918e+04	1.708e+02	4.465e+04	2.113e+02	5.332e+04	2.309e+02	4.206e+04	2.051e+02	6.208e+04	2.492e+02	5.461e+04	2.337e+02	2.926e+04	1.711e+02	5.516e+04	2.349e+02	4.202e+04	2.050e+02	4.629e+04	2.152e+02	4.294e+04	2.072e+02
9	2.429e+03	4.928e+01	6.473e+03	8.045e+01	6.019e+04	2.453e+02	2.983e+04	1.727e+02	2.704e+04	1.644e+02	2.956e+04	1.719e+02	4.398e+04	2.097e+02	5.300e+04	2.302e+02	4.181e+04	2.045e+02	6.032e+04	2.456e+02	5.533e+04	2.352e+02	2.939e+04	1.714e+02	5.437e+04	2.332e+02	4.060e+04	2.015e+02	4.478e+04	2.116e+02	4.214e+04	2.053e+02
10	2.325e+03	4.822e+01	5.948e+03	7.712e+01	5.960e+04	2.441e+02	3.014e+04	1.736e+02	2.750e+04	1.658e+02	2.728e+04	1.652e+02	4.210e+04	2.052e+02	4.799e+04	2.191e+02	4.175e+04	2.043e+02	6.103e+04	2.470e+02	5.274e+04	2.297e+02	2.913e+04	1.707e+02	5.244e+04	2.290e+02	4.010e+04	2.002e+02	4.402e+04	2.098e+02	4.020e+04	2.005e+02
11	2.198e+03	4.688e+01	5.485e+03	7.406e+01	5.892e+04	2.427e+02	2.903e+04	1.704e+02	2.665e+04	1.632e+02	2.910e+04	1.706e+02	4.250e+04	2.062e+02	5.183e+04	2.277e+02	4.112e+04	2.028e+02	5.974e+04	2.444e+02	5.378e+04	2.319e+02	2.871e+04	1.694e+02	5.350e+04	2.313e+02	3.940e+04	1.985e+02	4.490e+04	2.119e+02	4.041e+04	2.010e+02
12	2.270e+03	4.764e+01	5.255e+03	7.249e+01	5.838e+04	2.416e+02	2.953e+04	1.718e+02	2.678e+04	1.637e+02	2.896e+04	1.702e+02	4.341e+04	2.084e+02	5.203e+04	2.281e+02	4.125e+04	2.031e+02	5.755e+04	2.399e+02	5.390e+04	2.322e+02	2.905e+04	1.704e+02	5.397e+04	2.323e+02	3.807e+04	1.951e+02	4.199e+04	2.049e+02	4.070e+04	2.018e+02
13	2.424e+03	4.923e+01	5.000e+03	7.071e+01	5.728e+04	2.393e+02	2.972e+04	1.724e+02	2.649e+04	1.628e+02	2.707e+04	1.645e+02	4.231e+04	2.057e+02	4.852e+04	2.203e+02	4.116e+04	2.029e+02	6.005e+04	2.451e+02	5.216e+04	2.284e+02	2.774e+04	1.665e+02	5.180e+04	2.276e+02	4.033e+04	2.008e+02	4.428e+04	2.104e+02	4.041e+04	2.010e+02
14	2.102e+03	4.585e+01	4.712e+03	6.864e+01	5.743e+04	2.396e+02	2.911e+04	1.706e+02	2.644e+04	1.626e+02	2.702e+04	1.644e+02	4.033e+04	2.008e+02	4.633e+04	2.152e+02	4.128e+04	2.032e+02	5.775e+04	2.403e+02	5.304e+04	2.303e+02	2.754e+04	1.660e+02	5.159e+04	2.271e+02	3.819e+04	1.954e+02	4.186e+04	2.046e+02	3.929e+04	1.982e+02
15	2.122e+03	4.607e+01	4.344e+03	6.591e+01	5.601e+04	2.367e+02	2.892e+04	1.700e+02	2.625e+04	1.620e+02	2.781e+04	1.668e+02	4.209e+04	2.052e+02	4.961e+04	2.227e+02	4.069e+04	2.017e+02	5.832e+04	2.415e+02	5.306e+04	2.303e+02	2.711e+04	1.646e+02	5.146e+04	2.268e+02	3.804e+04	1.950e+02	4.279e+04	2.069e+02	3.946e+04	1.986e+02
16	1.979e+03	4.449e+01	3.867e+03	6.219e+01	5.638e+04	2.375e+02	2.884e+04	1.698e+02	2.612e+04	1.616e+02	2.662e+04	1.632e+02	4.047e+04	2.012e+02	4.531e+04	2.129e+02	4.082e+04	2.020e+02	5.836e+04	2.416e+02	5.177e+04	2.275e+02	2.690e+04	1.640e+02	5.071e+04	2.252e+02	3.819e+04	1.954e+02	4.190e+04	2.047e+02	3.869e+04	1.967e+02
