# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210910_std2_1/: 12C2
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16
# plane	POL=2		POL=4		POL=4		POL=2		POL=4		POL=1		POL=1		POL=1		POL=2		POL=2		POL=1		POL=3		POL=1		POL=1		POL=2		POL=4	
13	1.866e+03	4.320e+01	5.149e+03	7.176e+01	2.078e+04	1.442e+02	1.355e+04	1.164e+02	1.090e+04	1.044e+02	1.042e+04	1.021e+02	1.550e+04	1.245e+02	1.663e+04	1.290e+02	1.271e+04	1.127e+02	1.944e+04	1.394e+02	2.027e+04	1.424e+02	8.715e+03	9.335e+01	1.573e+04	1.254e+02	1.018e+04	1.009e+02	1.118e+04	1.057e+02	1.262e+04	1.124e+02
14	1.857e+03	4.309e+01	4.711e+03	6.864e+01	2.133e+04	1.460e+02	1.381e+04	1.175e+02	1.120e+04	1.058e+02	1.081e+04	1.040e+02	1.542e+04	1.242e+02	1.635e+04	1.279e+02	1.316e+04	1.147e+02	1.869e+04	1.367e+02	2.103e+04	1.450e+02	9.002e+03	9.488e+01	1.600e+04	1.265e+02	1.019e+04	1.009e+02	1.091e+04	1.045e+02	1.292e+04	1.136e+02
15	1.976e+03	4.445e+01	4.723e+03	6.872e+01	2.184e+04	1.478e+02	1.444e+04	1.202e+02	1.121e+04	1.059e+02	1.148e+04	1.071e+02	1.650e+04	1.284e+02	1.779e+04	1.334e+02	1.369e+04	1.170e+02	2.007e+04	1.417e+02	2.190e+04	1.480e+02	9.205e+03	9.594e+01	1.664e+04	1.290e+02	1.074e+04	1.036e+02	1.163e+04	1.078e+02	1.310e+04	1.145e+02
16	2.133e+03	4.618e+01	4.722e+03	6.872e+01	2.264e+04	1.505e+02	1.475e+04	1.215e+02	1.195e+04	1.093e+02	1.166e+04	1.080e+02	1.672e+04	1.293e+02	1.760e+04	1.327e+02	1.425e+04	1.194e+02	2.070e+04	1.439e+02	2.249e+04	1.500e+02	9.460e+03	9.726e+01	1.696e+04	1.302e+02	1.096e+04	1.047e+02	1.170e+04	1.082e+02	1.355e+04	1.164e+02
17	2.141e+03	4.627e+01	4.730e+03	6.877e+01	2.356e+04	1.535e+02	1.542e+04	1.242e+02	1.247e+04	1.117e+02	1.258e+04	1.122e+02	1.766e+04	1.329e+02	1.861e+04	1.364e+02	1.481e+04	1.217e+02	2.112e+04	1.453e+02	2.315e+04	1.522e+02	9.696e+03	9.847e+01	1.770e+04	1.331e+02	1.115e+04	1.056e+02	1.216e+04	1.103e+02	1.423e+04	1.193e+02
18	2.265e+03	4.759e+01	4.870e+03	6.979e+01	2.454e+04	1.567e+02	1.639e+04	1.280e+02	1.295e+04	1.138e+02	1.273e+04	1.128e+02	1.834e+04	1.354e+02	1.897e+04	1.377e+02	1.587e+04	1.260e+02	2.255e+04	1.502e+02	2.395e+04	1.547e+02	1.019e+04	1.010e+02	1.849e+04	1.360e+02	1.172e+04	1.083e+02	1.288e+04	1.135e+02	1.487e+04	1.219e+02
19	2.351e+03	4.849e+01	4.984e+03	7.060e+01	2.525e+04	1.589e+02	1.642e+04	1.281e+02	1.366e+04	1.169e+02	1.292e+04	1.137e+02	1.826e+04	1.351e+02	1.919e+04	1.385e+02	1.618e+04	1.272e+02	2.313e+04	1.521e+02	2.438e+04	1.561e+02	1.040e+04	1.020e+02	1.912e+04	1.383e+02	1.189e+04	1.091e+02	1.291e+04	1.136e+02	1.523e+04	1.234e+02
20	2.497e+03	4.997e+01	5.193e+03	7.206e+01	2.636e+04	1.624e+02	1.715e+04	1.310e+02	1.418e+04	1.191e+02	1.323e+04	1.150e+02	1.862e+04	1.365e+02	1.940e+04	1.393e+02	1.663e+04	1.290e+02	2.346e+04	1.532e+02	2.510e+04	1.584e+02	1.085e+04	1.042e+02	1.961e+04	1.400e+02	1.210e+04	1.100e+02	1.357e+04	1.165e+02	1.578e+04	1.256e+02
21	2.474e+03	4.974e+01	5.390e+03	7.342e+01	2.727e+04	1.651e+02	1.824e+04	1.351e+02	1.458e+04	1.207e+02	1.461e+04	1.209e+02	2.037e+04	1.427e+02	2.172e+04	1.474e+02	1.746e+04	1.321e+02	2.461e+04	1.569e+02	2.719e+04	1.649e+02	1.119e+04	1.058e+02	2.034e+04	1.426e+02	1.299e+04	1.140e+02	1.466e+04	1.211e+02	1.663e+04	1.290e+02
22	2.856e+03	5.344e+01	5.535e+03	7.440e+01	2.838e+04	1.685e+02	1.912e+04	1.383e+02	1.476e+04	1.215e+02	1.485e+04	1.219e+02	2.136e+04	1.461e+02	2.168e+04	1.473e+02	1.828e+04	1.352e+02	2.642e+04	1.625e+02	2.748e+04	1.658e+02	1.157e+04	1.076e+02	2.116e+04	1.455e+02	1.350e+04	1.162e+02	1.523e+04	1.234e+02	1.726e+04	1.314e+02
23	2.945e+03	5.427e+01	5.563e+03	7.459e+01	2.872e+04	1.695e+02	1.933e+04	1.390e+02	1.575e+04	1.255e+02	1.502e+04	1.225e+02	2.125e+04	1.458e+02	2.130e+04	1.460e+02	1.892e+04	1.376e+02	2.697e+04	1.642e+02	2.845e+04	1.687e+02	1.200e+04	1.095e+02	2.136e+04	1.461e+02	1.331e+04	1.154e+02	1.560e+04	1.249e+02	1.774e+04	1.332e+02
24	2.920e+03	5.404e+01	5.938e+03	7.706e+01	3.015e+04	1.736e+02	2.018e+04	1.421e+02	1.627e+04	1.276e+02	1.528e+04	1.236e+02	2.202e+04	1.484e+02	2.234e+04	1.495e+02	1.974e+04	1.405e+02	2.760e+04	1.661e+02	2.972e+04	1.724e+02	1.246e+04	1.116e+02	2.195e+04	1.481e+02	1.391e+04	1.180e+02	1.630e+04	1.277e+02	1.827e+04	1.352e+02
25	3.056e+03	5.528e+01	6.134e+03	7.832e+01	3.059e+04	1.749e+02	2.079e+04	1.442e+02	1.634e+04	1.278e+02	1.593e+04	1.262e+02	2.228e+04	1.493e+02	2.284e+04	1.511e+02	1.995e+04	1.412e+02	2.853e+04	1.689e+02	2.991e+04	1.730e+02	1.256e+04	1.121e+02	2.243e+04	1.498e+02	1.450e+04	1.204e+02	1.635e+04	1.279e+02	1.872e+04	1.368e+02
