# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210910_std2_1/: Esi
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16
# plane	POL=3		POL=3		POL=3		POL=1		POL=4		POL=1		POL=1		POL=1		POL=2		POL=1		POL=1		POL=1		POL=4		POL=1		POL=1		POL=1	
13	1.003e+04	1.002e+02	1.642e+04	1.281e+02	5.420e+04	2.328e+02	3.185e+04	1.785e+02	3.133e+04	1.770e+02	2.504e+04	1.582e+02	3.669e+04	1.915e+02	4.076e+04	2.019e+02	4.057e+04	2.014e+02	4.629e+04	2.151e+02	5.523e+04	2.350e+02	1.826e+04	1.351e+02	4.955e+04	2.226e+02	3.154e+04	1.776e+02	2.898e+04	1.702e+02	3.179e+04	1.783e+02
14	9.779e+03	9.889e+01	1.637e+04	1.280e+02	5.446e+04	2.334e+02	3.225e+04	1.796e+02	3.186e+04	1.785e+02	2.524e+04	1.589e+02	3.644e+04	1.909e+02	4.066e+04	2.016e+02	4.086e+04	2.021e+02	4.517e+04	2.125e+02	5.651e+04	2.377e+02	1.827e+04	1.352e+02	4.962e+04	2.228e+02	3.134e+04	1.770e+02	2.895e+04	1.701e+02	3.116e+04	1.765e+02
15	9.824e+03	9.912e+01	1.616e+04	1.271e+02	5.535e+04	2.353e+02	3.260e+04	1.806e+02	3.177e+04	1.782e+02	2.606e+04	1.614e+02	3.771e+04	1.942e+02	4.236e+04	2.058e+02	4.110e+04	2.027e+02	4.722e+04	2.173e+02	5.733e+04	2.394e+02	1.847e+04	1.359e+02	5.078e+04	2.253e+02	3.195e+04	1.788e+02	2.967e+04	1.723e+02	3.222e+04	1.795e+02
16	9.448e+03	9.720e+01	1.594e+04	1.263e+02	5.570e+04	2.360e+02	3.301e+04	1.817e+02	3.208e+04	1.791e+02	2.590e+04	1.609e+02	3.720e+04	1.929e+02	4.163e+04	2.040e+02	4.188e+04	2.046e+02	4.688e+04	2.165e+02	5.757e+04	2.399e+02	1.886e+04	1.373e+02	5.059e+04	2.249e+02	3.254e+04	1.804e+02	2.955e+04	1.719e+02	3.177e+04	1.782e+02
17	9.775e+03	9.887e+01	1.616e+04	1.271e+02	5.628e+04	2.372e+02	3.345e+04	1.829e+02	3.265e+04	1.807e+02	2.734e+04	1.653e+02	3.843e+04	1.960e+02	4.294e+04	2.072e+02	4.235e+04	2.058e+02	4.813e+04	2.194e+02	5.865e+04	2.422e+02	1.866e+04	1.366e+02	5.213e+04	2.283e+02	3.216e+04	1.793e+02	2.981e+04	1.727e+02	3.292e+04	1.814e+02
18	9.713e+03	9.855e+01	1.607e+04	1.268e+02	5.630e+04	2.373e+02	3.364e+04	1.834e+02	3.295e+04	1.815e+02	2.637e+04	1.624e+02	3.786e+04	1.946e+02	4.224e+04	2.055e+02	4.250e+04	2.062e+02	4.811e+04	2.193e+02	5.873e+04	2.423e+02	1.899e+04	1.378e+02	5.205e+04	2.281e+02	3.255e+04	1.804e+02	3.024e+04	1.739e+02	3.231e+04	1.798e+02
19	9.602e+03	9.799e+01	1.610e+04	1.269e+02	5.721e+04	2.392e+02	3.405e+04	1.845e+02	3.348e+04	1.830e+02	2.682e+04	1.638e+02	3.843e+04	1.960e+02	4.257e+04	2.063e+02	4.350e+04	2.086e+02	4.792e+04	2.189e+02	5.921e+04	2.433e+02	1.912e+04	1.383e+02	5.282e+04	2.298e+02	3.243e+04	1.801e+02	3.062e+04	1.750e+02	3.271e+04	1.809e+02
20	9.741e+03	9.870e+01	1.652e+04	1.285e+02	5.808e+04	2.410e+02	3.454e+04	1.859e+02	3.382e+04	1.839e+02	2.712e+04	1.647e+02	3.865e+04	1.966e+02	4.327e+04	2.080e+02	4.415e+04	2.101e+02	4.823e+04	2.196e+02	5.953e+04	2.440e+02	1.983e+04	1.408e+02	5.328e+04	2.308e+02	3.353e+04	1.831e+02	3.085e+04	1.756e+02	3.344e+04	1.829e+02
21	1.026e+04	1.013e+02	1.672e+04	1.293e+02	5.895e+04	2.428e+02	3.480e+04	1.866e+02	3.395e+04	1.843e+02	2.824e+04	1.681e+02	3.970e+04	1.993e+02	4.454e+04	2.111e+02	4.406e+04	2.099e+02	4.958e+04	2.227e+02	6.055e+04	2.461e+02	1.990e+04	1.411e+02	5.476e+04	2.340e+02	3.363e+04	1.834e+02	3.125e+04	1.768e+02	3.378e+04	1.838e+02
22	1.003e+04	1.001e+02	1.677e+04	1.295e+02	5.946e+04	2.438e+02	3.521e+04	1.877e+02	3.472e+04	1.863e+02	2.794e+04	1.671e+02	4.001e+04	2.000e+02	4.424e+04	2.103e+02	4.498e+04	2.121e+02	5.024e+04	2.241e+02	6.063e+04	2.462e+02	2.029e+04	1.425e+02	5.539e+04	2.354e+02	3.402e+04	1.844e+02	3.217e+04	1.794e+02	3.438e+04	1.854e+02
23	1.058e+04	1.028e+02	1.716e+04	1.310e+02	5.996e+04	2.449e+02	3.558e+04	1.886e+02	3.490e+04	1.868e+02	2.812e+04	1.677e+02	3.997e+04	1.999e+02	4.404e+04	2.099e+02	4.580e+04	2.140e+02	5.040e+04	2.245e+02	6.162e+04	2.482e+02	2.051e+04	1.432e+02	5.576e+04	2.361e+02	3.445e+04	1.856e+02	3.183e+04	1.784e+02	3.465e+04	1.861e+02
24	1.077e+04	1.038e+02	1.751e+04	1.323e+02	6.091e+04	2.468e+02	3.595e+04	1.896e+02	3.507e+04	1.873e+02	2.851e+04	1.688e+02	4.041e+04	2.010e+02	4.504e+04	2.122e+02	4.676e+04	2.162e+02	5.114e+04	2.261e+02	6.269e+04	2.504e+02	2.081e+04	1.443e+02	5.636e+04	2.374e+02	3.506e+04	1.873e+02	3.280e+04	1.811e+02	3.558e+04	1.886e+02
25	1.074e+04	1.036e+02	1.741e+04	1.320e+02	6.158e+04	2.481e+02	3.622e+04	1.903e+02	3.554e+04	1.885e+02	2.877e+04	1.696e+02	4.026e+04	2.006e+02	4.487e+04	2.118e+02	4.675e+04	2.162e+02	5.098e+04	2.258e+02	6.254e+04	2.501e+02	2.089e+04	1.445e+02	5.691e+04	2.386e+02	3.556e+04	1.886e+02	3.275e+04	1.810e+02	3.538e+04	1.881e+02
