# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210910_std2_1/: (12C15N/(12C14N+12C15N))*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
13	2.469e-01	1.426e-01	3.388e-01	1.163e-01	3.618e-01	3.551e-02	4.088e-01	5.240e-02	3.798e-01	5.350e-02	4.707e-01	5.890e-02	3.978e-01	4.332e-02	3.716e-01	3.910e-02	4.186e-01	4.505e-02	4.030e-01	3.660e-02	3.534e-01	3.678e-02	3.557e-01	5.060e-02	4.114e-01	3.981e-02	3.582e-01	4.211e-02	4.519e-01	4.513e-02	3.944e-01	4.414e-02
14	9.506e-02	9.508e-02	4.857e-01	1.434e-01	3.765e-01	3.617e-02	4.241e-01	5.392e-02	3.730e-01	5.307e-02	4.532e-01	5.785e-02	4.419e-01	4.676e-02	3.635e-01	3.957e-02	3.668e-01	4.212e-02	3.417e-01	3.437e-02	3.888e-01	3.825e-02	3.546e-01	5.070e-02	3.746e-01	3.807e-02	3.652e-01	4.369e-02	4.424e-01	4.592e-02	4.157e-01	4.596e-02
15	4.223e-01	1.993e-01	4.127e-01	1.377e-01	3.576e-01	3.570e-02	3.824e-01	5.138e-02	4.135e-01	5.606e-02	3.725e-01	5.171e-02	3.622e-01	4.145e-02	3.515e-01	3.761e-02	3.502e-01	4.146e-02	3.945e-01	3.674e-02	4.185e-01	3.968e-02	3.968e-01	5.406e-02	3.833e-01	3.856e-02	3.824e-01	4.479e-02	4.606e-01	4.634e-02	3.686e-01	4.318e-02
16	3.525e-01	1.886e-01	5.145e-01	1.629e-01	3.904e-01	3.718e-02	4.007e-01	5.266e-02	3.928e-01	5.478e-02	4.040e-01	5.503e-02	3.668e-01	4.254e-02	3.782e-01	4.082e-02	3.248e-01	3.986e-02	4.010e-01	3.703e-02	3.848e-01	3.852e-02	3.778e-01	5.295e-02	3.616e-01	3.773e-02	4.613e-01	4.909e-02	4.207e-01	4.476e-02	3.836e-01	4.449e-02
17	4.491e-01	2.119e-01	3.839e-01	1.403e-01	3.728e-01	3.650e-02	3.969e-01	5.263e-02	4.217e-01	5.642e-02	3.554e-01	4.981e-02	3.767e-01	4.256e-02	3.355e-01	3.730e-02	3.879e-01	4.341e-02	4.214e-01	3.843e-02	4.038e-01	3.926e-02	4.253e-01	5.542e-02	3.714e-01	3.814e-02	3.884e-01	4.566e-02	3.646e-01	4.200e-02	3.926e-01	4.465e-02
18	3.590e-01	1.921e-01	5.470e-01	1.690e-01	4.052e-01	3.791e-02	3.330e-01	4.786e-02	4.142e-01	5.616e-02	3.635e-01	5.171e-02	4.355e-01	4.595e-02	4.231e-01	4.267e-02	3.302e-01	3.993e-02	3.530e-01	3.473e-02	3.670e-01	3.759e-02	3.881e-01	5.362e-02	4.306e-01	4.092e-02	3.360e-01	4.139e-02	3.656e-01	4.117e-02	4.244e-01	4.707e-02
19	4.405e-01	2.205e-01	4.385e-01	1.552e-01	4.139e-01	3.822e-02	3.653e-01	4.998e-02	4.482e-01	5.769e-02	3.906e-01	5.422e-02	3.727e-01	4.307e-02	3.311e-01	3.853e-02	3.405e-01	4.074e-02	3.573e-01	3.507e-02	4.061e-01	3.967e-02	3.325e-01	4.880e-02	3.725e-01	3.826e-02	4.569e-01	4.962e-02	3.949e-01	4.352e-02	4.132e-01	4.640e-02
20	3.671e-01	1.964e-01	5.701e-01	1.805e-01	4.178e-01	3.875e-02	3.680e-01	4.967e-02	4.198e-01	5.542e-02	3.296e-01	5.001e-02	3.968e-01	4.498e-02	4.366e-01	4.461e-02	4.087e-01	4.450e-02	3.646e-01	3.596e-02	3.943e-01	3.957e-02	4.047e-01	5.413e-02	3.282e-01	3.628e-02	3.754e-01	4.539e-02	3.669e-01	4.227e-02	3.882e-01	4.487e-02
21	1.513e-01	1.236e-01	4.380e-01	1.657e-01	3.340e-01	3.447e-02	4.198e-01	5.337e-02	3.876e-01	5.406e-02	3.623e-01	5.077e-02	3.379e-01	4.028e-02	3.932e-01	4.071e-02	3.860e-01	4.333e-02	3.996e-01	3.754e-02	3.592e-01	3.689e-02	4.051e-01	5.519e-02	3.722e-01	3.812e-02	3.964e-01	4.582e-02	3.807e-01	4.260e-02	3.739e-01	4.366e-02
22	2.756e-01	1.744e-01	2.422e-01	1.212e-01	3.938e-01	3.742e-02	4.331e-01	5.357e-02	3.933e-01	5.459e-02	4.152e-01	5.481e-02	3.689e-01	4.208e-02	3.623e-01	3.968e-02	3.553e-01	4.121e-02	3.851e-01	3.619e-02	3.564e-01	3.729e-02	3.463e-01	5.110e-02	3.788e-01	3.850e-02	3.852e-01	4.453e-02	3.892e-01	4.226e-02	4.032e-01	4.555e-02
23	2.523e-01	1.597e-01	5.273e-01	1.811e-01	3.650e-01	3.609e-02	3.900e-01	5.040e-02	4.114e-01	5.528e-02	3.621e-01	5.204e-02	4.022e-01	4.474e-02	3.908e-01	4.256e-02	3.919e-01	4.319e-02	4.193e-01	3.769e-02	3.851e-01	3.864e-02	4.438e-01	5.620e-02	4.133e-01	4.067e-02	4.205e-01	4.692e-02	4.049e-01	4.321e-02	4.190e-01	4.646e-02
24	5.051e-01	2.262e-01	3.287e-01	1.471e-01	4.456e-01	3.990e-02	3.920e-01	5.065e-02	4.030e-01	5.415e-02	3.605e-01	5.155e-02	3.876e-01	4.379e-02	3.871e-01	4.203e-02	3.685e-01	4.204e-02	3.399e-01	3.410e-02	3.627e-01	3.744e-02	3.382e-01	4.938e-02	3.811e-01	3.914e-02	4.307e-01	4.733e-02	4.462e-01	4.513e-02	3.885e-01	4.432e-02
25	3.176e-01	1.835e-01	4.511e-01	1.771e-01	3.800e-01	3.677e-02	3.499e-01	4.766e-02	2.923e-01	4.626e-02	3.759e-01	5.268e-02	3.600e-01	4.246e-02	4.173e-01	4.403e-02	3.937e-01	4.313e-02	4.217e-01	3.791e-02	3.867e-01	3.880e-02	3.304e-01	4.930e-02	3.550e-01	3.755e-02	4.218e-01	4.663e-02	3.872e-01	4.241e-02	3.826e-01	4.437e-02
