# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210910_std2_1/: (12C13C/(12C2*2+12C13C))*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
13	1.008e+00	2.324e-01	1.123e+00	1.477e-01	9.674e-01	6.823e-02	9.430e-01	8.342e-02	9.275e-01	9.227e-02	1.092e+00	1.024e-01	9.586e-01	7.865e-02	1.029e+00	7.867e-02	9.933e-01	8.841e-02	9.958e-01	7.158e-02	9.771e-01	6.943e-02	1.011e+00	1.077e-01	9.912e-01	7.938e-02	9.339e-01	9.576e-02	1.088e+00	9.864e-02	1.011e+00	8.951e-02
14	1.223e+00	2.567e-01	1.102e+00	1.530e-01	9.797e-01	6.778e-02	1.011e+00	8.557e-02	1.069e+00	9.768e-02	9.622e-01	9.436e-02	9.318e-01	7.774e-02	1.020e+00	7.899e-02	9.146e-01	8.336e-02	9.750e-01	7.223e-02	9.676e-01	6.783e-02	8.481e-01	9.706e-02	9.598e-01	7.746e-02	9.863e-01	9.839e-02	1.012e+00	9.630e-02	9.168e-01	8.425e-02
15	1.027e+00	2.280e-01	1.016e+00	1.467e-01	9.546e-01	6.611e-02	8.956e-01	7.876e-02	9.456e-01	9.185e-02	9.277e-01	8.990e-02	8.593e-01	7.217e-02	9.905e-01	7.461e-02	9.332e-01	8.255e-02	8.669e-01	6.572e-02	9.273e-01	6.507e-02	9.789e-01	1.031e-01	9.200e-01	7.436e-02	9.594e-01	9.453e-02	1.017e+00	9.352e-02	9.453e-01	8.495e-02
16	1.090e+00	2.260e-01	1.100e+00	1.526e-01	1.032e+00	6.749e-02	1.080e+00	8.554e-02	9.121e-01	8.737e-02	9.685e-01	9.115e-02	9.303e-01	7.460e-02	1.004e+00	7.552e-02	9.935e-01	8.349e-02	1.066e+00	7.177e-02	1.045e+00	6.817e-02	1.072e+00	1.064e-01	9.925e-01	7.650e-02	1.190e+00	1.042e-01	1.066e+00	9.545e-02	9.609e-01	8.420e-02
17	1.223e+00	2.390e-01	1.191e+00	1.587e-01	9.833e-01	6.460e-02	9.917e-01	8.018e-02	9.491e-01	8.723e-02	1.007e+00	8.949e-02	1.025e+00	7.619e-02	9.631e-01	7.194e-02	1.029e+00	8.337e-02	1.043e+00	7.026e-02	9.667e-01	6.462e-02	1.187e+00	1.107e-01	1.067e+00	7.764e-02	1.021e+00	9.572e-02	9.650e-01	8.908e-02	1.009e+00	8.418e-02
18	8.319e-01	1.916e-01	8.752e-01	1.341e-01	9.884e-01	6.346e-02	9.909e-01	7.777e-02	9.785e-01	8.692e-02	9.918e-01	8.827e-02	1.068e+00	7.633e-02	9.504e-01	7.078e-02	9.921e-01	7.907e-02	9.772e-01	6.584e-02	1.003e+00	6.470e-02	9.137e-01	9.467e-02	9.430e-01	7.142e-02	1.076e+00	9.580e-02	1.102e+00	9.247e-02	1.018e+00	8.275e-02
19	1.052e+00	2.116e-01	1.111e+00	1.493e-01	1.010e+00	6.324e-02	9.921e-01	7.774e-02	1.022e+00	8.650e-02	9.583e-01	8.613e-02	9.947e-01	7.380e-02	1.003e+00	7.230e-02	1.082e+00	8.177e-02	1.029e+00	6.671e-02	9.607e-01	6.277e-02	9.993e-01	9.802e-02	9.534e-01	7.062e-02	1.048e+00	9.389e-02	1.077e+00	9.131e-02	1.036e+00	8.248e-02
20	8.734e-01	1.870e-01	1.029e+00	1.408e-01	9.023e-01	5.851e-02	1.021e+00	7.717e-02	1.085e+00	8.746e-02	1.077e+00	9.024e-02	1.010e+00	7.363e-02	9.572e-01	7.024e-02	1.006e+00	7.777e-02	1.000e+00	6.530e-02	9.844e-01	6.263e-02	9.089e-01	9.153e-02	1.085e+00	7.437e-02	9.621e-01	8.918e-02	9.416e-01	8.330e-02	1.044e+00	8.132e-02
21	1.139e+00	2.146e-01	9.737e-01	1.344e-01	1.022e+00	6.121e-02	1.042e+00	7.557e-02	1.096e+00	8.671e-02	9.225e-01	7.947e-02	9.651e-01	6.883e-02	9.848e-01	6.734e-02	8.910e-01	7.143e-02	9.437e-01	6.192e-02	1.008e+00	6.090e-02	1.004e+00	9.472e-02	9.760e-01	6.926e-02	9.721e-01	8.651e-02	1.013e+00	8.310e-02	8.673e-01	7.222e-02
22	1.194e+00	2.044e-01	9.485e-01	1.309e-01	9.459e-01	5.773e-02	1.046e+00	7.396e-02	9.660e-01	8.089e-02	1.033e+00	8.338e-02	1.024e+00	6.925e-02	1.052e+00	6.964e-02	9.643e-01	7.263e-02	9.337e-01	5.945e-02	1.094e+00	6.310e-02	9.970e-01	9.284e-02	1.022e+00	6.949e-02	9.938e-01	8.580e-02	1.024e+00	8.200e-02	1.003e+00	7.624e-02
23	9.418e-01	1.788e-01	1.076e+00	1.391e-01	1.029e+00	5.985e-02	9.988e-01	7.188e-02	9.280e-01	7.677e-02	1.077e+00	8.470e-02	1.080e+00	7.129e-02	1.040e+00	6.988e-02	1.015e+00	7.322e-02	9.857e-01	6.046e-02	9.521e-01	5.785e-02	9.819e-01	9.046e-02	1.050e+00	7.010e-02	1.026e+00	8.781e-02	1.034e+00	8.139e-02	9.300e-01	7.241e-02
24	1.201e+00	2.028e-01	9.425e-01	1.260e-01	9.494e-01	5.612e-02	1.045e+00	7.195e-02	9.407e-01	7.604e-02	9.468e-01	7.873e-02	1.049e+00	6.903e-02	1.043e+00	6.833e-02	9.009e-01	6.755e-02	1.015e+00	6.065e-02	9.746e-01	5.726e-02	9.346e-01	8.662e-02	9.254e-01	6.493e-02	9.821e-01	8.402e-02	1.035e+00	7.972e-02	9.058e-01	7.041e-02
25	1.372e+00	2.119e-01	9.527e-01	1.246e-01	9.889e-01	5.686e-02	1.066e+00	7.162e-02	1.056e+00	8.040e-02	1.022e+00	8.009e-02	1.079e+00	6.958e-02	9.862e-01	6.571e-02	9.828e-01	7.019e-02	1.037e+00	6.030e-02	1.027e+00	5.860e-02	9.229e-01	8.572e-02	9.998e-01	6.677e-02	1.098e+00	8.702e-02	1.035e+00	7.956e-02	9.969e-01	7.297e-02
