# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210910_std2_1/: 32S
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16
# plane	POL=0		POL=2		POL=1		POL=3		POL=4		POL=1		POL=1		POL=1		POL=2		POL=2		POL=1		POL=1		POL=1		POL=1		POL=1		POL=5	
13	7.500e+01	8.660e+00	1.720e+02	1.311e+01	7.690e+02	2.773e+01	6.820e+02	2.612e+01	4.550e+02	2.133e+01	4.580e+02	2.140e+01	4.960e+02	2.227e+01	5.050e+02	2.247e+01	5.280e+02	2.298e+01	6.200e+02	2.490e+01	7.730e+02	2.780e+01	2.650e+02	1.628e+01	1.071e+03	3.273e+01	3.230e+02	1.797e+01	3.350e+02	1.830e+01	3.440e+02	1.855e+01
14	5.000e+01	7.071e+00	1.480e+02	1.217e+01	8.380e+02	2.895e+01	6.740e+02	2.596e+01	4.740e+02	2.177e+01	4.340e+02	2.083e+01	5.410e+02	2.326e+01	5.160e+02	2.272e+01	5.990e+02	2.447e+01	6.330e+02	2.516e+01	8.290e+02	2.879e+01	2.740e+02	1.655e+01	1.063e+03	3.260e+01	3.160e+02	1.778e+01	3.170e+02	1.780e+01	3.690e+02	1.921e+01
15	5.100e+01	7.141e+00	1.380e+02	1.175e+01	8.740e+02	2.956e+01	7.180e+02	2.680e+01	5.020e+02	2.241e+01	4.600e+02	2.145e+01	6.120e+02	2.474e+01	5.100e+02	2.258e+01	6.020e+02	2.454e+01	6.570e+02	2.563e+01	8.520e+02	2.919e+01	2.530e+02	1.591e+01	1.122e+03	3.350e+01	3.420e+02	1.849e+01	3.510e+02	1.873e+01	4.090e+02	2.022e+01
16	6.700e+01	8.185e+00	1.120e+02	1.058e+01	8.910e+02	2.985e+01	7.110e+02	2.666e+01	5.010e+02	2.238e+01	4.930e+02	2.220e+01	5.770e+02	2.402e+01	5.320e+02	2.307e+01	6.240e+02	2.498e+01	6.970e+02	2.640e+01	9.420e+02	3.069e+01	3.030e+02	1.741e+01	1.127e+03	3.357e+01	3.600e+02	1.897e+01	3.790e+02	1.947e+01	3.810e+02	1.952e+01
17	4.400e+01	6.633e+00	8.800e+01	9.381e+00	9.620e+02	3.102e+01	7.740e+02	2.782e+01	5.340e+02	2.311e+01	5.700e+02	2.387e+01	5.900e+02	2.429e+01	5.460e+02	2.337e+01	7.120e+02	2.668e+01	7.080e+02	2.661e+01	9.230e+02	3.038e+01	3.230e+02	1.797e+01	1.171e+03	3.422e+01	3.880e+02	1.970e+01	3.980e+02	1.995e+01	4.190e+02	2.047e+01
18	4.900e+01	7.000e+00	8.100e+01	9.000e+00	1.000e+03	3.162e+01	7.750e+02	2.784e+01	5.280e+02	2.298e+01	5.300e+02	2.302e+01	6.410e+02	2.532e+01	5.800e+02	2.408e+01	7.690e+02	2.773e+01	7.270e+02	2.696e+01	1.002e+03	3.165e+01	3.450e+02	1.857e+01	1.315e+03	3.626e+01	3.830e+02	1.957e+01	4.260e+02	2.064e+01	4.290e+02	2.071e+01
19	3.900e+01	6.245e+00	8.400e+01	9.165e+00	1.017e+03	3.189e+01	7.990e+02	2.827e+01	5.860e+02	2.421e+01	5.680e+02	2.383e+01	6.600e+02	2.569e+01	6.010e+02	2.452e+01	7.320e+02	2.706e+01	7.650e+02	2.766e+01	9.740e+02	3.121e+01	3.200e+02	1.789e+01	1.224e+03	3.499e+01	4.050e+02	2.012e+01	4.220e+02	2.054e+01	4.810e+02	2.193e+01
20	5.200e+01	7.211e+00	7.900e+01	8.888e+00	9.990e+02	3.161e+01	8.290e+02	2.879e+01	5.970e+02	2.443e+01	5.940e+02	2.437e+01	6.540e+02	2.557e+01	6.060e+02	2.462e+01	8.010e+02	2.830e+01	8.060e+02	2.839e+01	1.018e+03	3.191e+01	3.400e+02	1.844e+01	1.177e+03	3.431e+01	4.010e+02	2.002e+01	4.350e+02	2.086e+01	5.170e+02	2.274e+01
21	6.700e+01	8.185e+00	7.700e+01	8.775e+00	1.052e+03	3.243e+01	9.030e+02	3.005e+01	6.340e+02	2.518e+01	6.240e+02	2.498e+01	6.890e+02	2.625e+01	6.460e+02	2.542e+01	8.190e+02	2.862e+01	8.660e+02	2.943e+01	1.092e+03	3.305e+01	3.100e+02	1.761e+01	1.451e+03	3.809e+01	4.630e+02	2.152e+01	4.380e+02	2.093e+01	5.300e+02	2.302e+01
22	4.700e+01	6.856e+00	7.100e+01	8.426e+00	1.130e+03	3.362e+01	9.400e+02	3.066e+01	6.460e+02	2.542e+01	6.370e+02	2.524e+01	7.370e+02	2.715e+01	6.530e+02	2.555e+01	8.660e+02	2.943e+01	8.460e+02	2.909e+01	1.124e+03	3.353e+01	3.670e+02	1.916e+01	1.520e+03	3.899e+01	4.670e+02	2.161e+01	4.930e+02	2.220e+01	5.290e+02	2.300e+01
23	5.700e+01	7.550e+00	6.400e+01	8.000e+00	1.136e+03	3.370e+01	1.052e+03	3.243e+01	6.830e+02	2.613e+01	6.280e+02	2.506e+01	7.470e+02	2.733e+01	6.590e+02	2.567e+01	9.220e+02	3.036e+01	8.560e+02	2.926e+01	1.177e+03	3.431e+01	3.760e+02	1.939e+01	1.391e+03	3.730e+01	4.310e+02	2.076e+01	4.900e+02	2.214e+01	5.260e+02	2.293e+01
24	6.400e+01	8.000e+00	6.300e+01	7.937e+00	1.168e+03	3.418e+01	1.025e+03	3.202e+01	7.280e+02	2.698e+01	6.780e+02	2.604e+01	7.390e+02	2.718e+01	6.800e+02	2.608e+01	9.510e+02	3.084e+01	9.920e+02	3.150e+01	1.188e+03	3.447e+01	4.180e+02	2.045e+01	1.487e+03	3.856e+01	5.020e+02	2.241e+01	5.330e+02	2.309e+01	5.840e+02	2.417e+01
25	6.300e+01	7.937e+00	5.300e+01	7.280e+00	1.149e+03	3.390e+01	1.049e+03	3.239e+01	7.370e+02	2.715e+01	7.160e+02	2.676e+01	7.810e+02	2.795e+01	7.410e+02	2.722e+01	9.970e+02	3.158e+01	9.820e+02	3.134e+01	1.230e+03	3.507e+01	4.650e+02	2.156e+01	1.443e+03	3.799e+01	4.840e+02	2.200e+01	5.440e+02	2.332e+01	5.660e+02	2.379e+01
