# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210907_Std2_3/: 32S
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5
# plane	POL=1		POL=4		POL=3		POL=1		POL=3	
43	1.700e+02	1.304e+01	1.500e+01	3.873e+00	1.300e+01	3.606e+00	2.400e+01	4.899e+00	5.000e+00	2.236e+00
44	1.800e+02	1.342e+01	1.300e+01	3.606e+00	2.200e+01	4.690e+00	2.000e+01	4.472e+00	2.000e+00	1.414e+00
45	1.800e+02	1.342e+01	6.000e+00	2.449e+00	8.000e+00	2.828e+00	2.700e+01	5.196e+00	5.000e+00	2.236e+00
46	2.040e+02	1.428e+01	8.000e+00	2.828e+00	1.000e+01	3.162e+00	3.600e+01	6.000e+00	6.000e+00	2.449e+00
47	1.840e+02	1.356e+01	9.000e+00	3.000e+00	1.500e+01	3.873e+00	2.900e+01	5.385e+00	5.000e+00	2.236e+00
48	1.620e+02	1.273e+01	9.000e+00	3.000e+00	1.100e+01	3.317e+00	3.300e+01	5.745e+00	4.000e+00	2.000e+00
49	1.900e+02	1.378e+01	1.200e+01	3.464e+00	1.600e+01	4.000e+00	3.200e+01	5.657e+00	4.000e+00	2.000e+00
50	2.030e+02	1.425e+01	7.000e+00	2.646e+00	5.000e+00	2.236e+00	2.500e+01	5.000e+00	4.000e+00	2.000e+00
51	1.920e+02	1.386e+01	1.000e+01	3.162e+00	1.400e+01	3.742e+00	3.700e+01	6.083e+00	0.000e+00	0.000e+00
52	1.880e+02	1.371e+01	7.000e+00	2.646e+00	5.000e+00	2.236e+00	3.100e+01	5.568e+00	4.000e+00	2.000e+00
53	2.200e+02	1.483e+01	9.000e+00	3.000e+00	1.500e+01	3.873e+00	2.500e+01	5.000e+00	3.000e+00	1.732e+00
54	2.080e+02	1.442e+01	8.000e+00	2.828e+00	8.000e+00	2.828e+00	3.500e+01	5.916e+00	4.000e+00	2.000e+00
55	2.010e+02	1.418e+01	1.200e+01	3.464e+00	8.000e+00	2.828e+00	2.800e+01	5.292e+00	1.000e+00	1.000e+00
56	1.940e+02	1.393e+01	1.100e+01	3.317e+00	6.000e+00	2.449e+00	2.900e+01	5.385e+00	2.000e+00	1.414e+00
57	2.280e+02	1.510e+01	1.400e+01	3.742e+00	1.300e+01	3.606e+00	2.800e+01	5.292e+00	2.000e+00	1.414e+00
58	1.990e+02	1.411e+01	1.100e+01	3.317e+00	1.100e+01	3.317e+00	2.700e+01	5.196e+00	1.000e+00	1.000e+00
