# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210907_Std2_3/: Esi
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5
# plane	POL=2		POL=2		POL=2		POL=2		POL=2	
43	1.932e+04	1.390e+02	7.439e+03	8.625e+01	1.217e+04	1.103e+02	1.621e+04	1.273e+02	4.172e+03	6.459e+01
44	1.950e+04	1.396e+02	7.290e+03	8.538e+01	1.229e+04	1.109e+02	1.644e+04	1.282e+02	3.916e+03	6.258e+01
45	1.941e+04	1.393e+02	7.117e+03	8.436e+01	1.217e+04	1.103e+02	1.648e+04	1.284e+02	3.884e+03	6.232e+01
46	1.979e+04	1.407e+02	7.576e+03	8.704e+01	1.211e+04	1.100e+02	1.665e+04	1.291e+02	3.993e+03	6.319e+01
47	1.990e+04	1.411e+02	7.573e+03	8.702e+01	1.259e+04	1.122e+02	1.683e+04	1.297e+02	3.780e+03	6.148e+01
48	2.006e+04	1.416e+02	7.878e+03	8.876e+01	1.233e+04	1.110e+02	1.703e+04	1.305e+02	3.821e+03	6.181e+01
49	2.036e+04	1.427e+02	7.921e+03	8.900e+01	1.251e+04	1.119e+02	1.726e+04	1.314e+02	3.719e+03	6.098e+01
50	2.048e+04	1.431e+02	8.027e+03	8.959e+01	1.269e+04	1.127e+02	1.760e+04	1.326e+02	3.670e+03	6.058e+01
51	2.088e+04	1.445e+02	8.242e+03	9.079e+01	1.268e+04	1.126e+02	1.775e+04	1.332e+02	3.680e+03	6.066e+01
52	2.108e+04	1.452e+02	8.192e+03	9.051e+01	1.306e+04	1.143e+02	1.803e+04	1.343e+02	3.602e+03	6.002e+01
53	2.119e+04	1.456e+02	8.072e+03	8.984e+01	1.294e+04	1.137e+02	1.824e+04	1.351e+02	3.430e+03	5.857e+01
54	2.134e+04	1.461e+02	8.296e+03	9.108e+01	1.326e+04	1.152e+02	1.847e+04	1.359e+02	3.419e+03	5.847e+01
55	2.112e+04	1.453e+02	8.508e+03	9.224e+01	1.238e+04	1.113e+02	1.800e+04	1.342e+02	3.396e+03	5.828e+01
56	2.187e+04	1.479e+02	8.401e+03	9.166e+01	1.338e+04	1.157e+02	1.867e+04	1.366e+02	3.254e+03	5.704e+01
57	2.224e+04	1.491e+02	8.671e+03	9.312e+01	1.386e+04	1.177e+02	1.910e+04	1.382e+02	3.251e+03	5.702e+01
58	2.227e+04	1.492e+02	8.848e+03	9.406e+01	1.366e+04	1.169e+02	1.921e+04	1.386e+02	3.282e+03	5.729e+01
