# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210907_Std2_3/: 12C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5
# plane	POL=2		POL=2		POL=1		POL=2		POL=1	
43	6.970e+02	2.640e+01	3.790e+02	1.947e+01	2.170e+02	1.473e+01	6.290e+02	2.508e+01	9.600e+01	9.798e+00
44	7.540e+02	2.746e+01	3.910e+02	1.977e+01	2.050e+02	1.432e+01	6.760e+02	2.600e+01	1.690e+02	1.300e+01
45	7.910e+02	2.812e+01	4.080e+02	2.020e+01	2.300e+02	1.517e+01	7.120e+02	2.668e+01	1.770e+02	1.330e+01
46	8.560e+02	2.926e+01	4.700e+02	2.168e+01	2.890e+02	1.700e+01	7.530e+02	2.744e+01	1.440e+02	1.200e+01
47	8.540e+02	2.922e+01	4.920e+02	2.218e+01	2.710e+02	1.646e+01	7.800e+02	2.793e+01	1.370e+02	1.170e+01
48	9.340e+02	3.056e+01	4.680e+02	2.163e+01	3.780e+02	1.944e+01	7.690e+02	2.773e+01	1.260e+02	1.122e+01
49	9.610e+02	3.100e+01	5.360e+02	2.315e+01	3.600e+02	1.897e+01	8.330e+02	2.886e+01	1.350e+02	1.162e+01
50	9.600e+02	3.098e+01	5.470e+02	2.339e+01	3.720e+02	1.929e+01	8.380e+02	2.895e+01	1.580e+02	1.257e+01
51	1.079e+03	3.285e+01	5.530e+02	2.352e+01	3.260e+02	1.806e+01	9.410e+02	3.068e+01	1.630e+02	1.277e+01
52	1.063e+03	3.260e+01	5.920e+02	2.433e+01	3.840e+02	1.960e+01	9.130e+02	3.022e+01	1.610e+02	1.269e+01
53	1.190e+03	3.450e+01	6.170e+02	2.484e+01	2.710e+02	1.646e+01	1.049e+03	3.239e+01	2.450e+02	1.565e+01
54	1.184e+03	3.441e+01	6.380e+02	2.526e+01	3.880e+02	1.970e+01	1.037e+03	3.220e+01	1.780e+02	1.334e+01
55	1.244e+03	3.527e+01	8.280e+02	2.877e+01	6.090e+02	2.468e+01	1.055e+03	3.248e+01	1.720e+02	1.311e+01
56	1.309e+03	3.618e+01	6.570e+02	2.563e+01	3.100e+02	1.761e+01	1.130e+03	3.362e+01	2.850e+02	1.688e+01
57	1.286e+03	3.586e+01	7.150e+02	2.674e+01	4.300e+02	2.074e+01	1.122e+03	3.350e+01	2.000e+02	1.414e+01
58	1.318e+03	3.630e+01	7.220e+02	2.687e+01	4.180e+02	2.045e+01	1.128e+03	3.359e+01	2.180e+02	1.476e+01
