# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210907_Std2_3/: (12C15N/(12C14N+12C15N))*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5
# plane	POL=0		POL=0		POL=0		POL=0		POL=0	
42	1.994e-01	1.995e-01	7.353e-01	6.015e-01	2.336e-01	3.306e-01	5.908e-01	4.184e-01	0.000e+00	0.000e+00
43	3.109e-01	2.540e-01	5.618e-01	5.626e-01	4.283e-01	4.287e-01	3.155e-01	3.157e-01	0.000e+00	0.000e+00
44	4.215e-01	2.984e-01	4.926e-01	4.932e-01	0.000e+00	0.000e+00	1.580e-01	2.235e-01	4.673e-01	6.616e-01
45	1.914e-01	1.915e-01	9.639e-01	6.832e-01	2.092e-01	2.960e-01	1.534e-01	2.170e-01	8.032e-01	8.048e-01
46	4.912e-01	3.110e-01	7.212e-01	5.899e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
47	4.274e-01	3.025e-01	2.762e-01	3.909e-01	4.090e-01	4.094e-01	3.185e-01	3.187e-01	0.000e+00	0.000e+00
48	3.226e-01	2.636e-01	6.079e-01	6.088e-01	2.237e-01	3.166e-01	1.546e-01	2.187e-01	4.132e-01	5.850e-01
49	7.345e-01	3.933e-01	5.634e-01	5.642e-01	8.677e-01	6.149e-01	3.200e-01	3.203e-01	8.547e-01	8.565e-01
50	2.151e-01	2.152e-01	3.367e-01	4.766e-01	4.566e-01	4.571e-01	3.155e-01	3.157e-01	0.000e+00	0.000e+00
51	1.109e-01	1.568e-01	6.289e-01	6.299e-01	8.547e-01	6.057e-01	1.610e-01	2.278e-01	5.025e-01	7.116e-01
52	4.796e-01	3.395e-01	0.000e+00	0.000e+00	2.079e-01	2.942e-01	6.656e-01	4.714e-01	4.484e-01	6.349e-01
53	3.517e-01	2.874e-01	5.780e-01	5.789e-01	4.587e-01	4.592e-01	0.000e+00	0.000e+00	5.025e-01	7.116e-01
54	4.582e-01	3.244e-01	6.667e-01	6.678e-01	2.320e-01	3.283e-01	5.208e-01	4.258e-01	5.435e-01	7.696e-01
55	2.378e-01	2.380e-01	3.425e-01	4.847e-01	0.000e+00	0.000e+00	2.959e-01	2.961e-01	9.050e-01	9.070e-01
56	3.764e-01	3.076e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.901e-01	2.690e-01	5.682e-01	8.047e-01
57	2.334e-01	2.335e-01	3.367e-01	4.766e-01	2.427e-01	3.435e-01	1.832e-01	2.591e-01	5.102e-01	7.225e-01
58	6.313e-01	3.999e-01	0.000e+00	0.000e+00	4.464e-01	4.469e-01	5.181e-01	4.236e-01	0.000e+00	0.000e+00
