# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210907_Std2_3/: 12C14N
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5
# plane	POL=1		POL=4		POL=4		POL=3		POL=4	
43	9.620e+02	3.102e+01	3.540e+02	1.881e+01	4.650e+02	2.156e+01	6.320e+02	2.514e+01	2.500e+02	1.581e+01
44	9.450e+02	3.074e+01	4.040e+02	2.010e+01	4.370e+02	2.090e+01	6.320e+02	2.514e+01	2.130e+02	1.459e+01
45	1.043e+03	3.230e+01	4.110e+02	2.027e+01	4.770e+02	2.184e+01	6.510e+02	2.551e+01	2.470e+02	1.572e+01
46	1.013e+03	3.183e+01	4.130e+02	2.032e+01	4.780e+02	2.186e+01	6.580e+02	2.565e+01	2.230e+02	1.493e+01
47	9.320e+02	3.053e+01	3.610e+02	1.900e+01	4.870e+02	2.207e+01	6.260e+02	2.502e+01	2.240e+02	1.497e+01
48	9.270e+02	3.045e+01	3.270e+02	1.808e+01	4.460e+02	2.112e+01	6.460e+02	2.542e+01	2.410e+02	1.552e+01
49	9.460e+02	3.076e+01	3.530e+02	1.879e+01	4.570e+02	2.138e+01	6.230e+02	2.496e+01	2.320e+02	1.523e+01
50	9.280e+02	3.046e+01	2.960e+02	1.720e+01	4.360e+02	2.088e+01	6.320e+02	2.514e+01	2.350e+02	1.533e+01
51	9.010e+02	3.002e+01	3.160e+02	1.778e+01	4.640e+02	2.154e+01	6.200e+02	2.490e+01	1.980e+02	1.407e+01
52	8.300e+02	2.881e+01	3.590e+02	1.895e+01	4.800e+02	2.191e+01	5.970e+02	2.443e+01	2.220e+02	1.490e+01
53	8.500e+02	2.915e+01	3.440e+02	1.855e+01	4.340e+02	2.083e+01	5.890e+02	2.427e+01	1.980e+02	1.407e+01
54	8.690e+02	2.948e+01	2.980e+02	1.726e+01	4.300e+02	2.074e+01	5.730e+02	2.394e+01	1.830e+02	1.353e+01
55	8.390e+02	2.897e+01	2.910e+02	1.706e+01	4.320e+02	2.078e+01	6.740e+02	2.596e+01	2.190e+02	1.480e+01
56	7.940e+02	2.818e+01	3.130e+02	1.769e+01	3.920e+02	1.980e+01	5.250e+02	2.291e+01	1.750e+02	1.323e+01
57	8.550e+02	2.924e+01	2.960e+02	1.720e+01	4.110e+02	2.027e+01	5.450e+02	2.335e+01	1.950e+02	1.396e+01
58	7.870e+02	2.805e+01	3.230e+02	1.797e+01	4.460e+02	2.112e+01	5.760e+02	2.400e+01	2.060e+02	1.435e+01
