# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210909_sample17_3/: (12C15N/(12C14N+12C15N))*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19	MEAN20	Poiss_E20	MEAN21	Poiss_E21	MEAN22	Poiss_E22	MEAN23	Poiss_E23	MEAN24	Poiss_E24	MEAN25	Poiss_E25	MEAN26	Poiss_E26	MEAN27	Poiss_E27	MEAN28	Poiss_E28	MEAN29	Poiss_E29	MEAN30	Poiss_E30	MEAN31	Poiss_E31	MEAN32	Poiss_E32	MEAN33	Poiss_E33	MEAN34	Poiss_E34	MEAN35	Poiss_E35	MEAN36	Poiss_E36	MEAN37	Poiss_E37
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
11	3.683e-01	1.003e-01	2.491e-01	1.762e-01	4.543e-01	1.043e-01	3.500e-01	7.227e-02	3.271e-01	6.483e-02	3.607e-01	2.553e-01	2.389e-01	2.391e-01	4.355e-01	6.293e-02	3.283e-01	1.549e-01	3.067e-01	6.544e-02	3.108e-01	5.080e-02	5.416e-01	2.712e-01	3.982e-01	1.563e-01	4.979e-01	1.439e-01	3.503e-01	2.479e-01	4.049e-01	6.009e-02	1.092e-01	1.544e-01	4.129e-01	5.359e-02	4.374e-01	1.599e-01	3.361e-01	1.038e-01	3.131e-01	6.397e-02	3.444e-01	7.709e-02	5.427e-01	1.281e-01	1.967e-01	1.607e-01	0.000e+00	0.000e+00	1.901e-01	1.553e-01	4.437e-01	6.938e-02	2.558e-01	2.090e-01	5.338e-01	4.364e-01	3.092e-01	1.459e-01	2.522e-01	1.784e-01	2.277e-01	1.611e-01	4.640e-01	1.897e-01	2.876e-01	2.035e-01	4.549e-01	1.942e-01	3.094e-01	7.623e-02	3.306e-01	6.310e-02
12	3.717e-01	1.013e-01	6.246e-01	2.798e-01	3.098e-01	8.769e-02	4.345e-01	8.077e-02	3.591e-01	6.793e-02	2.674e-01	2.185e-01	2.347e-01	2.349e-01	3.355e-01	5.483e-02	4.142e-01	1.768e-01	3.228e-01	6.736e-02	3.647e-01	5.535e-02	4.065e-01	2.349e-01	3.911e-01	1.536e-01	3.923e-01	1.274e-01	2.708e-01	2.212e-01	3.673e-01	5.778e-02	5.371e-01	3.401e-01	3.784e-01	5.131e-02	3.679e-01	1.503e-01	4.725e-01	1.264e-01	2.933e-01	6.121e-02	3.518e-01	7.873e-02	2.882e-01	9.613e-02	6.106e-01	2.883e-01	1.905e-01	2.695e-01	4.190e-01	2.422e-01	4.082e-01	6.810e-02	4.634e-01	2.934e-01	2.833e-01	2.835e-01	3.974e-01	1.624e-01	2.587e-01	1.831e-01	5.643e-01	2.527e-01	2.564e-01	1.371e-01	2.302e-01	1.881e-01	3.536e-01	1.669e-01	3.731e-01	8.457e-02	3.636e-01	6.877e-02
13	4.150e-01	1.073e-01	3.859e-01	2.230e-01	4.416e-01	1.028e-01	3.426e-01	7.074e-02	4.383e-01	7.581e-02	3.497e-01	2.475e-01	4.756e-01	3.367e-01	4.396e-01	6.254e-02	3.342e-01	1.577e-01	3.929e-01	7.499e-02	3.885e-01	5.830e-02	5.678e-01	2.843e-01	4.550e-01	1.663e-01	2.953e-01	1.079e-01	2.956e-01	2.415e-01	4.003e-01	6.040e-02	1.021e-01	1.445e-01	4.201e-01	5.407e-02	4.892e-01	1.789e-01	4.805e-01	1.263e-01	4.357e-01	7.480e-02	4.375e-01	8.589e-02	4.082e-01	1.156e-01	4.682e-01	2.506e-01	1.757e-01	2.487e-01	2.670e-01	1.889e-01	3.868e-01	6.640e-02	4.975e-01	3.150e-01	1.555e-01	2.200e-01	3.205e-01	1.512e-01	4.519e-01	2.418e-01	2.090e-01	1.479e-01	4.932e-01	1.937e-01	2.372e-01	1.938e-01	2.478e-01	1.432e-01	3.707e-01	8.626e-02	2.378e-01	5.689e-02
14	2.849e-01	9.016e-02	3.711e-01	2.144e-01	3.834e-01	9.747e-02	3.831e-01	7.520e-02	3.544e-01	6.827e-02	6.891e-01	3.451e-01	4.896e-01	3.466e-01	3.374e-01	5.408e-02	5.656e-01	2.068e-01	4.009e-01	7.652e-02	3.692e-01	5.668e-02	4.673e-01	2.501e-01	3.917e-01	1.482e-01	3.446e-01	1.119e-01	9.488e-01	4.253e-01	3.476e-01	5.571e-02	3.918e-01	2.773e-01	3.564e-01	4.971e-02	4.042e-01	1.652e-01	3.867e-01	1.167e-01	3.632e-01	6.931e-02	4.696e-01	8.966e-02	2.745e-01	9.422e-02	5.242e-01	2.625e-01	5.535e-01	4.526e-01	6.220e-01	2.937e-01	3.662e-01	6.430e-02	1.965e-01	1.966e-01	4.444e-01	3.633e-01	5.007e-01	1.830e-01	1.931e-01	1.577e-01	4.668e-01	2.203e-01	5.568e-01	2.036e-01	3.709e-01	2.348e-01	1.171e-01	9.560e-02	4.552e-01	9.503e-02	4.707e-01	8.082e-02
15	2.496e-01	8.565e-02	3.117e-01	1.973e-01	3.152e-01	8.923e-02	3.399e-01	7.252e-02	4.046e-01	7.394e-02	3.378e-01	2.391e-01	4.975e-01	3.522e-01	3.590e-01	5.646e-02	4.270e-01	1.823e-01	4.158e-01	7.866e-02	3.747e-01	5.788e-02	4.351e-01	2.515e-01	4.515e-01	1.598e-01	4.175e-01	1.206e-01	2.822e-01	2.306e-01	4.020e-01	6.066e-02	4.575e-01	2.897e-01	3.688e-01	5.070e-02	3.695e-02	5.227e-02	4.456e-01	1.262e-01	3.722e-01	7.104e-02	3.351e-01	7.695e-02	5.783e-01	1.405e-01	7.022e-01	3.146e-01	3.559e-01	3.562e-01	2.685e-01	1.900e-01	4.007e-01	6.733e-02	1.000e-01	1.415e-01	2.809e-01	2.811e-01	3.500e-01	1.567e-01	4.902e-01	2.454e-01	3.035e-01	1.754e-01	4.065e-01	1.735e-01	2.915e-01	2.063e-01	5.410e-01	2.047e-01	3.287e-01	8.224e-02	3.664e-01	7.335e-02
16	3.939e-01	1.073e-01	3.014e-01	1.908e-01	4.642e-01	1.066e-01	3.957e-01	7.769e-02	4.216e-01	7.461e-02	1.768e-01	1.769e-01	8.383e-01	4.490e-01	3.251e-01	5.349e-02	3.330e-01	1.571e-01	4.447e-01	8.198e-02	3.182e-01	5.383e-02	3.388e-01	2.144e-01	4.794e-01	1.600e-01	4.824e-01	1.247e-01	6.042e-01	3.494e-01	3.385e-01	5.496e-02	3.626e-01	2.567e-01	4.063e-01	5.251e-02	4.122e-01	1.845e-01	5.075e-01	1.358e-01	3.726e-01	7.048e-02	3.453e-01	7.728e-02	3.180e-01	1.061e-01	4.032e-01	2.330e-01	3.527e-01	3.530e-01	4.654e-01	2.491e-01	3.041e-01	5.858e-02	4.980e-01	3.154e-01	5.540e-01	3.923e-01	3.873e-01	1.583e-01	4.132e-01	2.211e-01	3.754e-01	1.879e-01	2.313e-01	1.237e-01	3.554e-01	2.250e-01	2.867e-01	1.435e-01	4.137e-01	9.259e-02	4.083e-01	8.015e-02
17	3.542e-01	1.024e-01	2.469e-01	1.747e-01	2.960e-01	8.734e-02	3.025e-01	6.855e-02	4.452e-01	7.818e-02	1.867e-01	1.868e-01	1.163e-01	1.645e-01	4.962e-01	6.552e-02	4.464e-01	1.753e-01	4.356e-01	8.242e-02	3.139e-01	5.428e-02	3.597e-01	2.277e-01	3.450e-01	1.354e-01	3.686e-01	1.065e-01	9.775e-02	1.383e-01	3.838e-01	5.893e-02	1.770e-01	1.771e-01	4.281e-01	5.400e-02	5.249e-01	2.146e-01	3.908e-01	1.207e-01	4.072e-01	7.505e-02	2.898e-01	7.250e-02	3.597e-01	1.168e-01	2.670e-01	1.889e-01	5.025e-01	4.108e-01	6.784e-02	9.596e-02	3.163e-01	6.093e-02	2.722e-01	2.224e-01	3.681e-01	3.008e-01	3.297e-01	1.476e-01	3.984e-01	2.132e-01	6.731e-01	2.548e-01	3.681e-01	1.571e-01	1.402e-01	1.402e-01	1.813e-01	1.147e-01	3.682e-01	8.938e-02	3.309e-01	7.228e-02
18	3.976e-01	1.104e-01	6.866e-01	2.933e-01	3.918e-01	1.048e-01	3.367e-01	7.353e-02	3.854e-01	7.356e-02	3.581e-01	2.534e-01	1.121e-01	1.586e-01	3.467e-01	5.556e-02	5.025e-01	1.837e-01	2.998e-01	6.882e-02	3.801e-01	6.015e-02	3.472e-01	2.198e-01	5.040e-01	1.637e-01	3.072e-01	9.486e-02	2.020e-01	2.021e-01	3.705e-01	5.901e-02	6.168e-01	3.089e-01	3.275e-01	4.756e-02	4.630e-01	2.073e-01	2.276e-01	9.298e-02	3.328e-01	6.730e-02	4.673e-01	9.265e-02	2.724e-01	1.030e-01	2.012e-01	1.644e-01	4.386e-01	3.585e-01	6.215e-01	2.784e-01	3.285e-01	6.158e-02	4.409e-01	2.792e-01	5.256e-01	3.722e-01	3.165e-01	1.416e-01	2.719e-01	1.721e-01	5.138e-01	2.194e-01	2.429e-01	1.215e-01	3.408e-01	2.157e-01	2.797e-01	1.400e-01	4.665e-01	1.019e-01	3.297e-01	7.378e-02
19	4.618e-01	1.194e-01	4.000e-01	2.140e-01	3.346e-01	9.668e-02	3.909e-01	8.072e-02	3.477e-01	7.032e-02	2.705e-01	2.210e-01	3.918e-01	2.773e-01	3.864e-01	5.703e-02	3.119e-01	1.471e-01	2.926e-01	6.807e-02	3.644e-01	5.878e-02	4.415e-01	2.552e-01	5.570e-01	1.721e-01	4.635e-01	1.142e-01	2.315e-01	2.316e-01	3.862e-01	5.896e-02	5.147e-01	2.755e-01	4.058e-01	5.245e-02	1.518e-01	1.240e-01	3.679e-01	1.195e-01	4.190e-01	7.473e-02	3.752e-01	8.098e-02	4.833e-01	1.397e-01	2.104e-01	1.719e-01	1.370e-01	1.938e-01	3.824e-01	2.210e-01	4.435e-01	7.156e-02	4.259e-01	2.696e-01	4.866e-01	3.445e-01	3.495e-01	1.492e-01	4.575e-01	2.159e-01	2.420e-01	1.532e-01	4.752e-01	1.682e-01	2.672e-01	1.891e-01	5.557e-01	1.968e-01	3.707e-01	8.999e-02	3.489e-01	7.713e-02
20	3.735e-01	1.079e-01	5.770e-02	8.162e-02	4.290e-01	1.128e-01	3.711e-01	7.746e-02	4.170e-01	7.752e-02	4.237e-01	2.683e-01	4.730e-01	2.995e-01	4.230e-01	5.989e-02	3.740e-01	1.674e-01	3.540e-01	7.554e-02	3.738e-01	5.915e-02	6.029e-01	3.019e-01	2.479e-01	1.109e-01	4.013e-01	1.055e-01	5.280e-01	3.344e-01	3.893e-01	5.977e-02	4.376e-01	2.529e-01	3.752e-01	5.064e-02	1.064e-01	1.064e-01	4.638e-01	1.340e-01	3.064e-01	6.538e-02	4.501e-01	8.923e-02	2.065e-01	9.241e-02	2.562e-01	1.813e-01	6.631e-01	4.201e-01	4.813e-01	2.410e-01	3.752e-01	6.639e-02	2.571e-01	2.100e-01	0.000e+00	0.000e+00	3.360e-01	1.434e-01	5.053e-01	2.263e-01	9.208e-02	9.210e-02	3.807e-01	1.391e-01	3.807e-01	2.200e-01	4.841e-01	1.832e-01	4.839e-01	1.057e-01	3.686e-01	8.051e-02
