# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210909_sample17_3/: 12C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19	MEAN20	Poiss_E20	MEAN21	Poiss_E21	MEAN22	Poiss_E22	MEAN23	Poiss_E23	MEAN24	Poiss_E24	MEAN25	Poiss_E25	MEAN26	Poiss_E26	MEAN27	Poiss_E27	MEAN28	Poiss_E28	MEAN29	Poiss_E29	MEAN30	Poiss_E30	MEAN31	Poiss_E31	MEAN32	Poiss_E32	MEAN33	Poiss_E33	MEAN34	Poiss_E34	MEAN35	Poiss_E35	MEAN36	Poiss_E36	MEAN37	Poiss_E37
# plane	POL=1		POL=1		POL=4		POL=4		POL=3		POL=3		POL=5		POL=2		POL=0		POL=1		POL=4		POL=3		POL=2		POL=2		POL=1		POL=4		POL=2		POL=2		POL=5		POL=2		POL=5		POL=2		POL=3		POL=1		POL=4		POL=1		POL=2		POL=1		POL=5		POL=1		POL=3		POL=4		POL=2		POL=2		POL=4		POL=1		POL=2	
11	2.480e+02	1.575e+01	8.500e+01	9.220e+00	4.640e+02	2.154e+01	5.840e+02	2.417e+01	5.290e+02	2.300e+01	3.740e+02	1.934e+01	1.300e+01	3.606e+00	5.980e+02	2.445e+01	9.100e+01	9.539e+00	4.460e+02	2.112e+01	9.160e+02	3.027e+01	5.500e+01	7.416e+00	9.400e+01	9.695e+00	4.000e+01	6.325e+00	5.100e+01	7.141e+00	9.770e+02	3.126e+01	1.300e+01	3.606e+00	8.810e+02	2.968e+01	2.310e+02	1.520e+01	1.790e+02	1.338e+01	4.720e+02	2.173e+01	3.810e+02	1.952e+01	2.580e+02	1.606e+01	5.100e+01	7.141e+00	3.000e+01	5.477e+00	1.030e+02	1.015e+01	4.830e+02	2.198e+01	1.320e+02	1.149e+01	6.600e+01	8.124e+00	1.380e+02	1.175e+01	9.600e+01	9.798e+00	7.500e+01	8.660e+00	1.310e+02	1.145e+01	1.120e+02	1.058e+01	5.500e+01	7.416e+00	3.570e+02	1.889e+01	7.650e+02	2.766e+01
12	2.320e+02	1.523e+01	8.800e+01	9.381e+00	4.960e+02	2.227e+01	6.360e+02	2.522e+01	5.920e+02	2.433e+01	3.890e+02	1.972e+01	1.100e+01	3.317e+00	6.850e+02	2.617e+01	8.100e+01	9.000e+00	4.580e+02	2.140e+01	9.030e+02	3.005e+01	6.600e+01	8.124e+00	8.300e+01	9.110e+00	5.300e+01	7.280e+00	3.900e+01	6.245e+00	1.047e+03	3.236e+01	4.000e+00	2.000e+00	9.810e+02	3.132e+01	2.270e+02	1.507e+01	1.920e+02	1.386e+01	5.820e+02	2.412e+01	4.070e+02	2.017e+01	2.820e+02	1.679e+01	5.100e+01	7.141e+00	5.100e+01	7.141e+00	1.060e+02	1.030e+01	5.270e+02	2.296e+01	1.010e+02	1.005e+01	5.700e+01	7.550e+00	1.340e+02	1.158e+01	8.600e+01	9.274e+00	7.200e+01	8.485e+00	1.230e+02	1.109e+01	9.200e+01	9.592e+00	7.400e+01	8.602e+00	4.110e+02	2.027e+01	7.590e+02	2.755e+01
13	2.610e+02	1.616e+01	8.900e+01	9.434e+00	5.240e+02	2.289e+01	6.140e+02	2.478e+01	6.260e+02	2.502e+01	4.250e+02	2.062e+01	1.100e+01	3.317e+00	7.770e+02	2.787e+01	7.400e+01	8.602e+00	4.630e+02	2.152e+01	9.200e+02	3.033e+01	4.900e+01	7.000e+00	9.200e+01	9.592e+00	5.200e+01	7.211e+00	5.200e+01	7.211e+00	1.100e+03	3.317e+01	1.000e+01	3.162e+00	1.080e+03	3.286e+01	2.090e+02	1.446e+01	1.770e+02	1.330e+01	5.630e+02	2.373e+01	4.590e+02	2.142e+01	3.090e+02	1.758e+01	5.900e+01	7.681e+00	3.600e+01	6.000e+00	1.160e+02	1.077e+01	5.540e+02	2.354e+01	8.900e+01	9.434e+00	6.700e+01	8.185e+00	1.430e+02	1.196e+01	9.400e+01	9.695e+00	7.100e+01	8.426e+00	1.300e+02	1.140e+01	1.180e+02	1.086e+01	7.700e+01	8.775e+00	4.000e+02	2.000e+01	8.070e+02	2.841e+01
14	2.190e+02	1.480e+01	1.020e+02	1.010e+01	5.300e+02	2.302e+01	6.250e+02	2.500e+01	5.920e+02	2.433e+01	4.590e+02	2.142e+01	1.700e+01	4.123e+00	7.600e+02	2.757e+01	9.200e+01	9.592e+00	4.750e+02	2.179e+01	1.012e+03	3.181e+01	5.600e+01	7.483e+00	1.040e+02	1.020e+01	9.500e+01	9.747e+00	4.600e+01	6.782e+00	1.368e+03	3.699e+01	6.000e+00	2.449e+00	1.120e+03	3.347e+01	2.070e+02	1.439e+01	1.750e+02	1.323e+01	5.690e+02	2.385e+01	4.680e+02	2.163e+01	3.210e+02	1.792e+01	4.400e+01	6.633e+00	4.100e+01	6.403e+00	9.000e+01	9.487e+00	6.410e+02	2.532e+01	1.080e+02	1.039e+01	6.500e+01	8.062e+00	1.520e+02	1.233e+01	9.900e+01	9.950e+00	8.400e+01	9.165e+00	1.520e+02	1.233e+01	9.200e+01	9.592e+00	7.900e+01	8.888e+00	3.880e+02	1.970e+01	8.740e+02	2.956e+01
15	2.900e+02	1.703e+01	1.130e+02	1.063e+01	5.300e+02	2.302e+01	6.300e+02	2.510e+01	6.870e+02	2.621e+01	5.190e+02	2.278e+01	1.200e+01	3.464e+00	8.240e+02	2.871e+01	9.700e+01	9.849e+00	4.730e+02	2.175e+01	9.480e+02	3.079e+01	6.900e+01	8.307e+00	9.900e+01	9.950e+00	6.700e+01	8.185e+00	5.000e+01	7.071e+00	1.379e+03	3.713e+01	9.000e+00	3.000e+00	1.167e+03	3.416e+01	1.960e+02	1.400e+01	1.820e+02	1.349e+01	6.580e+02	2.565e+01	4.900e+02	2.214e+01	3.330e+02	1.825e+01	5.000e+01	7.071e+00	4.200e+01	6.481e+00	1.140e+02	1.068e+01	6.730e+02	2.594e+01	1.080e+02	1.039e+01	7.900e+01	8.888e+00	1.530e+02	1.237e+01	8.500e+01	9.220e+00	8.900e+01	9.434e+00	1.470e+02	1.212e+01	9.700e+01	9.849e+00	7.300e+01	8.544e+00	4.150e+02	2.037e+01	8.120e+02	2.850e+01
16	2.770e+02	1.664e+01	1.070e+02	1.034e+01	5.500e+02	2.345e+01	6.760e+02	2.600e+01	7.310e+02	2.704e+01	5.170e+02	2.274e+01	1.100e+01	3.317e+00	9.000e+02	3.000e+01	9.900e+01	9.950e+00	4.970e+02	2.229e+01	9.980e+02	3.159e+01	6.500e+01	8.062e+00	1.080e+02	1.039e+01	8.600e+01	9.274e+00	5.500e+01	7.416e+00	1.539e+03	3.923e+01	1.000e+01	3.162e+00	1.277e+03	3.574e+01	1.440e+02	1.200e+01	1.960e+02	1.400e+01	7.010e+02	2.648e+01	5.860e+02	2.421e+01	3.110e+02	1.764e+01	5.400e+01	7.348e+00	5.000e+01	7.071e+00	1.150e+02	1.072e+01	6.790e+02	2.606e+01	1.050e+02	1.025e+01	7.300e+01	8.544e+00	1.480e+02	1.217e+01	7.900e+01	8.888e+00	8.400e+01	9.165e+00	1.300e+02	1.140e+01	9.400e+01	9.695e+00	7.800e+01	8.832e+00	4.490e+02	2.119e+01	6.910e+02	2.629e+01
17	3.070e+02	1.752e+01	1.060e+02	1.030e+01	4.440e+02	2.107e+01	6.840e+02	2.615e+01	7.460e+02	2.731e+01	6.150e+02	2.480e+01	1.400e+01	3.742e+00	1.032e+03	3.212e+01	9.200e+01	9.592e+00	4.870e+02	2.207e+01	9.790e+02	3.129e+01	6.800e+01	8.246e+00	1.300e+02	1.140e+01	1.140e+02	1.068e+01	5.900e+01	7.681e+00	1.624e+03	4.030e+01	2.800e+01	5.292e+00	1.381e+03	3.716e+01	1.590e+02	1.261e+01	2.170e+02	1.473e+01	6.840e+02	2.615e+01	5.520e+02	2.349e+01	3.520e+02	1.876e+01	4.900e+01	7.000e+00	4.700e+01	6.856e+00	1.300e+02	1.140e+01	6.580e+02	2.565e+01	1.310e+02	1.145e+01	8.300e+01	9.110e+00	1.770e+02	1.330e+01	1.220e+02	1.105e+01	1.060e+02	1.030e+01	1.570e+02	1.253e+01	7.900e+01	8.888e+00	9.700e+01	9.849e+00	4.250e+02	2.062e+01	7.250e+02	2.693e+01
18	3.070e+02	1.752e+01	1.080e+02	1.039e+01	4.230e+02	2.057e+01	7.280e+02	2.698e+01	7.540e+02	2.746e+01	5.890e+02	2.427e+01	1.100e+01	3.317e+00	9.720e+02	3.118e+01	1.180e+02	1.086e+01	5.280e+02	2.298e+01	1.022e+03	3.197e+01	6.700e+01	8.185e+00	1.260e+02	1.122e+01	1.190e+02	1.091e+01	6.400e+01	8.000e+00	1.788e+03	4.228e+01	2.100e+01	4.583e+00	1.428e+03	3.779e+01	1.470e+02	1.212e+01	1.630e+02	1.277e+01	7.720e+02	2.778e+01	6.170e+02	2.484e+01	3.510e+02	1.873e+01	4.900e+01	7.000e+00	3.800e+01	6.164e+00	1.420e+02	1.192e+01	7.740e+02	2.782e+01	1.160e+02	1.077e+01	6.500e+01	8.062e+00	2.030e+02	1.425e+01	9.900e+01	9.950e+00	1.100e+02	1.049e+01	1.840e+02	1.356e+01	8.300e+01	9.110e+00	8.300e+01	9.110e+00	5.020e+02	2.241e+01	7.170e+02	2.678e+01
19	3.380e+02	1.838e+01	1.170e+02	1.082e+01	3.380e+02	1.838e+01	6.490e+02	2.548e+01	7.840e+02	2.800e+01	7.050e+02	2.655e+01	1.600e+01	4.000e+00	1.107e+03	3.327e+01	9.500e+01	9.747e+00	5.230e+02	2.287e+01	1.048e+03	3.237e+01	6.600e+01	8.124e+00	1.210e+02	1.100e+01	1.520e+02	1.233e+01	6.600e+01	8.124e+00	1.875e+03	4.330e+01	2.300e+01	4.796e+00	1.441e+03	3.796e+01	1.330e+02	1.153e+01	1.910e+02	1.382e+01	8.320e+02	2.884e+01	6.280e+02	2.506e+01	3.830e+02	1.957e+01	5.300e+01	7.280e+00	3.900e+01	6.245e+00	1.250e+02	1.118e+01	7.700e+02	2.775e+01	1.140e+02	1.068e+01	7.100e+01	8.426e+00	2.040e+02	1.428e+01	1.090e+02	1.044e+01	1.070e+02	1.034e+01	1.580e+02	1.257e+01	9.300e+01	9.644e+00	9.400e+01	9.695e+00	5.120e+02	2.263e+01	7.160e+02	2.676e+01
20	3.120e+02	1.766e+01	1.080e+02	1.039e+01	2.960e+02	1.720e+01	6.790e+02	2.606e+01	7.890e+02	2.809e+01	7.350e+02	2.711e+01	2.000e+01	4.472e+00	1.171e+03	3.422e+01	9.200e+01	9.592e+00	5.560e+02	2.358e+01	1.032e+03	3.212e+01	6.700e+01	8.185e+00	1.520e+02	1.233e+01	1.610e+02	1.269e+01	5.300e+01	7.280e+00	2.052e+03	4.530e+01	1.600e+01	4.000e+00	1.516e+03	3.894e+01	1.300e+02	1.140e+01	1.700e+02	1.304e+01	9.190e+02	3.032e+01	6.120e+02	2.474e+01	3.390e+02	1.841e+01	4.800e+01	6.928e+00	3.200e+01	5.657e+00	1.540e+02	1.241e+01	8.250e+02	2.872e+01	1.130e+02	1.063e+01	9.100e+01	9.539e+00	2.190e+02	1.480e+01	1.040e+02	1.020e+01	1.090e+02	1.044e+01	1.940e+02	1.393e+01	9.300e+01	9.644e+00	9.400e+01	9.695e+00	4.620e+02	2.149e+01	6.590e+02	2.567e+01
