# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210909_sample17_3/: 12C2
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19	MEAN20	Poiss_E20	MEAN21	Poiss_E21	MEAN22	Poiss_E22	MEAN23	Poiss_E23	MEAN24	Poiss_E24	MEAN25	Poiss_E25	MEAN26	Poiss_E26	MEAN27	Poiss_E27	MEAN28	Poiss_E28	MEAN29	Poiss_E29	MEAN30	Poiss_E30	MEAN31	Poiss_E31	MEAN32	Poiss_E32	MEAN33	Poiss_E33	MEAN34	Poiss_E34	MEAN35	Poiss_E35	MEAN36	Poiss_E36	MEAN37	Poiss_E37
# plane	POL=1		POL=1		POL=4		POL=4		POL=3		POL=1		POL=3		POL=2		POL=4		POL=1		POL=4		POL=0		POL=2		POL=5		POL=1		POL=5		POL=2		POL=2		POL=4		POL=2		POL=3		POL=1		POL=3		POL=1		POL=3		POL=3		POL=1		POL=3		POL=2		POL=5		POL=2		POL=2		POL=4		POL=1		POL=3		POL=3		POL=1	
11	1.235e+03	3.514e+01	7.450e+02	2.729e+01	2.464e+03	4.964e+01	3.568e+03	5.973e+01	3.002e+03	5.479e+01	2.510e+03	5.010e+01	1.270e+02	1.127e+01	3.455e+03	5.878e+01	5.050e+02	2.247e+01	3.160e+03	5.621e+01	4.515e+03	6.719e+01	3.380e+02	1.838e+01	5.300e+02	2.302e+01	6.660e+02	2.581e+01	3.870e+02	1.967e+01	4.620e+03	6.797e+01	1.260e+02	1.122e+01	4.970e+03	7.050e+01	1.637e+03	4.046e+01	1.533e+03	3.915e+01	3.151e+03	5.613e+01	2.480e+03	4.980e+01	2.055e+03	4.533e+01	4.800e+02	2.191e+01	2.410e+02	1.552e+01	7.060e+02	2.657e+01	3.238e+03	5.690e+01	7.720e+02	2.778e+01	3.450e+02	1.857e+01	1.153e+03	3.396e+01	6.760e+02	2.600e+01	6.850e+02	2.617e+01	9.530e+02	3.087e+01	5.470e+02	2.339e+01	6.560e+02	2.561e+01	2.185e+03	4.674e+01	4.856e+03	6.969e+01
12	1.278e+03	3.575e+01	7.190e+02	2.681e+01	2.639e+03	5.137e+01	3.887e+03	6.235e+01	3.301e+03	5.745e+01	2.653e+03	5.151e+01	1.320e+02	1.149e+01	3.799e+03	6.164e+01	5.610e+02	2.369e+01	3.216e+03	5.671e+01	4.697e+03	6.853e+01	3.240e+02	1.800e+01	5.560e+02	2.358e+01	7.130e+02	2.670e+01	4.120e+02	2.030e+01	5.111e+03	7.149e+01	1.190e+02	1.091e+01	5.511e+03	7.424e+01	1.621e+03	4.026e+01	1.601e+03	4.001e+01	3.538e+03	5.948e+01	2.725e+03	5.220e+01	2.280e+03	4.775e+01	5.100e+02	2.258e+01	2.370e+02	1.539e+01	7.540e+02	2.746e+01	3.506e+03	5.921e+01	7.300e+02	2.702e+01	3.810e+02	1.952e+01	1.077e+03	3.282e+01	6.590e+02	2.567e+01	6.830e+02	2.613e+01	1.080e+03	3.286e+01	6.980e+02	2.642e+01	6.370e+02	2.524e+01	2.329e+03	4.826e+01	4.818e+03	6.941e+01
13	1.394e+03	3.734e+01	7.570e+02	2.751e+01	2.843e+03	5.332e+01	4.098e+03	6.402e+01	3.539e+03	5.949e+01	2.982e+03	5.461e+01	1.080e+02	1.039e+01	4.118e+03	6.417e+01	5.380e+02	2.319e+01	3.328e+03	5.769e+01	5.028e+03	7.091e+01	3.160e+02	1.778e+01	5.800e+02	2.408e+01	7.670e+02	2.769e+01	4.520e+02	2.126e+01	5.521e+03	7.430e+01	1.620e+02	1.273e+01	5.803e+03	7.618e+01	1.612e+03	4.015e+01	1.724e+03	4.152e+01	3.735e+03	6.111e+01	2.949e+03	5.430e+01	2.404e+03	4.903e+01	4.960e+02	2.227e+01	2.200e+02	1.483e+01	7.240e+02	2.691e+01	3.644e+03	6.037e+01	7.280e+02	2.698e+01	3.720e+02	1.929e+01	1.217e+03	3.489e+01	7.170e+02	2.678e+01	6.930e+02	2.632e+01	1.068e+03	3.268e+01	6.150e+02	2.480e+01	7.450e+02	2.729e+01	2.368e+03	4.866e+01	4.488e+03	6.699e+01
14	1.447e+03	3.804e+01	7.970e+02	2.823e+01	3.035e+03	5.509e+01	4.358e+03	6.602e+01	3.798e+03	6.163e+01	3.240e+03	5.692e+01	1.470e+02	1.212e+01	4.490e+03	6.701e+01	5.890e+02	2.427e+01	3.619e+03	6.016e+01	5.234e+03	7.235e+01	3.420e+02	1.849e+01	5.690e+02	2.385e+01	8.600e+02	2.933e+01	4.160e+02	2.040e+01	6.119e+03	7.822e+01	1.520e+02	1.233e+01	6.306e+03	7.941e+01	1.620e+03	4.025e+01	1.711e+03	4.136e+01	3.839e+03	6.196e+01	3.065e+03	5.536e+01	2.534e+03	5.034e+01	5.580e+02	2.362e+01	2.490e+02	1.578e+01	7.600e+02	2.757e+01	3.898e+03	6.243e+01	7.130e+02	2.670e+01	3.750e+02	1.936e+01	1.199e+03	3.463e+01	6.340e+02	2.518e+01	7.150e+02	2.674e+01	1.179e+03	3.434e+01	6.290e+02	2.508e+01	7.980e+02	2.825e+01	2.485e+03	4.985e+01	4.660e+03	6.826e+01
15	1.564e+03	3.955e+01	8.910e+02	2.985e+01	3.108e+03	5.575e+01	4.513e+03	6.718e+01	3.922e+03	6.263e+01	3.495e+03	5.912e+01	1.250e+02	1.118e+01	4.869e+03	6.978e+01	6.190e+02	2.488e+01	3.590e+03	5.992e+01	5.299e+03	7.279e+01	3.490e+02	1.868e+01	6.570e+02	2.563e+01	9.410e+02	3.068e+01	4.400e+02	2.098e+01	6.571e+03	8.106e+01	1.820e+02	1.349e+01	6.740e+03	8.210e+01	1.572e+03	3.965e+01	1.846e+03	4.297e+01	4.080e+03	6.387e+01	3.272e+03	5.720e+01	2.533e+03	5.033e+01	5.210e+02	2.283e+01	2.530e+02	1.591e+01	8.300e+02	2.881e+01	4.122e+03	6.420e+01	7.340e+02	2.709e+01	3.500e+02	1.871e+01	1.241e+03	3.523e+01	6.950e+02	2.636e+01	8.000e+02	2.828e+01	1.107e+03	3.327e+01	6.230e+02	2.496e+01	7.990e+02	2.827e+01	2.509e+03	5.009e+01	4.595e+03	6.779e+01
16	1.602e+03	4.002e+01	8.600e+02	2.933e+01	3.316e+03	5.758e+01	4.572e+03	6.762e+01	4.418e+03	6.647e+01	3.732e+03	6.109e+01	1.470e+02	1.212e+01	5.015e+03	7.082e+01	6.150e+02	2.480e+01	3.686e+03	6.071e+01	5.389e+03	7.341e+01	3.600e+02	1.897e+01	7.590e+02	2.755e+01	1.080e+03	3.286e+01	4.960e+02	2.227e+01	7.330e+03	8.562e+01	2.100e+02	1.449e+01	7.259e+03	8.520e+01	1.409e+03	3.754e+01	1.788e+03	4.228e+01	4.330e+03	6.580e+01	3.440e+03	5.865e+01	2.723e+03	5.218e+01	5.240e+02	2.289e+01	2.590e+02	1.609e+01	8.360e+02	2.891e+01	4.362e+03	6.605e+01	7.490e+02	2.737e+01	4.220e+02	2.054e+01	1.328e+03	3.644e+01	6.910e+02	2.629e+01	7.930e+02	2.816e+01	1.279e+03	3.576e+01	6.440e+02	2.538e+01	8.380e+02	2.895e+01	2.654e+03	5.152e+01	4.317e+03	6.570e+01
17	1.701e+03	4.124e+01	8.840e+02	2.973e+01	3.181e+03	5.640e+01	4.517e+03	6.721e+01	4.443e+03	6.666e+01	3.793e+03	6.159e+01	1.770e+02	1.330e+01	5.438e+03	7.374e+01	7.150e+02	2.674e+01	3.865e+03	6.217e+01	5.524e+03	7.432e+01	3.700e+02	1.924e+01	7.830e+02	2.798e+01	1.200e+03	3.464e+01	5.360e+02	2.315e+01	7.634e+03	8.737e+01	2.030e+02	1.425e+01	7.548e+03	8.688e+01	1.334e+03	3.652e+01	1.802e+03	4.245e+01	4.456e+03	6.675e+01	3.543e+03	5.952e+01	2.635e+03	5.133e+01	5.020e+02	2.241e+01	2.570e+02	1.603e+01	7.990e+02	2.827e+01	4.287e+03	6.548e+01	7.440e+02	2.728e+01	3.860e+02	1.965e+01	1.311e+03	3.621e+01	7.310e+02	2.704e+01	8.210e+02	2.865e+01	1.426e+03	3.776e+01	6.760e+02	2.600e+01	8.490e+02	2.914e+01	2.621e+03	5.120e+01	4.394e+03	6.629e+01
18	1.691e+03	4.112e+01	9.290e+02	3.048e+01	2.825e+03	5.315e+01	4.809e+03	6.935e+01	4.640e+03	6.812e+01	4.045e+03	6.360e+01	1.590e+02	1.261e+01	5.676e+03	7.534e+01	7.300e+02	2.702e+01	3.832e+03	6.190e+01	5.347e+03	7.312e+01	3.560e+02	1.887e+01	8.720e+02	2.953e+01	1.456e+03	3.816e+01	5.390e+02	2.322e+01	8.086e+03	8.992e+01	2.480e+02	1.575e+01	7.830e+03	8.849e+01	1.237e+03	3.517e+01	1.901e+03	4.360e+01	4.769e+03	6.906e+01	3.828e+03	6.187e+01	2.624e+03	5.122e+01	5.510e+02	2.347e+01	2.460e+02	1.568e+01	8.560e+02	2.926e+01	4.700e+03	6.856e+01	7.590e+02	2.755e+01	4.100e+02	2.025e+01	1.432e+03	3.784e+01	7.960e+02	2.821e+01	7.920e+02	2.814e+01	1.383e+03	3.719e+01	6.500e+02	2.550e+01	9.040e+02	3.007e+01	2.825e+03	5.315e+01	4.145e+03	6.438e+01
19	1.736e+03	4.167e+01	8.890e+02	2.982e+01	2.674e+03	5.171e+01	4.671e+03	6.834e+01	4.608e+03	6.788e+01	4.325e+03	6.576e+01	1.780e+02	1.334e+01	6.149e+03	7.842e+01	7.220e+02	2.687e+01	4.001e+03	6.325e+01	5.423e+03	7.364e+01	3.710e+02	1.926e+01	8.820e+02	2.970e+01	1.604e+03	4.005e+01	4.830e+02	2.198e+01	8.754e+03	9.356e+01	2.810e+02	1.676e+01	8.332e+03	9.128e+01	1.201e+03	3.466e+01	1.855e+03	4.307e+01	4.941e+03	7.029e+01	3.931e+03	6.270e+01	2.876e+03	5.363e+01	5.910e+02	2.431e+01	2.960e+02	1.720e+01	9.060e+02	3.010e+01	4.960e+03	7.043e+01	8.430e+02	2.903e+01	5.020e+02	2.241e+01	1.460e+03	3.821e+01	7.950e+02	2.820e+01	8.760e+02	2.960e+01	1.542e+03	3.927e+01	6.230e+02	2.496e+01	9.830e+02	3.135e+01	2.895e+03	5.381e+01	4.120e+03	6.419e+01
20	1.915e+03	4.376e+01	9.570e+02	3.094e+01	2.167e+03	4.655e+01	4.777e+03	6.912e+01	4.946e+03	7.033e+01	4.504e+03	6.711e+01	2.050e+02	1.432e+01	6.584e+03	8.114e+01	6.660e+02	2.581e+01	4.126e+03	6.423e+01	5.763e+03	7.591e+01	3.470e+02	1.863e+01	1.103e+03	3.321e+01	1.807e+03	4.251e+01	5.390e+02	2.322e+01	9.252e+03	9.619e+01	3.320e+02	1.822e+01	8.621e+03	9.285e+01	1.120e+03	3.347e+01	1.865e+03	4.319e+01	5.155e+03	7.180e+01	4.344e+03	6.591e+01	2.736e+03	5.231e+01	5.370e+02	2.317e+01	2.340e+02	1.530e+01	1.025e+03	3.202e+01	5.278e+03	7.265e+01	7.870e+02	2.805e+01	4.730e+02	2.175e+01	1.532e+03	3.914e+01	8.380e+02	2.895e+01	8.990e+02	2.998e+01	1.653e+03	4.066e+01	6.820e+02	2.612e+01	9.760e+02	3.124e+01	2.865e+03	5.353e+01	3.992e+03	6.318e+01
