# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210909_sample17_3/: (12C13C/(12C2*2+12C13C))*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19	MEAN20	Poiss_E20	MEAN21	Poiss_E21	MEAN22	Poiss_E22	MEAN23	Poiss_E23	MEAN24	Poiss_E24	MEAN25	Poiss_E25	MEAN26	Poiss_E26	MEAN27	Poiss_E27	MEAN28	Poiss_E28	MEAN29	Poiss_E29	MEAN30	Poiss_E30	MEAN31	Poiss_E31	MEAN32	Poiss_E32	MEAN33	Poiss_E33	MEAN34	Poiss_E34	MEAN35	Poiss_E35	MEAN36	Poiss_E36	MEAN37	Poiss_E37
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
11	1.200e+00	3.117e-01	1.062e+00	3.776e-01	1.322e+00	2.316e-01	9.439e-01	1.627e-01	1.250e+00	2.041e-01	7.905e-01	1.775e-01	1.167e+00	9.587e-01	1.031e+00	1.728e-01	6.883e-01	3.692e-01	1.034e+00	1.808e-01	9.543e-01	1.454e-01	7.342e-01	4.661e-01	8.419e-01	3.986e-01	8.191e-01	3.507e-01	1.149e+00	5.450e-01	1.102e+00	1.545e-01	7.874e-01	7.905e-01	1.154e+00	1.523e-01	8.480e-01	2.276e-01	1.541e+00	3.171e-01	1.052e+00	1.827e-01	1.254e+00	2.249e-01	9.400e-01	2.139e-01	9.288e-01	4.399e-01	4.132e-01	4.141e-01	1.120e+00	3.984e-01	1.024e+00	1.778e-01	9.622e-01	3.530e-01	1.004e+00	5.395e-01	9.024e-01	2.798e-01	1.097e+00	4.029e-01	7.965e-01	3.410e-01	1.141e+00	3.460e-01	1.353e+00	4.973e-01	1.353e+00	4.542e-01	1.109e+00	2.253e-01	1.009e+00	1.442e-01
12	1.275e+00	3.158e-01	8.959e-01	3.530e-01	1.013e+00	1.959e-01	1.207e+00	1.762e-01	1.123e+00	1.845e-01	1.063e+00	2.002e-01	1.859e+00	1.187e+00	1.016e+00	1.635e-01	8.834e-01	3.968e-01	1.077e+00	1.830e-01	1.126e+00	1.548e-01	6.135e-01	4.351e-01	8.029e-01	3.800e-01	8.345e-01	3.421e-01	9.615e-01	4.831e-01	1.256e+00	1.567e-01	0.000e+00	0.000e+00	1.015e+00	1.357e-01	1.038e+00	2.530e-01	8.362e-01	2.285e-01	1.228e+00	1.863e-01	1.125e+00	2.032e-01	9.987e-01	2.093e-01	1.163e+00	4.775e-01	4.202e-01	4.211e-01	1.309e+00	4.166e-01	9.185e-01	1.619e-01	8.152e-01	3.342e-01	6.519e-01	4.136e-01	9.655e-01	2.994e-01	8.277e-01	3.544e-01	1.514e+00	4.708e-01	9.629e-01	2.986e-01	9.226e-01	3.636e-01	1.240e+00	4.413e-01	1.230e+00	2.298e-01	1.068e+00	1.489e-01
13	8.535e-01	2.474e-01	1.432e+00	4.350e-01	1.336e+00	2.168e-01	1.146e+00	1.672e-01	1.145e+00	1.799e-01	1.258e+00	2.054e-01	4.608e-01	6.532e-01	1.247e+00	1.740e-01	9.208e-01	4.137e-01	1.011e+00	1.743e-01	9.651e-01	1.385e-01	9.404e-01	5.455e-01	9.394e-01	4.024e-01	1.032e+00	3.669e-01	8.772e-01	4.405e-01	9.775e-01	1.331e-01	1.818e+00	1.059e+00	8.966e-01	1.243e-01	1.195e+00	2.723e-01	1.118e+00	2.547e-01	8.232e-01	1.485e-01	1.156e+00	1.980e-01	1.192e+00	2.227e-01	5.015e-01	3.180e-01	1.566e+00	8.437e-01	1.093e+00	3.885e-01	1.166e+00	1.789e-01	5.464e-01	2.740e-01	8.000e-01	4.637e-01	1.057e+00	2.947e-01	1.103e+00	3.923e-01	1.772e+00	5.056e-01	7.435e-01	2.638e-01	9.662e-01	3.964e-01	1.650e+00	4.706e-01	8.583e-01	1.904e-01	1.200e+00	1.635e-01
14	1.060e+00	2.706e-01	8.706e-01	3.305e-01	1.124e+00	1.924e-01	1.112e+00	1.597e-01	1.029e+00	1.646e-01	9.477e-01	1.710e-01	1.342e+00	9.556e-01	8.064e-01	1.340e-01	1.008e+00	4.138e-01	9.307e-01	1.604e-01	9.650e-01	1.358e-01	1.583e+00	6.803e-01	1.727e+00	5.509e-01	6.928e-01	2.838e-01	7.160e-01	4.149e-01	1.187e+00	1.393e-01	9.772e-01	8.018e-01	1.005e+00	1.262e-01	1.159e+00	2.675e-01	1.098e+00	2.534e-01	9.929e-01	1.608e-01	1.415e+00	2.149e-01	1.151e+00	2.131e-01	1.413e+00	5.033e-01	0.000e+00	0.000e+00	1.491e+00	4.429e-01	8.395e-01	1.468e-01	3.494e-01	2.214e-01	9.247e-01	4.966e-01	1.073e+00	2.991e-01	1.476e+00	4.826e-01	1.107e+00	3.934e-01	1.256e+00	3.264e-01	1.178e+00	4.328e-01	1.054e+00	3.634e-01	1.173e+00	2.173e-01	9.564e-01	1.433e-01
15	6.353e-01	2.015e-01	7.242e-01	2.851e-01	1.114e+00	1.893e-01	1.139e+00	1.589e-01	1.072e+00	1.653e-01	1.201e+00	1.854e-01	7.937e-01	7.968e-01	8.754e-01	1.341e-01	1.039e+00	4.097e-01	1.116e+00	1.763e-01	1.027e+00	1.392e-01	7.112e-01	4.514e-01	9.797e-01	3.861e-01	1.155e+00	3.504e-01	1.456e+00	5.752e-01	1.173e+00	1.336e-01	1.087e+00	7.728e-01	1.064e+00	1.257e-01	9.452e-01	2.452e-01	1.098e+00	2.439e-01	1.175e+00	1.697e-01	1.058e+00	1.798e-01	1.209e+00	2.185e-01	1.139e+00	4.675e-01	1.172e+00	6.806e-01	9.547e-01	3.391e-01	1.234e+00	1.730e-01	7.437e-01	3.183e-01	9.901e-01	5.319e-01	1.234e+00	3.153e-01	1.628e+00	4.839e-01	8.674e-01	3.293e-01	1.117e+00	3.176e-01	1.033e+00	4.071e-01	1.358e+00	4.123e-01	1.220e+00	2.206e-01	9.164e-01	1.412e-01
16	1.050e+00	2.560e-01	1.320e+00	3.917e-01	1.118e+00	1.836e-01	1.221e+00	1.634e-01	1.053e+00	1.544e-01	9.817e-01	1.622e-01	1.342e+00	9.556e-01	1.026e+00	1.431e-01	1.284e+00	4.569e-01	1.020e+00	1.664e-01	1.028e+00	1.381e-01	9.629e-01	5.172e-01	1.043e+00	3.707e-01	9.174e-01	2.915e-01	1.685e+00	5.828e-01	1.073e+00	1.210e-01	9.434e-01	6.703e-01	1.016e+00	1.183e-01	1.123e+00	2.823e-01	1.297e+00	2.694e-01	1.108e+00	1.599e-01	1.348e+00	1.979e-01	1.036e+00	1.950e-01	1.039e+00	4.452e-01	1.708e+00	8.120e-01	6.536e-01	2.796e-01	1.088e+00	1.580e-01	9.259e-01	3.516e-01	1.287e+00	5.521e-01	1.227e+00	3.040e-01	1.286e+00	4.314e-01	9.369e-01	3.437e-01	1.006e+00	2.805e-01	1.075e+00	4.086e-01	1.354e+00	4.019e-01	9.147e-01	1.856e-01	8.726e-01	1.422e-01
17	9.607e-01	2.377e-01	1.174e+00	3.644e-01	1.395e+00	2.094e-01	1.084e+00	1.549e-01	1.146e+00	1.606e-01	1.263e+00	1.824e-01	8.403e-01	6.890e-01	1.055e+00	1.393e-01	9.695e-01	3.682e-01	1.265e+00	1.809e-01	1.048e+00	1.377e-01	6.711e-01	4.259e-01	1.261e+00	4.013e-01	9.083e-01	2.751e-01	1.198e+00	4.728e-01	1.127e+00	1.215e-01	7.335e-01	6.011e-01	1.023e+00	1.164e-01	7.071e-01	2.302e-01	1.395e+00	2.783e-01	1.088e+00	1.562e-01	1.089e+00	1.753e-01	9.398e-01	1.889e-01	1.569e+00	5.590e-01	1.154e+00	6.701e-01	6.219e-01	2.790e-01	1.244e+00	1.703e-01	8.000e-01	3.279e-01	1.152e+00	5.464e-01	8.696e-01	2.575e-01	1.016e+00	3.727e-01	8.454e-01	3.209e-01	9.722e-01	2.611e-01	8.070e-01	3.455e-01	1.049e+00	3.515e-01	1.094e+00	2.043e-01	1.092e+00	1.576e-01
18	8.792e-01	2.280e-01	9.067e-01	3.124e-01	1.016e+00	1.897e-01	1.121e+00	1.526e-01	1.056e+00	1.508e-01	9.428e-01	1.527e-01	9.346e-01	7.667e-01	1.029e+00	1.346e-01	1.017e+00	3.732e-01	9.307e-01	1.558e-01	1.128e+00	1.452e-01	6.974e-01	4.426e-01	9.654e-01	3.327e-01	8.174e-01	2.369e-01	4.617e-01	2.927e-01	9.857e-01	1.104e-01	1.587e+00	8.000e-01	1.143e+00	1.208e-01	1.159e+00	3.060e-01	9.122e-01	2.191e-01	1.007e+00	1.453e-01	6.488e-01	1.302e-01	1.261e+00	2.192e-01	8.993e-01	4.040e-01	1.006e+00	6.395e-01	9.832e-01	3.389e-01	1.001e+00	1.459e-01	1.172e+00	3.929e-01	8.464e-01	4.544e-01	1.207e+00	2.904e-01	9.950e-01	3.536e-01	1.247e+00	3.968e-01	1.390e+00	3.171e-01	1.141e+00	4.189e-01	9.858e-01	3.302e-01	1.016e+00	1.897e-01	1.298e+00	1.769e-01
19	1.083e+00	2.497e-01	8.366e-01	3.068e-01	1.328e+00	2.229e-01	1.122e+00	1.550e-01	1.042e+00	1.503e-01	1.041e+00	1.551e-01	1.111e+00	7.901e-01	1.006e+00	1.279e-01	9.602e-01	3.647e-01	1.112e+00	1.667e-01	9.859e-01	1.348e-01	6.693e-01	4.248e-01	8.989e-01	3.192e-01	1.140e+00	2.666e-01	2.227e+00	6.790e-01	1.208e+00	1.174e-01	7.067e-01	5.015e-01	1.022e+00	1.107e-01	1.030e+00	2.929e-01	9.610e-01	2.276e-01	1.200e+00	1.558e-01	1.119e+00	1.687e-01	1.202e+00	2.045e-01	1.336e+00	4.754e-01	8.375e-01	5.319e-01	7.667e-01	2.909e-01	1.097e+00	1.487e-01	1.346e+00	3.996e-01	1.375e+00	5.234e-01	9.162e-01	2.505e-01	1.365e+00	4.143e-01	1.240e+00	3.763e-01	8.360e-01	2.328e-01	1.268e+00	4.511e-01	1.206e+00	3.503e-01	1.043e+00	1.898e-01	1.045e+00	1.592e-01
20	9.312e-01	2.205e-01	1.136e+00	3.446e-01	1.208e+00	2.361e-01	1.251e+00	1.618e-01	1.110e+00	1.498e-01	1.185e+00	1.622e-01	1.442e+00	8.388e-01	1.104e+00	1.295e-01	1.915e+00	5.362e-01	1.020e+00	1.572e-01	1.081e+00	1.370e-01	1.560e+00	6.706e-01	9.874e-01	2.992e-01	1.095e+00	2.461e-01	1.101e+00	4.519e-01	1.175e+00	1.127e-01	7.474e-01	4.745e-01	9.820e-01	1.067e-01	1.147e+00	3.201e-01	9.033e-01	2.201e-01	9.416e-01	1.351e-01	9.124e-01	1.449e-01	1.174e+00	2.071e-01	1.014e+00	4.345e-01	1.474e+00	7.936e-01	7.744e-01	2.749e-01	9.198e-01	1.320e-01	1.625e+00	4.544e-01	8.386e-01	4.211e-01	9.056e-01	2.431e-01	1.354e+00	4.019e-01	9.912e-01	3.320e-01	1.166e+00	2.656e-01	1.016e+00	3.860e-01	1.114e+00	3.379e-01	1.156e+00	2.009e-01	1.139e+00	1.689e-01
