# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210909_sample17_3/: 32S
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19	MEAN20	Poiss_E20	MEAN21	Poiss_E21	MEAN22	Poiss_E22	MEAN23	Poiss_E23	MEAN24	Poiss_E24	MEAN25	Poiss_E25	MEAN26	Poiss_E26	MEAN27	Poiss_E27	MEAN28	Poiss_E28	MEAN29	Poiss_E29	MEAN30	Poiss_E30	MEAN31	Poiss_E31	MEAN32	Poiss_E32	MEAN33	Poiss_E33	MEAN34	Poiss_E34	MEAN35	Poiss_E35	MEAN36	Poiss_E36	MEAN37	Poiss_E37
# plane	POL=1		POL=2		POL=4		POL=2		POL=3		POL=1		POL=1		POL=1		POL=2		POL=2		POL=2		POL=5		POL=0		POL=2		POL=0		POL=1		POL=3		POL=1		POL=2		POL=2		POL=1		POL=1		POL=2		POL=0		POL=0		POL=2		POL=1		POL=5		POL=3		POL=2		POL=3		POL=5		POL=0		POL=2		POL=0		POL=2		POL=5	
11	8.200e+01	9.055e+00	2.560e+02	1.600e+01	1.670e+02	1.292e+01	2.140e+02	1.463e+01	3.650e+02	1.910e+01	3.800e+01	6.164e+00	4.160e+02	2.040e+01	2.670e+02	1.634e+01	1.960e+02	1.400e+01	3.910e+02	1.977e+01	5.040e+02	2.245e+01	6.800e+01	8.246e+00	5.620e+02	2.371e+01	1.149e+04	1.072e+02	4.500e+01	6.708e+00	2.870e+02	1.694e+01	4.600e+01	6.782e+00	3.850e+02	1.962e+01	5.100e+01	7.141e+00	1.310e+02	1.145e+01	1.750e+02	1.323e+01	1.190e+02	1.091e+01	1.320e+02	1.149e+01	3.700e+01	6.083e+00	2.700e+01	5.196e+00	7.200e+01	8.485e+00	1.830e+02	1.353e+01	7.300e+01	8.544e+00	5.800e+01	7.616e+00	1.630e+02	1.277e+01	7.400e+01	8.602e+00	6.800e+01	8.246e+00	1.100e+02	1.049e+01	5.200e+01	7.211e+00	8.000e+01	8.944e+00	1.590e+02	1.261e+01	3.990e+02	1.997e+01
12	8.000e+01	8.944e+00	2.180e+02	1.476e+01	1.760e+02	1.327e+01	2.500e+02	1.581e+01	3.920e+02	1.980e+01	6.700e+01	8.185e+00	3.890e+02	1.972e+01	2.790e+02	1.670e+01	2.370e+02	1.539e+01	4.230e+02	2.057e+01	5.290e+02	2.300e+01	7.100e+01	8.426e+00	4.810e+02	2.193e+01	1.196e+04	1.094e+02	2.400e+01	4.899e+00	3.300e+02	1.817e+01	6.300e+01	7.937e+00	3.970e+02	1.992e+01	6.000e+01	7.746e+00	1.450e+02	1.204e+01	2.020e+02	1.421e+01	1.280e+02	1.131e+01	1.430e+02	1.196e+01	3.800e+01	6.164e+00	3.000e+01	5.477e+00	6.800e+01	8.246e+00	1.990e+02	1.411e+01	4.600e+01	6.782e+00	3.800e+01	6.164e+00	1.390e+02	1.179e+01	8.700e+01	9.327e+00	7.800e+01	8.832e+00	1.010e+02	1.005e+01	5.900e+01	7.681e+00	7.800e+01	8.832e+00	1.530e+02	1.237e+01	3.390e+02	1.841e+01
13	1.030e+02	1.015e+01	1.920e+02	1.386e+01	1.840e+02	1.356e+01	2.480e+02	1.575e+01	4.270e+02	2.066e+01	4.100e+01	6.403e+00	4.360e+02	2.088e+01	2.830e+02	1.682e+01	2.090e+02	1.446e+01	3.640e+02	1.908e+01	5.060e+02	2.249e+01	7.200e+01	8.485e+00	4.730e+02	2.175e+01	1.227e+04	1.108e+02	3.600e+01	6.000e+00	3.420e+02	1.849e+01	5.300e+01	7.280e+00	4.260e+02	2.064e+01	5.100e+01	7.141e+00	1.600e+02	1.265e+01	2.100e+02	1.449e+01	1.820e+02	1.349e+01	1.280e+02	1.131e+01	3.000e+01	5.477e+00	2.000e+01	4.472e+00	6.000e+01	7.746e+00	2.340e+02	1.530e+01	7.200e+01	8.485e+00	4.700e+01	6.856e+00	1.790e+02	1.338e+01	8.100e+01	9.000e+00	8.600e+01	9.274e+00	1.230e+02	1.109e+01	6.100e+01	7.810e+00	7.100e+01	8.426e+00	1.760e+02	1.327e+01	3.490e+02	1.868e+01
14	9.800e+01	9.899e+00	1.930e+02	1.389e+01	1.760e+02	1.327e+01	2.870e+02	1.694e+01	4.290e+02	2.071e+01	5.300e+01	7.280e+00	4.840e+02	2.200e+01	2.890e+02	1.700e+01	2.140e+02	1.463e+01	4.020e+02	2.005e+01	5.350e+02	2.313e+01	6.900e+01	8.307e+00	4.970e+02	2.229e+01	1.217e+04	1.103e+02	2.100e+01	4.583e+00	3.910e+02	1.977e+01	5.000e+01	7.071e+00	4.470e+02	2.114e+01	5.500e+01	7.416e+00	1.390e+02	1.179e+01	2.220e+02	1.490e+01	1.500e+02	1.225e+01	1.600e+02	1.265e+01	4.000e+01	6.325e+00	1.800e+01	4.243e+00	6.100e+01	7.810e+00	2.170e+02	1.473e+01	5.300e+01	7.280e+00	4.500e+01	6.708e+00	1.750e+02	1.323e+01	6.700e+01	8.185e+00	9.600e+01	9.798e+00	1.040e+02	1.020e+01	5.100e+01	7.141e+00	8.200e+01	9.055e+00	1.530e+02	1.237e+01	3.450e+02	1.857e+01
15	1.110e+02	1.054e+01	2.100e+02	1.449e+01	1.570e+02	1.253e+01	2.480e+02	1.575e+01	4.390e+02	2.095e+01	5.600e+01	7.483e+00	5.150e+02	2.269e+01	3.250e+02	1.803e+01	2.230e+02	1.493e+01	4.130e+02	2.032e+01	4.670e+02	2.161e+01	5.900e+01	7.681e+00	4.820e+02	2.195e+01	1.292e+04	1.137e+02	2.700e+01	5.196e+00	4.290e+02	2.071e+01	4.500e+01	6.708e+00	4.820e+02	2.195e+01	4.000e+01	6.325e+00	1.500e+02	1.225e+01	1.970e+02	1.404e+01	1.720e+02	1.311e+01	1.380e+02	1.175e+01	1.600e+01	4.000e+00	1.400e+01	3.742e+00	6.500e+01	8.062e+00	2.640e+02	1.625e+01	5.200e+01	7.211e+00	5.100e+01	7.141e+00	1.710e+02	1.308e+01	7.900e+01	8.888e+00	9.800e+01	9.899e+00	1.030e+02	1.015e+01	5.000e+01	7.071e+00	9.900e+01	9.950e+00	1.910e+02	1.382e+01	3.900e+02	1.975e+01
16	1.150e+02	1.072e+01	2.220e+02	1.490e+01	1.700e+02	1.304e+01	2.840e+02	1.685e+01	4.990e+02	2.234e+01	7.400e+01	8.602e+00	4.980e+02	2.232e+01	3.490e+02	1.868e+01	2.150e+02	1.466e+01	3.980e+02	1.995e+01	5.360e+02	2.315e+01	6.100e+01	7.810e+00	5.170e+02	2.274e+01	1.208e+04	1.099e+02	3.200e+01	5.657e+00	5.330e+02	2.309e+01	6.200e+01	7.874e+00	5.270e+02	2.296e+01	4.400e+01	6.633e+00	1.310e+02	1.145e+01	2.410e+02	1.552e+01	1.940e+02	1.393e+01	1.390e+02	1.179e+01	3.800e+01	6.164e+00	2.500e+01	5.000e+00	4.900e+01	7.000e+00	2.780e+02	1.667e+01	4.800e+01	6.928e+00	4.500e+01	6.708e+00	1.650e+02	1.285e+01	8.200e+01	9.055e+00	8.900e+01	9.434e+00	1.240e+02	1.114e+01	6.100e+01	7.810e+00	6.300e+01	7.937e+00	1.650e+02	1.285e+01	3.300e+02	1.817e+01
17	1.080e+02	1.039e+01	2.150e+02	1.466e+01	1.690e+02	1.300e+01	2.700e+02	1.643e+01	5.040e+02	2.245e+01	4.600e+01	6.782e+00	5.110e+02	2.261e+01	3.760e+02	1.939e+01	2.580e+02	1.606e+01	4.440e+02	2.107e+01	5.400e+02	2.324e+01	6.600e+01	8.124e+00	5.080e+02	2.254e+01	1.258e+04	1.122e+02	3.100e+01	5.568e+00	5.020e+02	2.241e+01	4.000e+01	6.325e+00	5.020e+02	2.241e+01	3.900e+01	6.245e+00	1.580e+02	1.257e+01	2.350e+02	1.533e+01	1.800e+02	1.342e+01	1.360e+02	1.166e+01	4.200e+01	6.481e+00	2.400e+01	4.899e+00	6.000e+01	7.746e+00	2.840e+02	1.685e+01	4.900e+01	7.000e+00	4.200e+01	6.481e+00	1.940e+02	1.393e+01	8.500e+01	9.220e+00	1.080e+02	1.039e+01	1.390e+02	1.179e+01	4.400e+01	6.633e+00	9.600e+01	9.798e+00	1.920e+02	1.386e+01	3.420e+02	1.849e+01
18	1.080e+02	1.039e+01	2.080e+02	1.442e+01	1.430e+02	1.196e+01	2.820e+02	1.679e+01	5.020e+02	2.241e+01	7.100e+01	8.426e+00	5.560e+02	2.358e+01	3.780e+02	1.944e+01	2.730e+02	1.652e+01	4.160e+02	2.040e+01	5.100e+02	2.258e+01	5.900e+01	7.681e+00	5.190e+02	2.278e+01	1.246e+04	1.116e+02	2.400e+01	4.899e+00	5.330e+02	2.309e+01	5.000e+01	7.071e+00	5.250e+02	2.291e+01	2.900e+01	5.385e+00	1.350e+02	1.162e+01	2.770e+02	1.664e+01	1.990e+02	1.411e+01	1.430e+02	1.196e+01	3.100e+01	5.568e+00	2.300e+01	4.796e+00	5.600e+01	7.483e+00	3.050e+02	1.746e+01	4.800e+01	6.928e+00	3.700e+01	6.083e+00	2.010e+02	1.418e+01	8.200e+01	9.055e+00	8.700e+01	9.327e+00	1.330e+02	1.153e+01	4.000e+01	6.325e+00	8.700e+01	9.327e+00	1.630e+02	1.277e+01	2.790e+02	1.670e+01
19	1.050e+02	1.025e+01	1.900e+02	1.378e+01	1.310e+02	1.145e+01	2.710e+02	1.646e+01	5.490e+02	2.343e+01	6.000e+01	7.746e+00	5.910e+02	2.431e+01	4.260e+02	2.064e+01	2.450e+02	1.565e+01	3.990e+02	1.997e+01	5.410e+02	2.326e+01	5.200e+01	7.211e+00	5.150e+02	2.269e+01	1.263e+04	1.124e+02	2.900e+01	5.385e+00	5.670e+02	2.381e+01	5.300e+01	7.280e+00	5.480e+02	2.341e+01	3.100e+01	5.568e+00	1.240e+02	1.114e+01	2.770e+02	1.664e+01	2.050e+02	1.432e+01	1.540e+02	1.241e+01	3.600e+01	6.000e+00	2.600e+01	5.099e+00	5.200e+01	7.211e+00	2.930e+02	1.712e+01	4.500e+01	6.708e+00	3.300e+01	5.745e+00	1.970e+02	1.404e+01	9.900e+01	9.950e+00	8.800e+01	9.381e+00	1.020e+02	1.010e+01	4.900e+01	7.000e+00	9.100e+01	9.539e+00	1.740e+02	1.319e+01	2.710e+02	1.646e+01
20	1.370e+02	1.170e+01	1.790e+02	1.338e+01	8.800e+01	9.381e+00	2.680e+02	1.637e+01	5.340e+02	2.311e+01	6.800e+01	8.246e+00	6.840e+02	2.615e+01	4.450e+02	2.110e+01	2.370e+02	1.539e+01	4.020e+02	2.005e+01	5.210e+02	2.283e+01	6.100e+01	7.810e+00	4.310e+02	2.076e+01	1.253e+04	1.119e+02	3.200e+01	5.657e+00	5.850e+02	2.419e+01	4.200e+01	6.481e+00	5.360e+02	2.315e+01	2.700e+01	5.196e+00	1.220e+02	1.105e+01	2.930e+02	1.712e+01	2.020e+02	1.421e+01	1.290e+02	1.136e+01	3.200e+01	5.657e+00	2.300e+01	4.796e+00	5.200e+01	7.211e+00	3.080e+02	1.755e+01	4.600e+01	6.782e+00	4.600e+01	6.782e+00	2.210e+02	1.487e+01	8.900e+01	9.434e+00	1.090e+02	1.044e+01	1.100e+02	1.049e+01	3.700e+01	6.083e+00	8.000e+01	8.944e+00	1.740e+02	1.319e+01	2.540e+02	1.594e+01
