# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210909_std2_2/: 12C14N
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7
# plane	POL=4		POL=4		POL=4		POL=4		POL=4		POL=5		POL=5	
1	5.306e+04	2.304e+02	7.163e+04	2.676e+02	7.614e+04	2.759e+02	6.248e+04	2.500e+02	4.392e+04	2.096e+02	3.806e+04	1.951e+02	8.008e+04	2.830e+02
2	5.783e+04	2.405e+02	8.064e+04	2.840e+02	8.055e+04	2.838e+02	6.436e+04	2.537e+02	4.741e+04	2.177e+02	3.777e+04	1.944e+02	7.913e+04	2.813e+02
3	5.953e+04	2.440e+02	8.127e+04	2.851e+02	8.450e+04	2.907e+02	6.716e+04	2.592e+02	5.071e+04	2.252e+02	3.987e+04	1.997e+02	8.124e+04	2.850e+02
4	6.040e+04	2.458e+02	8.580e+04	2.929e+02	8.872e+04	2.979e+02	6.898e+04	2.626e+02	5.010e+04	2.238e+02	4.282e+04	2.069e+02	8.279e+04	2.877e+02
5	6.007e+04	2.451e+02	8.672e+04	2.945e+02	9.011e+04	3.002e+02	7.035e+04	2.652e+02	5.260e+04	2.293e+02	4.296e+04	2.073e+02	8.388e+04	2.896e+02
6	6.057e+04	2.461e+02	8.686e+04	2.947e+02	9.052e+04	3.009e+02	7.001e+04	2.646e+02	5.253e+04	2.292e+02	4.481e+04	2.117e+02	8.328e+04	2.886e+02
7	5.997e+04	2.449e+02	8.537e+04	2.922e+02	8.902e+04	2.984e+02	7.002e+04	2.646e+02	5.074e+04	2.252e+02	4.519e+04	2.126e+02	8.380e+04	2.895e+02
8	5.847e+04	2.418e+02	8.464e+04	2.909e+02	8.854e+04	2.976e+02	6.963e+04	2.639e+02	4.966e+04	2.228e+02	4.549e+04	2.133e+02	8.267e+04	2.875e+02
9	5.668e+04	2.381e+02	8.234e+04	2.869e+02	8.742e+04	2.957e+02	6.796e+04	2.607e+02	4.857e+04	2.204e+02	4.516e+04	2.125e+02	8.108e+04	2.847e+02
10	5.322e+04	2.307e+02	8.018e+04	2.832e+02	8.564e+04	2.926e+02	6.485e+04	2.547e+02	4.861e+04	2.205e+02	4.406e+04	2.099e+02	7.883e+04	2.808e+02
11	5.285e+04	2.299e+02	7.673e+04	2.770e+02	8.352e+04	2.890e+02	6.316e+04	2.513e+02	4.732e+04	2.175e+02	4.341e+04	2.084e+02	7.743e+04	2.783e+02
12	5.050e+04	2.247e+02	7.501e+04	2.739e+02	8.050e+04	2.837e+02	6.124e+04	2.475e+02	4.616e+04	2.148e+02	4.248e+04	2.061e+02	7.563e+04	2.750e+02
13	4.898e+04	2.213e+02	7.484e+04	2.736e+02	8.001e+04	2.829e+02	5.958e+04	2.441e+02	4.534e+04	2.129e+02	4.175e+04	2.043e+02	7.461e+04	2.732e+02
14	4.723e+04	2.173e+02	7.317e+04	2.705e+02	7.793e+04	2.792e+02	5.853e+04	2.419e+02	4.380e+04	2.093e+02	4.093e+04	2.023e+02	7.389e+04	2.718e+02
15	4.659e+04	2.158e+02	6.987e+04	2.643e+02	7.803e+04	2.793e+02	5.724e+04	2.393e+02	4.344e+04	2.084e+02	4.067e+04	2.017e+02	7.352e+04	2.711e+02
16	4.578e+04	2.140e+02	6.996e+04	2.645e+02	7.536e+04	2.745e+02	5.614e+04	2.369e+02	4.204e+04	2.050e+02	4.067e+04	2.017e+02	7.116e+04	2.668e+02
17	4.662e+04	2.159e+02	6.782e+04	2.604e+02	7.777e+04	2.789e+02	5.444e+04	2.333e+02	4.133e+04	2.033e+02	3.881e+04	1.970e+02	6.701e+04	2.589e+02
18	4.634e+04	2.153e+02	6.731e+04	2.594e+02	7.711e+04	2.777e+02	5.437e+04	2.332e+02	4.123e+04	2.031e+02	3.828e+04	1.956e+02	6.648e+04	2.578e+02
19	4.577e+04	2.139e+02	6.663e+04	2.581e+02	7.671e+04	2.770e+02	5.377e+04	2.319e+02	4.126e+04	2.031e+02	3.833e+04	1.958e+02	6.687e+04	2.586e+02
20	4.424e+04	2.103e+02	6.680e+04	2.584e+02	7.465e+04	2.732e+02	5.449e+04	2.334e+02	4.208e+04	2.051e+02	3.927e+04	1.982e+02	7.022e+04	2.650e+02
21	4.349e+04	2.085e+02	6.515e+04	2.553e+02	7.378e+04	2.716e+02	5.418e+04	2.328e+02	4.139e+04	2.035e+02	3.949e+04	1.987e+02	7.021e+04	2.650e+02
22	4.327e+04	2.080e+02	6.568e+04	2.563e+02	7.309e+04	2.703e+02	5.408e+04	2.325e+02	4.035e+04	2.009e+02	3.919e+04	1.980e+02	6.987e+04	2.643e+02
23	4.244e+04	2.060e+02	6.636e+04	2.576e+02	7.366e+04	2.714e+02	5.322e+04	2.307e+02	4.017e+04	2.004e+02	3.898e+04	1.974e+02	6.991e+04	2.644e+02
24	4.235e+04	2.058e+02	6.491e+04	2.548e+02	7.387e+04	2.718e+02	5.375e+04	2.318e+02	4.100e+04	2.025e+02	3.850e+04	1.962e+02	6.837e+04	2.615e+02
25	4.242e+04	2.060e+02	6.388e+04	2.527e+02	7.315e+04	2.705e+02	5.256e+04	2.293e+02	4.025e+04	2.006e+02	3.836e+04	1.958e+02	6.689e+04	2.586e+02
