# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_std2_3/: 12C15N
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6
# plane	POL=2		POL=3		POL=2		POL=3		POL=1		POL=3	
1	1.840e+02	1.356e+01	2.550e+02	1.597e+01	3.910e+02	1.977e+01	1.960e+02	1.400e+01	2.420e+02	1.556e+01	5.250e+02	2.291e+01
2	1.810e+02	1.345e+01	2.360e+02	1.536e+01	3.750e+02	1.936e+01	2.060e+02	1.435e+01	2.380e+02	1.543e+01	5.760e+02	2.400e+01
3	1.640e+02	1.281e+01	2.550e+02	1.597e+01	4.250e+02	2.062e+01	2.280e+02	1.510e+01	2.180e+02	1.476e+01	5.640e+02	2.375e+01
4	1.580e+02	1.257e+01	2.470e+02	1.572e+01	4.020e+02	2.005e+01	2.320e+02	1.523e+01	2.150e+02	1.466e+01	5.510e+02	2.347e+01
5	1.380e+02	1.175e+01	2.260e+02	1.503e+01	4.020e+02	2.005e+01	2.130e+02	1.459e+01	2.130e+02	1.459e+01	5.880e+02	2.425e+01
6	1.380e+02	1.175e+01	2.360e+02	1.536e+01	3.900e+02	1.975e+01	1.920e+02	1.386e+01	2.010e+02	1.418e+01	6.110e+02	2.472e+01
7	1.580e+02	1.257e+01	2.270e+02	1.507e+01	3.850e+02	1.962e+01	1.870e+02	1.367e+01	2.060e+02	1.435e+01	5.010e+02	2.238e+01
8	1.290e+02	1.136e+01	1.980e+02	1.407e+01	3.770e+02	1.942e+01	1.590e+02	1.261e+01	1.930e+02	1.389e+01	5.560e+02	2.358e+01
9	1.280e+02	1.131e+01	2.140e+02	1.463e+01	3.650e+02	1.910e+01	1.880e+02	1.371e+01	1.950e+02	1.396e+01	5.270e+02	2.296e+01
10	1.280e+02	1.131e+01	2.040e+02	1.428e+01	3.240e+02	1.800e+01	1.600e+02	1.265e+01	1.770e+02	1.330e+01	4.950e+02	2.225e+01
11	1.390e+02	1.179e+01	2.230e+02	1.493e+01	3.090e+02	1.758e+01	1.600e+02	1.265e+01	2.140e+02	1.463e+01	4.690e+02	2.166e+01
12	1.500e+02	1.225e+01	2.180e+02	1.476e+01	3.570e+02	1.889e+01	1.910e+02	1.382e+01	1.730e+02	1.315e+01	5.040e+02	2.245e+01
13	1.340e+02	1.158e+01	2.050e+02	1.432e+01	3.380e+02	1.838e+01	1.770e+02	1.330e+01	1.720e+02	1.311e+01	4.630e+02	2.152e+01
14	1.150e+02	1.072e+01	1.930e+02	1.389e+01	3.630e+02	1.905e+01	1.600e+02	1.265e+01	1.890e+02	1.375e+01	4.770e+02	2.184e+01
15	1.110e+02	1.054e+01	2.060e+02	1.435e+01	3.340e+02	1.828e+01	1.540e+02	1.241e+01	1.740e+02	1.319e+01	4.940e+02	2.223e+01
16	1.320e+02	1.149e+01	2.470e+02	1.572e+01	3.510e+02	1.873e+01	1.750e+02	1.323e+01	1.700e+02	1.304e+01	4.860e+02	2.205e+01
17	1.350e+02	1.162e+01	2.210e+02	1.487e+01	3.380e+02	1.838e+01	1.450e+02	1.204e+01	1.610e+02	1.269e+01	5.040e+02	2.245e+01
18	1.390e+02	1.179e+01	2.000e+02	1.414e+01	3.330e+02	1.825e+01	1.820e+02	1.349e+01	1.900e+02	1.378e+01	5.290e+02	2.300e+01
19	1.300e+02	1.140e+01	2.070e+02	1.439e+01	3.530e+02	1.879e+01	1.540e+02	1.241e+01	1.710e+02	1.308e+01	4.440e+02	2.107e+01
20	1.250e+02	1.118e+01	1.850e+02	1.360e+01	3.290e+02	1.814e+01	1.810e+02	1.345e+01	1.500e+02	1.225e+01	4.780e+02	2.186e+01
