# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_std2_5/: 12C13C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12
# plane	POL=0		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1	
1	3.200e+01	5.657e+00	1.380e+02	1.175e+01	1.040e+02	1.020e+01	1.060e+02	1.030e+01	1.360e+02	1.166e+01	9.500e+01	9.747e+00	7.200e+01	8.485e+00	1.350e+02	1.162e+01	1.230e+02	1.109e+01	1.430e+02	1.196e+01	8.500e+01	9.220e+00	1.300e+02	1.140e+01
2	4.800e+01	6.928e+00	1.340e+02	1.158e+01	9.300e+01	9.644e+00	1.410e+02	1.187e+01	1.570e+02	1.253e+01	1.280e+02	1.131e+01	8.900e+01	9.434e+00	1.670e+02	1.292e+01	1.530e+02	1.237e+01	1.560e+02	1.249e+01	1.170e+02	1.082e+01	1.190e+02	1.091e+01
3	3.700e+01	6.083e+00	1.570e+02	1.253e+01	1.080e+02	1.039e+01	1.400e+02	1.183e+01	1.610e+02	1.269e+01	1.180e+02	1.086e+01	1.240e+02	1.114e+01	1.540e+02	1.241e+01	1.450e+02	1.204e+01	1.610e+02	1.269e+01	1.430e+02	1.196e+01	1.470e+02	1.212e+01
4	4.200e+01	6.481e+00	1.580e+02	1.257e+01	1.130e+02	1.063e+01	1.400e+02	1.183e+01	1.950e+02	1.396e+01	1.230e+02	1.109e+01	1.270e+02	1.127e+01	2.040e+02	1.428e+01	1.690e+02	1.300e+01	1.930e+02	1.389e+01	1.400e+02	1.183e+01	1.820e+02	1.349e+01
5	3.000e+01	5.477e+00	1.700e+02	1.304e+01	1.130e+02	1.063e+01	1.610e+02	1.269e+01	2.070e+02	1.439e+01	1.280e+02	1.131e+01	1.340e+02	1.158e+01	2.500e+02	1.581e+01	1.760e+02	1.327e+01	1.980e+02	1.407e+01	1.530e+02	1.237e+01	1.730e+02	1.315e+01
6	2.400e+01	4.899e+00	1.820e+02	1.349e+01	1.470e+02	1.212e+01	1.700e+02	1.304e+01	2.280e+02	1.510e+01	1.690e+02	1.300e+01	1.490e+02	1.221e+01	2.080e+02	1.442e+01	1.710e+02	1.308e+01	2.030e+02	1.425e+01	1.730e+02	1.315e+01	1.740e+02	1.319e+01
7	4.300e+01	6.557e+00	2.020e+02	1.421e+01	1.460e+02	1.208e+01	1.550e+02	1.245e+01	2.240e+02	1.497e+01	1.500e+02	1.225e+01	1.340e+02	1.158e+01	2.610e+02	1.616e+01	2.350e+02	1.533e+01	2.110e+02	1.453e+01	1.580e+02	1.257e+01	2.230e+02	1.493e+01
8	3.800e+01	6.164e+00	2.000e+02	1.414e+01	1.540e+02	1.241e+01	1.800e+02	1.342e+01	2.690e+02	1.640e+01	1.930e+02	1.389e+01	1.650e+02	1.285e+01	2.680e+02	1.637e+01	2.080e+02	1.442e+01	2.280e+02	1.510e+01	1.850e+02	1.360e+01	2.220e+02	1.490e+01
9	3.700e+01	6.083e+00	2.140e+02	1.463e+01	1.490e+02	1.221e+01	2.110e+02	1.453e+01	2.800e+02	1.673e+01	1.900e+02	1.378e+01	1.860e+02	1.364e+01	2.910e+02	1.706e+01	2.450e+02	1.565e+01	2.280e+02	1.510e+01	1.940e+02	1.393e+01	2.120e+02	1.456e+01
10	4.100e+01	6.403e+00	2.340e+02	1.530e+01	1.460e+02	1.208e+01	2.330e+02	1.526e+01	2.940e+02	1.715e+01	1.750e+02	1.323e+01	1.970e+02	1.404e+01	2.760e+02	1.661e+01	2.610e+02	1.616e+01	2.810e+02	1.676e+01	2.180e+02	1.476e+01	2.400e+02	1.549e+01
11	4.000e+01	6.325e+00	2.220e+02	1.490e+01	1.420e+02	1.192e+01	2.200e+02	1.483e+01	2.940e+02	1.715e+01	1.850e+02	1.360e+01	1.900e+02	1.378e+01	2.720e+02	1.649e+01	2.480e+02	1.575e+01	2.690e+02	1.640e+01	2.160e+02	1.470e+01	2.630e+02	1.622e+01
12	4.000e+01	6.325e+00	2.370e+02	1.539e+01	1.880e+02	1.371e+01	2.280e+02	1.510e+01	3.350e+02	1.830e+01	1.990e+02	1.411e+01	2.060e+02	1.435e+01	2.880e+02	1.697e+01	2.680e+02	1.637e+01	2.800e+02	1.673e+01	2.320e+02	1.523e+01	2.470e+02	1.572e+01
13	4.400e+01	6.633e+00	2.840e+02	1.685e+01	1.730e+02	1.315e+01	2.620e+02	1.619e+01	3.200e+02	1.789e+01	2.130e+02	1.459e+01	1.910e+02	1.382e+01	3.220e+02	1.794e+01	2.970e+02	1.723e+01	3.100e+02	1.761e+01	2.530e+02	1.591e+01	2.640e+02	1.625e+01
14	4.700e+01	6.856e+00	2.630e+02	1.622e+01	1.950e+02	1.396e+01	2.660e+02	1.631e+01	3.550e+02	1.884e+01	2.440e+02	1.562e+01	1.990e+02	1.411e+01	2.990e+02	1.729e+01	2.820e+02	1.679e+01	3.360e+02	1.833e+01	2.660e+02	1.631e+01	2.550e+02	1.597e+01
15	4.000e+01	6.325e+00	2.920e+02	1.709e+01	2.090e+02	1.446e+01	2.450e+02	1.565e+01	3.780e+02	1.944e+01	2.540e+02	1.594e+01	2.180e+02	1.476e+01	3.770e+02	1.942e+01	2.960e+02	1.720e+01	3.440e+02	1.855e+01	2.550e+02	1.597e+01	2.720e+02	1.649e+01
16	3.800e+01	6.164e+00	3.430e+02	1.852e+01	1.930e+02	1.389e+01	2.960e+02	1.720e+01	3.920e+02	1.980e+01	2.210e+02	1.487e+01	2.110e+02	1.453e+01	3.570e+02	1.889e+01	3.090e+02	1.758e+01	3.390e+02	1.841e+01	2.690e+02	1.640e+01	2.910e+02	1.706e+01
17	4.800e+01	6.928e+00	2.920e+02	1.709e+01	2.060e+02	1.435e+01	3.000e+02	1.732e+01	4.300e+02	2.074e+01	2.630e+02	1.622e+01	2.580e+02	1.606e+01	3.990e+02	1.997e+01	3.460e+02	1.860e+01	3.600e+02	1.897e+01	3.230e+02	1.797e+01	3.540e+02	1.881e+01
18	4.400e+01	6.633e+00	3.160e+02	1.778e+01	2.210e+02	1.487e+01	3.120e+02	1.766e+01	4.170e+02	2.042e+01	2.790e+02	1.670e+01	2.530e+02	1.591e+01	4.010e+02	2.002e+01	3.700e+02	1.924e+01	3.570e+02	1.889e+01	3.030e+02	1.741e+01	3.410e+02	1.847e+01
19	6.000e+01	7.746e+00	3.070e+02	1.752e+01	2.450e+02	1.565e+01	3.090e+02	1.758e+01	4.370e+02	2.090e+01	2.860e+02	1.691e+01	2.570e+02	1.603e+01	4.120e+02	2.030e+01	3.750e+02	1.936e+01	3.700e+02	1.924e+01	3.100e+02	1.761e+01	3.450e+02	1.857e+01
