# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_std2_5/: 12C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12
# plane	POL=2		POL=2		POL=2		POL=2		POL=2		POL=2		POL=2		POL=2		POL=2		POL=2		POL=2		POL=2	
1	1.470e+02	1.212e+01	6.600e+02	2.569e+01	4.550e+02	2.133e+01	7.300e+02	2.702e+01	8.820e+02	2.970e+01	6.860e+02	2.619e+01	5.300e+02	2.302e+01	8.490e+02	2.914e+01	9.590e+02	3.097e+01	7.700e+02	2.775e+01	6.430e+02	2.536e+01	8.120e+02	2.850e+01
2	1.480e+02	1.217e+01	6.420e+02	2.534e+01	4.890e+02	2.211e+01	7.420e+02	2.724e+01	9.190e+02	3.032e+01	7.450e+02	2.729e+01	5.060e+02	2.249e+01	8.810e+02	2.968e+01	8.690e+02	2.948e+01	8.370e+02	2.893e+01	6.580e+02	2.565e+01	8.010e+02	2.830e+01
3	1.560e+02	1.249e+01	7.150e+02	2.674e+01	4.690e+02	2.166e+01	7.770e+02	2.787e+01	9.710e+02	3.116e+01	6.910e+02	2.629e+01	5.100e+02	2.258e+01	9.630e+02	3.103e+01	1.022e+03	3.197e+01	8.410e+02	2.900e+01	6.790e+02	2.606e+01	8.470e+02	2.910e+01
4	1.350e+02	1.162e+01	7.750e+02	2.784e+01	4.630e+02	2.152e+01	8.310e+02	2.883e+01	1.069e+03	3.270e+01	7.340e+02	2.709e+01	5.870e+02	2.423e+01	9.540e+02	3.089e+01	1.043e+03	3.230e+01	9.330e+02	3.055e+01	7.360e+02	2.713e+01	8.490e+02	2.914e+01
5	1.490e+02	1.221e+01	8.290e+02	2.879e+01	5.540e+02	2.354e+01	8.710e+02	2.951e+01	1.071e+03	3.273e+01	8.130e+02	2.851e+01	6.070e+02	2.464e+01	1.038e+03	3.222e+01	1.132e+03	3.365e+01	9.810e+02	3.132e+01	7.610e+02	2.759e+01	8.980e+02	2.997e+01
6	1.300e+02	1.140e+01	9.000e+02	3.000e+01	5.920e+02	2.433e+01	9.380e+02	3.063e+01	1.270e+03	3.564e+01	8.530e+02	2.921e+01	6.290e+02	2.508e+01	1.157e+03	3.401e+01	1.232e+03	3.510e+01	1.074e+03	3.277e+01	8.230e+02	2.869e+01	1.008e+03	3.175e+01
7	1.260e+02	1.122e+01	8.880e+02	2.980e+01	5.940e+02	2.437e+01	9.280e+02	3.046e+01	1.292e+03	3.594e+01	8.700e+02	2.950e+01	7.130e+02	2.670e+01	1.131e+03	3.363e+01	1.243e+03	3.526e+01	1.099e+03	3.315e+01	8.290e+02	2.879e+01	1.051e+03	3.242e+01
8	1.410e+02	1.187e+01	9.380e+02	3.063e+01	6.240e+02	2.498e+01	9.840e+02	3.137e+01	1.366e+03	3.696e+01	9.700e+02	3.114e+01	7.360e+02	2.713e+01	1.254e+03	3.541e+01	1.360e+03	3.688e+01	1.168e+03	3.418e+01	8.370e+02	2.893e+01	1.084e+03	3.292e+01
9	1.560e+02	1.249e+01	9.600e+02	3.098e+01	6.160e+02	2.482e+01	1.021e+03	3.195e+01	1.523e+03	3.903e+01	9.700e+02	3.114e+01	8.280e+02	2.877e+01	1.361e+03	3.689e+01	1.389e+03	3.727e+01	1.249e+03	3.534e+01	9.510e+02	3.084e+01	1.175e+03	3.428e+01
10	1.520e+02	1.233e+01	1.047e+03	3.236e+01	6.790e+02	2.606e+01	1.153e+03	3.396e+01	1.661e+03	4.076e+01	9.830e+02	3.135e+01	8.090e+02	2.844e+01	1.379e+03	3.713e+01	1.478e+03	3.844e+01	1.410e+03	3.755e+01	1.024e+03	3.200e+01	1.166e+03	3.415e+01
