# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_std2_5/: 32S
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12
# plane	POL=4		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=3		POL=1	
1	1.620e+02	1.273e+01	2.510e+02	1.584e+01	1.900e+02	1.378e+01	2.690e+02	1.640e+01	3.030e+02	1.741e+01	2.530e+02	1.591e+01	2.360e+02	1.536e+01	3.110e+02	1.764e+01	3.140e+02	1.772e+01	3.040e+02	1.744e+01	6.710e+02	2.590e+01	2.960e+02	1.720e+01
2	1.560e+02	1.249e+01	2.390e+02	1.546e+01	1.950e+02	1.396e+01	3.230e+02	1.797e+01	3.800e+02	1.949e+01	2.610e+02	1.616e+01	2.120e+02	1.456e+01	3.660e+02	1.913e+01	3.650e+02	1.910e+01	3.200e+02	1.789e+01	7.020e+02	2.650e+01	3.400e+02	1.844e+01
3	2.170e+02	1.473e+01	2.690e+02	1.640e+01	2.020e+02	1.421e+01	3.500e+02	1.871e+01	3.840e+02	1.960e+01	2.720e+02	1.649e+01	2.490e+02	1.578e+01	3.810e+02	1.952e+01	3.890e+02	1.972e+01	3.280e+02	1.811e+01	7.260e+02	2.694e+01	3.770e+02	1.942e+01
4	2.290e+02	1.513e+01	3.180e+02	1.783e+01	2.370e+02	1.539e+01	3.480e+02	1.865e+01	4.230e+02	2.057e+01	3.110e+02	1.764e+01	2.440e+02	1.562e+01	4.350e+02	2.086e+01	4.150e+02	2.037e+01	4.070e+02	2.017e+01	8.390e+02	2.897e+01	4.100e+02	2.025e+01
5	2.200e+02	1.483e+01	3.230e+02	1.797e+01	2.300e+02	1.517e+01	4.390e+02	2.095e+01	5.170e+02	2.274e+01	3.480e+02	1.865e+01	2.600e+02	1.612e+01	4.280e+02	2.069e+01	4.700e+02	2.168e+01	4.340e+02	2.083e+01	8.510e+02	2.917e+01	4.270e+02	2.066e+01
6	2.360e+02	1.536e+01	3.460e+02	1.860e+01	2.390e+02	1.546e+01	4.200e+02	2.049e+01	5.440e+02	2.332e+01	3.220e+02	1.794e+01	2.830e+02	1.682e+01	5.140e+02	2.267e+01	5.100e+02	2.258e+01	4.520e+02	2.126e+01	8.530e+02	2.921e+01	4.730e+02	2.175e+01
7	2.210e+02	1.487e+01	3.630e+02	1.905e+01	2.560e+02	1.600e+01	4.520e+02	2.126e+01	6.060e+02	2.462e+01	3.630e+02	1.905e+01	2.720e+02	1.649e+01	4.740e+02	2.177e+01	5.670e+02	2.381e+01	4.880e+02	2.209e+01	8.630e+02	2.938e+01	4.910e+02	2.216e+01
8	2.170e+02	1.473e+01	3.510e+02	1.873e+01	2.260e+02	1.503e+01	4.740e+02	2.177e+01	6.520e+02	2.553e+01	3.800e+02	1.949e+01	2.850e+02	1.688e+01	5.540e+02	2.354e+01	5.500e+02	2.345e+01	5.120e+02	2.263e+01	8.770e+02	2.961e+01	5.060e+02	2.249e+01
9	2.040e+02	1.428e+01	3.790e+02	1.947e+01	2.260e+02	1.503e+01	4.840e+02	2.200e+01	6.340e+02	2.518e+01	3.410e+02	1.847e+01	3.310e+02	1.819e+01	5.100e+02	2.258e+01	6.040e+02	2.458e+01	5.210e+02	2.283e+01	9.230e+02	3.038e+01	4.980e+02	2.232e+01
10	2.170e+02	1.473e+01	4.210e+02	2.052e+01	2.630e+02	1.622e+01	5.470e+02	2.339e+01	7.140e+02	2.672e+01	3.990e+02	1.997e+01	3.600e+02	1.897e+01	5.470e+02	2.339e+01	6.280e+02	2.506e+01	5.720e+02	2.392e+01	8.690e+02	2.948e+01	5.520e+02	2.349e+01
