# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210910_std2_2/: 12C13C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19
# plane	POL=1		POL=1		POL=3		POL=5		POL=3		POL=1		POL=1		POL=1		POL=5		POL=1		POL=5		POL=5		POL=5		POL=3		POL=1		POL=1		POL=1		POL=4		POL=5	
11	3.290e+02	1.814e+01	1.630e+02	1.277e+01	3.960e+02	1.990e+01	1.820e+02	1.349e+01	3.040e+02	1.744e+01	2.340e+02	1.530e+01	2.980e+02	1.726e+01	1.410e+02	1.187e+01	2.930e+02	1.712e+01	3.260e+02	1.806e+01	2.960e+02	1.720e+01	3.170e+02	1.780e+01	2.030e+02	1.425e+01	2.310e+02	1.520e+01	2.380e+02	1.543e+01	2.380e+02	1.543e+01	1.990e+02	1.411e+01	2.760e+02	1.661e+01	4.740e+02	2.177e+01
12	3.170e+02	1.780e+01	1.900e+02	1.378e+01	4.190e+02	2.047e+01	2.130e+02	1.459e+01	3.520e+02	1.876e+01	2.890e+02	1.700e+01	3.280e+02	1.811e+01	1.530e+02	1.237e+01	2.760e+02	1.661e+01	4.170e+02	2.042e+01	2.920e+02	1.709e+01	2.970e+02	1.723e+01	2.090e+02	1.446e+01	2.430e+02	1.559e+01	2.390e+02	1.546e+01	2.510e+02	1.584e+01	2.380e+02	1.543e+01	2.840e+02	1.685e+01	5.610e+02	2.369e+01
13	3.900e+02	1.975e+01	1.940e+02	1.393e+01	4.160e+02	2.040e+01	1.890e+02	1.375e+01	3.390e+02	1.841e+01	2.240e+02	1.497e+01	3.280e+02	1.811e+01	1.540e+02	1.241e+01	2.730e+02	1.652e+01	3.620e+02	1.903e+01	3.320e+02	1.822e+01	3.440e+02	1.855e+01	2.150e+02	1.466e+01	2.570e+02	1.603e+01	2.480e+02	1.575e+01	2.530e+02	1.591e+01	2.150e+02	1.466e+01	2.490e+02	1.578e+01	5.290e+02	2.300e+01
14	3.400e+02	1.844e+01	2.000e+02	1.414e+01	3.730e+02	1.931e+01	1.990e+02	1.411e+01	2.890e+02	1.700e+01	2.320e+02	1.523e+01	3.210e+02	1.792e+01	1.570e+02	1.253e+01	2.750e+02	1.658e+01	3.430e+02	1.852e+01	2.830e+02	1.682e+01	3.020e+02	1.738e+01	2.150e+02	1.466e+01	2.110e+02	1.453e+01	2.180e+02	1.476e+01	2.030e+02	1.425e+01	1.800e+02	1.342e+01	2.480e+02	1.575e+01	4.680e+02	2.163e+01
15	3.360e+02	1.833e+01	1.920e+02	1.386e+01	3.880e+02	1.970e+01	1.870e+02	1.367e+01	3.390e+02	1.841e+01	2.390e+02	1.546e+01	3.360e+02	1.833e+01	1.490e+02	1.221e+01	2.750e+02	1.658e+01	3.110e+02	1.764e+01	2.800e+02	1.673e+01	2.700e+02	1.643e+01	2.090e+02	1.446e+01	2.330e+02	1.526e+01	2.020e+02	1.421e+01	1.980e+02	1.407e+01	1.810e+02	1.345e+01	2.540e+02	1.594e+01	4.650e+02	2.156e+01
16	3.470e+02	1.863e+01	2.020e+02	1.421e+01	3.910e+02	1.977e+01	1.830e+02	1.353e+01	3.020e+02	1.738e+01	2.560e+02	1.600e+01	3.210e+02	1.792e+01	1.500e+02	1.225e+01	3.040e+02	1.744e+01	3.730e+02	1.931e+01	2.610e+02	1.616e+01	3.030e+02	1.741e+01	2.490e+02	1.578e+01	2.450e+02	1.565e+01	2.040e+02	1.428e+01	2.260e+02	1.503e+01	1.980e+02	1.407e+01	2.390e+02	1.546e+01	5.050e+02	2.247e+01
17	3.690e+02	1.921e+01	1.720e+02	1.311e+01	3.750e+02	1.936e+01	1.800e+02	1.342e+01	3.170e+02	1.780e+01	2.620e+02	1.619e+01	3.310e+02	1.819e+01	1.940e+02	1.393e+01	2.690e+02	1.640e+01	3.470e+02	1.863e+01	2.890e+02	1.700e+01	3.270e+02	1.808e+01	2.060e+02	1.435e+01	2.280e+02	1.510e+01	2.130e+02	1.459e+01	1.960e+02	1.400e+01	1.880e+02	1.371e+01	2.540e+02	1.594e+01	5.200e+02	2.280e+01
18	3.500e+02	1.871e+01	2.090e+02	1.446e+01	4.030e+02	2.007e+01	1.810e+02	1.345e+01	3.190e+02	1.786e+01	2.650e+02	1.628e+01	3.680e+02	1.918e+01	1.660e+02	1.288e+01	2.940e+02	1.715e+01	3.650e+02	1.910e+01	2.870e+02	1.694e+01	3.420e+02	1.849e+01	2.410e+02	1.552e+01	2.480e+02	1.575e+01	2.490e+02	1.578e+01	2.420e+02	1.556e+01	2.370e+02	1.539e+01	2.570e+02	1.603e+01	4.940e+02	2.223e+01
19	3.600e+02	1.897e+01	1.990e+02	1.411e+01	4.420e+02	2.102e+01	1.900e+02	1.378e+01	3.130e+02	1.769e+01	2.610e+02	1.616e+01	3.780e+02	1.944e+01	1.490e+02	1.221e+01	2.980e+02	1.726e+01	3.840e+02	1.960e+01	3.070e+02	1.752e+01	3.520e+02	1.876e+01	2.550e+02	1.597e+01	2.340e+02	1.530e+01	2.480e+02	1.575e+01	2.610e+02	1.616e+01	2.250e+02	1.500e+01	3.170e+02	1.780e+01	5.230e+02	2.287e+01
20	3.660e+02	1.913e+01	2.150e+02	1.466e+01	4.280e+02	2.069e+01	2.020e+02	1.421e+01	3.020e+02	1.738e+01	2.870e+02	1.694e+01	3.850e+02	1.962e+01	1.790e+02	1.338e+01	3.180e+02	1.783e+01	3.650e+02	1.910e+01	3.090e+02	1.758e+01	3.430e+02	1.852e+01	2.840e+02	1.685e+01	2.260e+02	1.503e+01	2.620e+02	1.619e+01	2.500e+02	1.581e+01	2.160e+02	1.470e+01	3.060e+02	1.749e+01	5.450e+02	2.335e+01
21	3.500e+02	1.871e+01	2.200e+02	1.483e+01	4.420e+02	2.102e+01	2.180e+02	1.476e+01	3.550e+02	1.884e+01	2.890e+02	1.700e+01	3.790e+02	1.947e+01	2.000e+02	1.414e+01	3.020e+02	1.738e+01	4.230e+02	2.057e+01	3.350e+02	1.830e+01	3.800e+02	1.949e+01	2.740e+02	1.655e+01	2.600e+02	1.612e+01	2.580e+02	1.606e+01	2.740e+02	1.655e+01	2.360e+02	1.536e+01	3.330e+02	1.825e+01	6.000e+02	2.449e+01
22	4.170e+02	2.042e+01	2.380e+02	1.543e+01	4.660e+02	2.159e+01	2.290e+02	1.513e+01	4.130e+02	2.032e+01	3.200e+02	1.789e+01	4.360e+02	2.088e+01	2.000e+02	1.414e+01	3.590e+02	1.895e+01	3.990e+02	1.997e+01	3.420e+02	1.849e+01	3.540e+02	1.881e+01	2.920e+02	1.709e+01	2.470e+02	1.572e+01	2.760e+02	1.661e+01	2.670e+02	1.634e+01	2.420e+02	1.556e+01	3.070e+02	1.752e+01	6.330e+02	2.516e+01
23	3.950e+02	1.987e+01	2.590e+02	1.609e+01	4.910e+02	2.216e+01	2.250e+02	1.500e+01	3.780e+02	1.944e+01	2.980e+02	1.726e+01	4.120e+02	2.030e+01	2.260e+02	1.503e+01	3.530e+02	1.879e+01	4.310e+02	2.076e+01	3.560e+02	1.887e+01	3.810e+02	1.952e+01	2.790e+02	1.670e+01	2.710e+02	1.646e+01	2.730e+02	1.652e+01	2.500e+02	1.581e+01	2.680e+02	1.637e+01	3.090e+02	1.758e+01	6.150e+02	2.480e+01
24	4.150e+02	2.037e+01	2.310e+02	1.520e+01	4.700e+02	2.168e+01	2.670e+02	1.634e+01	3.680e+02	1.918e+01	3.210e+02	1.792e+01	4.240e+02	2.059e+01	2.260e+02	1.503e+01	3.680e+02	1.918e+01	4.390e+02	2.095e+01	3.190e+02	1.786e+01	4.050e+02	2.012e+01	2.980e+02	1.726e+01	2.780e+02	1.667e+01	2.770e+02	1.664e+01	2.570e+02	1.603e+01	2.580e+02	1.606e+01	3.450e+02	1.857e+01	6.210e+02	2.492e+01
25	4.400e+02	2.098e+01	2.600e+02	1.612e+01	4.750e+02	2.179e+01	2.250e+02	1.500e+01	3.940e+02	1.985e+01	3.460e+02	1.860e+01	3.950e+02	1.987e+01	2.070e+02	1.439e+01	3.540e+02	1.881e+01	4.310e+02	2.076e+01	3.530e+02	1.879e+01	3.590e+02	1.895e+01	2.930e+02	1.712e+01	2.750e+02	1.658e+01	3.090e+02	1.758e+01	3.270e+02	1.808e+01	2.670e+02	1.634e+01	3.340e+02	1.828e+01	6.560e+02	2.561e+01
