# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210910_std2_2/: 32S
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19
# plane	POL=3		POL=1		POL=5		POL=3		POL=3		POL=1		POL=3		POL=1		POL=4		POL=3		POL=5		POL=5		POL=1		POL=5		POL=1		POL=1		POL=5		POL=1		POL=1	
11	7.250e+02	2.693e+01	4.510e+02	2.124e+01	1.274e+03	3.569e+01	3.850e+02	1.962e+01	9.440e+02	3.072e+01	6.790e+02	2.606e+01	6.330e+02	2.516e+01	4.610e+02	2.147e+01	5.670e+02	2.381e+01	6.930e+02	2.632e+01	5.810e+02	2.410e+01	6.210e+02	2.492e+01	5.040e+02	2.245e+01	4.530e+02	2.128e+01	4.140e+02	2.035e+01	4.250e+02	2.062e+01	4.590e+02	2.142e+01	5.910e+02	2.431e+01	9.560e+02	3.092e+01
12	7.460e+02	2.731e+01	4.130e+02	2.032e+01	1.316e+03	3.628e+01	4.100e+02	2.025e+01	9.610e+02	3.100e+01	7.550e+02	2.748e+01	6.620e+02	2.573e+01	4.600e+02	2.145e+01	6.040e+02	2.458e+01	7.540e+02	2.746e+01	5.720e+02	2.392e+01	6.280e+02	2.506e+01	5.250e+02	2.291e+01	5.320e+02	2.307e+01	4.100e+02	2.025e+01	4.680e+02	2.163e+01	4.820e+02	2.195e+01	6.230e+02	2.496e+01	1.030e+03	3.209e+01
13	7.950e+02	2.820e+01	4.240e+02	2.059e+01	1.219e+03	3.491e+01	3.770e+02	1.942e+01	8.890e+02	2.982e+01	6.440e+02	2.538e+01	6.820e+02	2.612e+01	4.530e+02	2.128e+01	6.140e+02	2.478e+01	7.050e+02	2.655e+01	5.340e+02	2.311e+01	6.080e+02	2.466e+01	5.070e+02	2.252e+01	4.810e+02	2.193e+01	4.160e+02	2.040e+01	4.310e+02	2.076e+01	4.510e+02	2.124e+01	5.630e+02	2.373e+01	9.970e+02	3.158e+01
14	7.710e+02	2.777e+01	4.460e+02	2.112e+01	1.159e+03	3.404e+01	4.120e+02	2.030e+01	8.840e+02	2.973e+01	6.940e+02	2.634e+01	6.110e+02	2.472e+01	4.300e+02	2.074e+01	5.840e+02	2.417e+01	6.970e+02	2.640e+01	5.520e+02	2.349e+01	6.110e+02	2.472e+01	4.460e+02	2.112e+01	4.540e+02	2.131e+01	3.880e+02	1.970e+01	4.370e+02	2.090e+01	4.760e+02	2.182e+01	5.580e+02	2.362e+01	9.480e+02	3.079e+01
15	7.060e+02	2.657e+01	4.500e+02	2.121e+01	1.174e+03	3.426e+01	3.310e+02	1.819e+01	8.290e+02	2.879e+01	6.620e+02	2.573e+01	6.400e+02	2.530e+01	4.330e+02	2.081e+01	5.700e+02	2.387e+01	7.060e+02	2.657e+01	5.570e+02	2.360e+01	5.830e+02	2.415e+01	5.100e+02	2.258e+01	4.580e+02	2.140e+01	3.790e+02	1.947e+01	4.480e+02	2.117e+01	4.450e+02	2.110e+01	5.530e+02	2.352e+01	9.860e+02	3.140e+01
16	7.750e+02	2.784e+01	4.610e+02	2.147e+01	1.189e+03	3.448e+01	3.780e+02	1.944e+01	9.270e+02	3.045e+01	7.120e+02	2.668e+01	6.330e+02	2.516e+01	5.070e+02	2.252e+01	5.980e+02	2.445e+01	6.850e+02	2.617e+01	4.860e+02	2.205e+01	6.540e+02	2.557e+01	5.710e+02	2.390e+01	4.460e+02	2.112e+01	4.100e+02	2.025e+01	4.710e+02	2.170e+01	4.790e+02	2.189e+01	5.290e+02	2.300e+01	1.074e+03	3.277e+01
17	7.440e+02	2.728e+01	4.710e+02	2.170e+01	1.221e+03	3.494e+01	3.840e+02	1.960e+01	9.400e+02	3.066e+01	6.740e+02	2.596e+01	6.740e+02	2.596e+01	5.610e+02	2.369e+01	6.300e+02	2.510e+01	7.210e+02	2.685e+01	5.840e+02	2.417e+01	7.160e+02	2.676e+01	5.590e+02	2.364e+01	4.730e+02	2.175e+01	4.240e+02	2.059e+01	4.700e+02	2.168e+01	4.950e+02	2.225e+01	6.150e+02	2.480e+01	1.122e+03	3.350e+01
18	8.540e+02	2.922e+01	4.670e+02	2.161e+01	1.302e+03	3.608e+01	3.840e+02	1.960e+01	1.012e+03	3.181e+01	7.360e+02	2.713e+01	6.900e+02	2.627e+01	4.930e+02	2.220e+01	5.730e+02	2.394e+01	7.690e+02	2.773e+01	5.570e+02	2.360e+01	6.830e+02	2.613e+01	5.600e+02	2.366e+01	4.880e+02	2.209e+01	4.790e+02	2.189e+01	5.040e+02	2.245e+01	5.080e+02	2.254e+01	5.920e+02	2.433e+01	1.174e+03	3.426e+01
19	8.740e+02	2.956e+01	5.610e+02	2.369e+01	1.378e+03	3.712e+01	4.260e+02	2.064e+01	1.086e+03	3.295e+01	6.440e+02	2.538e+01	7.590e+02	2.755e+01	5.480e+02	2.341e+01	6.590e+02	2.567e+01	7.340e+02	2.709e+01	6.340e+02	2.518e+01	7.050e+02	2.655e+01	5.810e+02	2.410e+01	5.220e+02	2.285e+01	4.830e+02	2.198e+01	5.180e+02	2.276e+01	5.850e+02	2.419e+01	6.490e+02	2.548e+01	1.171e+03	3.422e+01
20	9.050e+02	3.008e+01	5.370e+02	2.317e+01	1.450e+03	3.808e+01	4.200e+02	2.049e+01	1.102e+03	3.320e+01	7.870e+02	2.805e+01	7.670e+02	2.769e+01	5.660e+02	2.379e+01	6.540e+02	2.557e+01	7.670e+02	2.769e+01	6.320e+02	2.514e+01	7.570e+02	2.751e+01	6.540e+02	2.557e+01	5.310e+02	2.304e+01	4.830e+02	2.198e+01	5.680e+02	2.383e+01	5.580e+02	2.362e+01	6.470e+02	2.544e+01	1.201e+03	3.466e+01
21	9.200e+02	3.033e+01	5.270e+02	2.296e+01	1.437e+03	3.791e+01	4.720e+02	2.173e+01	1.088e+03	3.298e+01	8.250e+02	2.872e+01	7.680e+02	2.771e+01	6.220e+02	2.494e+01	6.750e+02	2.598e+01	8.030e+02	2.834e+01	6.800e+02	2.608e+01	7.530e+02	2.744e+01	6.260e+02	2.502e+01	5.390e+02	2.322e+01	4.970e+02	2.229e+01	5.940e+02	2.437e+01	5.840e+02	2.417e+01	6.510e+02	2.551e+01	1.316e+03	3.628e+01
22	1.005e+03	3.170e+01	5.730e+02	2.394e+01	1.512e+03	3.888e+01	4.770e+02	2.184e+01	1.142e+03	3.379e+01	7.570e+02	2.751e+01	8.200e+02	2.864e+01	6.330e+02	2.516e+01	7.290e+02	2.700e+01	8.610e+02	2.934e+01	6.870e+02	2.621e+01	8.290e+02	2.879e+01	6.780e+02	2.604e+01	5.810e+02	2.410e+01	5.350e+02	2.313e+01	5.790e+02	2.406e+01	6.850e+02	2.617e+01	7.030e+02	2.651e+01	1.300e+03	3.606e+01
23	1.051e+03	3.242e+01	5.730e+02	2.394e+01	1.519e+03	3.897e+01	5.070e+02	2.252e+01	1.230e+03	3.507e+01	8.680e+02	2.946e+01	8.960e+02	2.993e+01	6.760e+02	2.600e+01	7.490e+02	2.737e+01	8.830e+02	2.972e+01	7.590e+02	2.755e+01	8.240e+02	2.871e+01	7.480e+02	2.735e+01	6.510e+02	2.551e+01	5.470e+02	2.339e+01	6.200e+02	2.490e+01	6.850e+02	2.617e+01	6.900e+02	2.627e+01	1.400e+03	3.742e+01
24	9.930e+02	3.151e+01	5.840e+02	2.417e+01	1.590e+03	3.987e+01	4.810e+02	2.193e+01	1.264e+03	3.555e+01	8.920e+02	2.987e+01	8.920e+02	2.987e+01	6.520e+02	2.553e+01	7.150e+02	2.674e+01	9.740e+02	3.121e+01	7.740e+02	2.782e+01	9.010e+02	3.002e+01	7.460e+02	2.731e+01	6.280e+02	2.506e+01	5.710e+02	2.390e+01	6.490e+02	2.548e+01	7.060e+02	2.657e+01	7.250e+02	2.693e+01	1.484e+03	3.852e+01
25	1.060e+03	3.256e+01	6.200e+02	2.490e+01	1.636e+03	4.045e+01	5.330e+02	2.309e+01	1.276e+03	3.572e+01	8.500e+02	2.915e+01	9.020e+02	3.003e+01	6.890e+02	2.625e+01	8.080e+02	2.843e+01	9.530e+02	3.087e+01	8.370e+02	2.893e+01	8.680e+02	2.946e+01	8.010e+02	2.830e+01	5.920e+02	2.433e+01	5.690e+02	2.385e+01	6.390e+02	2.528e+01	7.130e+02	2.670e+01	7.810e+02	2.795e+01	1.480e+03	3.847e+01
