# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210910_std2_2/: (12C13C/(12C2*2+12C13C))*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
11	1.009e+00	7.910e-02	9.077e-01	1.010e-01	1.006e+00	7.189e-02	9.413e-01	9.915e-02	9.931e-01	8.095e-02	9.332e-01	8.668e-02	8.893e-01	7.318e-02	9.176e-01	1.098e-01	1.039e+00	8.632e-02	9.219e-01	7.255e-02	1.041e+00	8.604e-02	1.030e+00	8.221e-02	9.480e-01	9.455e-02	9.895e-01	9.253e-02	1.095e+00	1.010e-01	1.092e+00	1.006e-01	1.059e+00	1.067e-01	1.009e+00	8.634e-02	9.750e-01	6.365e-02
12	9.218e-01	7.356e-02	9.840e-01	1.015e-01	1.005e+00	6.979e-02	1.017e+00	9.901e-02	1.079e+00	8.180e-02	1.093e+00	9.147e-02	9.069e-01	7.114e-02	9.199e-01	1.057e-01	9.145e-01	7.821e-02	1.105e+00	7.693e-02	9.753e-01	8.112e-02	9.206e-01	7.589e-02	9.134e-01	8.976e-02	9.892e-01	9.019e-02	1.032e+00	9.493e-02	1.055e+00	9.468e-02	1.144e+00	1.055e-01	9.987e-01	8.423e-02	1.066e+00	6.398e-02
13	1.097e+00	7.896e-02	9.700e-01	9.897e-02	1.053e+00	7.342e-02	9.754e-01	1.008e-01	1.086e+00	8.386e-02	9.026e-01	8.568e-02	9.730e-01	7.635e-02	9.570e-01	1.096e-01	9.734e-01	8.372e-02	1.043e+00	7.795e-02	1.160e+00	9.058e-02	1.141e+00	8.753e-02	9.721e-01	9.422e-02	1.109e+00	9.840e-02	1.132e+00	1.023e-01	1.122e+00	1.003e-01	1.127e+00	1.094e-01	9.455e-01	8.514e-02	1.093e+00	6.759e-02
14	9.965e-01	7.681e-02	1.060e+00	1.066e-01	1.002e+00	7.373e-02	1.091e+00	1.100e-01	9.929e-01	8.301e-02	9.798e-01	9.142e-02	1.002e+00	7.947e-02	1.033e+00	1.172e-01	1.038e+00	8.900e-02	1.030e+00	7.906e-02	1.078e+00	9.108e-02	1.047e+00	8.568e-02	1.023e+00	9.915e-02	9.622e-01	9.413e-02	1.052e+00	1.013e-01	9.572e-01	9.547e-02	9.835e-01	1.042e-01	9.925e-01	8.957e-02	1.027e+00	6.751e-02
15	1.016e+00	7.877e-02	1.060e+00	1.088e-01	1.042e+00	7.522e-02	1.028e+00	1.068e-01	1.156e+00	8.934e-02	1.007e+00	9.259e-02	1.053e+00	8.170e-02	1.002e+00	1.167e-01	1.037e+00	8.888e-02	9.259e-01	7.460e-02	1.045e+00	8.878e-02	9.316e-01	8.056e-02	9.808e-01	9.642e-02	1.055e+00	9.823e-02	9.784e-01	9.783e-02	9.239e-01	9.328e-02	9.650e-01	1.019e-01	9.879e-01	8.810e-02	9.934e-01	6.548e-02
16	1.016e+00	7.751e-02	1.049e+00	1.049e-01	1.023e+00	7.358e-02	9.845e-01	1.034e-01	1.004e+00	8.216e-02	1.041e+00	9.250e-02	9.713e-01	7.705e-02	9.509e-01	1.103e-01	1.096e+00	8.941e-02	1.060e+00	7.806e-02	9.477e-01	8.336e-02	1.016e+00	8.296e-02	1.138e+00	1.026e-01	1.101e+00	1.000e-01	9.449e-01	9.400e-02	9.964e-01	9.420e-02	1.004e+00	1.014e-01	9.073e-01	8.337e-02	1.047e+00	6.621e-02
17	1.066e+00	7.887e-02	8.643e-01	9.361e-02	9.571e-01	7.023e-02	9.252e-01	9.798e-02	1.054e+00	8.417e-02	1.031e+00	9.055e-02	9.696e-01	7.573e-02	1.181e+00	1.206e-01	9.409e-01	8.152e-02	9.542e-01	7.279e-02	1.002e+00	8.380e-02	1.057e+00	8.309e-02	8.984e-01	8.892e-02	9.744e-01	9.170e-02	9.404e-01	9.156e-02	8.608e-01	8.733e-02	9.263e-01	9.599e-02	9.316e-01	8.305e-02	1.043e+00	6.500e-02
18	9.857e-01	7.488e-02	1.063e+00	1.046e-01	9.982e-01	7.067e-02	9.116e-01	9.627e-02	9.843e-01	7.832e-02	1.012e+00	8.839e-02	1.057e+00	7.831e-02	1.011e+00	1.116e-01	9.980e-01	8.272e-02	9.980e-01	7.425e-02	9.766e-01	8.193e-02	1.074e+00	8.256e-02	1.025e+00	9.389e-02	1.050e+00	9.483e-02	1.073e+00	9.671e-02	1.007e+00	9.204e-02	1.128e+00	1.042e-01	9.374e-01	8.308e-02	9.640e-01	6.164e-02
19	1.000e+00	7.494e-02	9.478e-01	9.547e-02	1.073e+00	7.256e-02	9.269e-01	9.554e-02	9.700e-01	7.791e-02	9.846e-01	8.661e-02	1.062e+00	7.768e-02	8.702e-01	1.013e-01	1.000e+00	8.236e-02	1.020e+00	7.396e-02	1.017e+00	8.249e-02	1.082e+00	8.201e-02	1.078e+00	9.600e-02	9.772e-01	9.079e-02	1.054e+00	9.511e-02	1.089e+00	9.584e-02	1.046e+00	9.915e-02	1.111e+00	8.874e-02	9.869e-01	6.133e-02
20	9.869e-01	7.332e-02	9.723e-01	9.423e-02	9.938e-01	6.827e-02	9.554e-01	9.552e-02	9.049e-01	7.397e-02	1.046e+00	8.782e-02	1.062e+00	7.693e-02	9.851e-01	1.046e-01	1.018e+00	8.114e-02	9.316e-01	6.929e-02	9.917e-01	8.018e-02	1.008e+00	7.737e-02	1.120e+00	9.453e-02	9.047e-01	8.549e-02	1.052e+00	9.237e-02	1.011e+00	9.087e-02	9.816e-01	9.493e-02	1.034e+00	8.404e-02	9.982e-01	6.077e-02
21	9.103e-01	6.913e-02	9.933e-01	9.518e-02	1.007e+00	6.811e-02	1.011e+00	9.736e-02	1.034e+00	7.800e-02	1.017e+00	8.502e-02	1.008e+00	7.359e-02	1.047e+00	1.053e-01	9.313e-01	7.614e-02	1.035e+00	7.155e-02	1.049e+00	8.146e-02	1.095e+00	7.985e-02	1.035e+00	8.890e-02	1.008e+00	8.881e-02	1.038e+00	9.190e-02	1.052e+00	9.040e-02	1.023e+00	9.462e-02	1.097e+00	8.546e-02	1.050e+00	6.094e-02
22	1.055e+00	7.343e-02	1.039e+00	9.574e-02	1.042e+00	6.861e-02	1.034e+00	9.710e-02	1.151e+00	8.055e-02	1.112e+00	8.839e-02	1.125e+00	7.665e-02	1.034e+00	1.040e-01	1.078e+00	8.087e-02	9.666e-01	6.877e-02	1.040e+00	7.994e-02	9.967e-01	7.530e-02	1.081e+00	8.996e-02	9.313e-01	8.420e-02	1.067e+00	9.134e-02	1.007e+00	8.763e-02	1.003e+00	9.169e-02	9.932e-01	8.056e-02	1.084e+00	6.126e-02
23	9.749e-01	6.971e-02	1.110e+00	9.809e-02	1.043e+00	6.691e-02	9.751e-01	9.238e-02	1.035e+00	7.570e-02	9.940e-01	8.184e-02	1.043e+00	7.305e-02	1.108e+00	1.048e-01	1.032e+00	7.811e-02	1.009e+00	6.910e-02	1.040e+00	7.832e-02	1.018e+00	7.413e-02	9.867e-01	8.396e-02	9.981e-01	8.618e-02	1.023e+00	8.798e-02	9.193e-01	8.261e-02	1.081e+00	9.388e-02	9.603e-01	7.763e-02	1.014e+00	5.811e-02
24	9.944e-01	6.938e-02	9.513e-01	8.894e-02	9.831e-01	6.445e-02	1.126e+00	9.798e-02	9.729e-01	7.207e-02	1.030e+00	8.171e-02	1.044e+00	7.211e-02	1.088e+00	1.029e-01	1.036e+00	7.681e-02	9.944e-01	6.745e-02	9.121e-01	7.255e-02	1.064e+00	7.519e-02	1.025e+00	8.444e-02	1.007e+00	8.582e-02	9.981e-01	8.524e-02	9.067e-01	8.035e-02	9.924e-01	8.781e-02	1.036e+00	7.930e-02	1.001e+00	5.707e-02
25	1.035e+00	7.015e-02	1.041e+00	9.179e-02	9.602e-01	6.261e-02	9.321e-01	8.829e-02	1.004e+00	7.192e-02	1.078e+00	8.240e-02	9.357e-01	6.689e-02	9.735e-01	9.616e-02	9.800e-01	7.403e-02	9.598e-01	6.570e-02	9.804e-01	7.416e-02	9.208e-01	6.904e-02	9.688e-01	8.043e-02	9.707e-01	8.318e-02	1.095e+00	8.862e-02	1.110e+00	8.727e-02	9.917e-01	8.626e-02	9.939e-01	7.730e-02	1.001e+00	5.553e-02
