# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210910_std2_2/: 12C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19
# plane	POL=4		POL=5		POL=1		POL=4		POL=3		POL=5		POL=5		POL=3		POL=1		POL=3		POL=1		POL=1		POL=3		POL=1		POL=5		POL=3		POL=3		POL=1		POL=2	
11	1.849e+03	4.300e+01	1.097e+03	3.312e+01	2.219e+03	4.711e+01	1.119e+03	3.345e+01	1.669e+03	4.085e+01	1.416e+03	3.763e+01	1.793e+03	4.234e+01	1.002e+03	3.165e+01	1.576e+03	3.970e+01	1.911e+03	4.371e+01	1.660e+03	4.074e+01	1.696e+03	4.118e+01	1.432e+03	3.784e+01	1.347e+03	3.670e+01	1.193e+03	3.454e+01	1.380e+03	3.715e+01	1.256e+03	3.544e+01	1.556e+03	3.945e+01	2.719e+03	5.214e+01
12	2.057e+03	4.535e+01	1.159e+03	3.404e+01	2.434e+03	4.934e+01	1.143e+03	3.381e+01	1.836e+03	4.285e+01	1.537e+03	3.920e+01	1.983e+03	4.453e+01	1.160e+03	3.406e+01	1.652e+03	4.064e+01	2.022e+03	4.497e+01	1.720e+03	4.147e+01	1.896e+03	4.354e+01	1.499e+03	3.872e+01	1.428e+03	3.779e+01	1.301e+03	3.607e+01	1.494e+03	3.865e+01	1.441e+03	3.796e+01	1.741e+03	4.173e+01	2.923e+03	5.406e+01
13	2.170e+03	4.658e+01	1.263e+03	3.554e+01	2.316e+03	4.812e+01	1.214e+03	3.484e+01	1.794e+03	4.236e+01	1.525e+03	3.905e+01	1.964e+03	4.432e+01	1.054e+03	3.247e+01	1.623e+03	4.029e+01	1.992e+03	4.463e+01	1.759e+03	4.194e+01	1.920e+03	4.382e+01	1.554e+03	3.942e+01	1.273e+03	3.568e+01	1.329e+03	3.646e+01	1.498e+03	3.870e+01	1.446e+03	3.803e+01	1.718e+03	4.145e+01	2.861e+03	5.349e+01
14	2.236e+03	4.729e+01	1.267e+03	3.559e+01	2.221e+03	4.713e+01	1.141e+03	3.378e+01	1.679e+03	4.098e+01	1.510e+03	3.886e+01	1.827e+03	4.274e+01	1.033e+03	3.214e+01	1.442e+03	3.797e+01	1.995e+03	4.467e+01	1.643e+03	4.053e+01	1.818e+03	4.264e+01	1.492e+03	3.863e+01	1.350e+03	3.674e+01	1.233e+03	3.511e+01	1.431e+03	3.783e+01	1.406e+03	3.750e+01	1.711e+03	4.136e+01	2.857e+03	5.345e+01
15	2.200e+03	4.690e+01	1.227e+03	3.503e+01	2.316e+03	4.812e+01	1.208e+03	3.476e+01	1.733e+03	4.163e+01	1.644e+03	4.055e+01	1.979e+03	4.449e+01	1.158e+03	3.403e+01	1.639e+03	4.048e+01	2.047e+03	4.524e+01	1.748e+03	4.181e+01	1.778e+03	4.217e+01	1.538e+03	3.922e+01	1.310e+03	3.619e+01	1.242e+03	3.524e+01	1.447e+03	3.804e+01	1.563e+03	3.953e+01	1.756e+03	4.190e+01	2.959e+03	5.440e+01
16	2.282e+03	4.777e+01	1.348e+03	3.672e+01	2.496e+03	4.996e+01	1.226e+03	3.501e+01	1.781e+03	4.220e+01	1.620e+03	4.025e+01	2.024e+03	4.499e+01	1.190e+03	3.450e+01	1.736e+03	4.167e+01	2.064e+03	4.543e+01	1.608e+03	4.010e+01	2.025e+03	4.500e+01	1.688e+03	4.109e+01	1.377e+03	3.711e+01	1.433e+03	3.785e+01	1.504e+03	3.878e+01	1.596e+03	3.995e+01	1.819e+03	4.265e+01	3.165e+03	5.626e+01
17	2.415e+03	4.914e+01	1.391e+03	3.730e+01	2.569e+03	5.069e+01	1.388e+03	3.726e+01	2.006e+03	4.479e+01	1.711e+03	4.136e+01	2.158e+03	4.645e+01	1.286e+03	3.586e+01	1.789e+03	4.230e+01	2.302e+03	4.798e+01	1.962e+03	4.429e+01	2.094e+03	4.576e+01	1.840e+03	4.290e+01	1.415e+03	3.762e+01	1.435e+03	3.788e+01	1.702e+03	4.126e+01	1.687e+03	4.107e+01	1.899e+03	4.358e+01	3.337e+03	5.777e+01
18	2.569e+03	5.069e+01	1.494e+03	3.865e+01	2.699e+03	5.195e+01	1.394e+03	3.734e+01	2.009e+03	4.482e+01	1.854e+03	4.306e+01	2.243e+03	4.736e+01	1.374e+03	3.707e+01	1.858e+03	4.310e+01	2.298e+03	4.794e+01	2.056e+03	4.534e+01	2.223e+03	4.715e+01	1.900e+03	4.359e+01	1.556e+03	3.945e+01	1.595e+03	3.994e+01	1.722e+03	4.150e+01	1.789e+03	4.230e+01	2.020e+03	4.494e+01	3.520e+03	5.933e+01
19	2.652e+03	5.150e+01	1.514e+03	3.891e+01	2.789e+03	5.281e+01	1.440e+03	3.795e+01	2.092e+03	4.574e+01	1.931e+03	4.394e+01	2.384e+03	4.883e+01	1.495e+03	3.867e+01	2.044e+03	4.521e+01	2.444e+03	4.944e+01	2.152e+03	4.639e+01	2.395e+03	4.894e+01	2.042e+03	4.519e+01	1.576e+03	3.970e+01	1.558e+03	3.947e+01	1.765e+03	4.201e+01	1.927e+03	4.390e+01	2.066e+03	4.545e+01	3.724e+03	6.102e+01
20	2.846e+03	5.335e+01	1.651e+03	4.063e+01	2.880e+03	5.367e+01	1.538e+03	3.922e+01	2.226e+03	4.718e+01	2.087e+03	4.568e+01	2.547e+03	5.047e+01	1.547e+03	3.933e+01	2.070e+03	4.550e+01	2.644e+03	5.142e+01	2.285e+03	4.780e+01	2.530e+03	5.030e+01	2.181e+03	4.670e+01	1.698e+03	4.121e+01	1.713e+03	4.139e+01	1.954e+03	4.420e+01	2.023e+03	4.498e+01	2.286e+03	4.781e+01	3.966e+03	6.298e+01
21	2.994e+03	5.472e+01	1.770e+03	4.207e+01	3.087e+03	5.556e+01	1.540e+03	3.924e+01	2.280e+03	4.775e+01	2.222e+03	4.714e+01	2.625e+03	5.123e+01	1.677e+03	4.095e+01	2.221e+03	4.713e+01	2.773e+03	5.266e+01	2.312e+03	4.808e+01	2.617e+03	5.116e+01	2.232e+03	4.724e+01	1.644e+03	4.055e+01	1.822e+03	4.268e+01	2.035e+03	4.511e+01	2.113e+03	4.597e+01	2.408e+03	4.907e+01	4.209e+03	6.488e+01
22	3.075e+03	5.545e+01	1.874e+03	4.329e+01	3.224e+03	5.678e+01	1.664e+03	4.079e+01	2.556e+03	5.056e+01	2.285e+03	4.780e+01	2.877e+03	5.364e+01	1.723e+03	4.151e+01	2.247e+03	4.740e+01	2.899e+03	5.384e+01	2.504e+03	5.004e+01	2.723e+03	5.218e+01	2.420e+03	4.919e+01	1.758e+03	4.193e+01	1.923e+03	4.385e+01	2.230e+03	4.722e+01	2.243e+03	4.736e+01	2.519e+03	5.019e+01	4.469e+03	6.685e+01
23	3.282e+03	5.729e+01	1.904e+03	4.363e+01	3.389e+03	5.822e+01	1.815e+03	4.260e+01	2.676e+03	5.173e+01	2.345e+03	4.843e+01	2.944e+03	5.426e+01	1.936e+03	4.400e+01	2.469e+03	4.969e+01	3.076e+03	5.546e+01	2.589e+03	5.088e+01	2.902e+03	5.387e+01	2.541e+03	5.041e+01	1.872e+03	4.327e+01	2.003e+03	4.475e+01	2.388e+03	4.887e+01	2.434e+03	4.934e+01	2.603e+03	5.102e+01	4.742e+03	6.886e+01
24	3.533e+03	5.944e+01	2.029e+03	4.504e+01	3.593e+03	5.994e+01	1.884e+03	4.341e+01	2.824e+03	5.314e+01	2.512e+03	5.012e+01	3.087e+03	5.556e+01	2.061e+03	4.540e+01	2.526e+03	5.026e+01	3.257e+03	5.707e+01	2.842e+03	5.331e+01	2.965e+03	5.445e+01	2.715e+03	5.211e+01	1.997e+03	4.469e+01	2.175e+03	4.664e+01	2.477e+03	4.977e+01	2.384e+03	4.883e+01	2.785e+03	5.277e+01	4.909e+03	7.006e+01
25	3.709e+03	6.090e+01	2.055e+03	4.533e+01	3.661e+03	6.051e+01	1.960e+03	4.427e+01	2.953e+03	5.434e+01	2.601e+03	5.100e+01	3.226e+03	5.680e+01	2.073e+03	4.553e+01	2.679e+03	5.176e+01	3.518e+03	5.931e+01	2.961e+03	5.442e+01	3.120e+03	5.586e+01	2.809e+03	5.300e+01	2.009e+03	4.482e+01	2.198e+03	4.688e+01	2.588e+03	5.087e+01	2.639e+03	5.137e+01	2.923e+03	5.406e+01	5.141e+03	7.170e+01
