# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210910_std2_2/: (12C15N/(12C14N+12C15N))*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
11	3.539e-01	3.579e-02	3.787e-01	4.649e-02	3.743e-01	3.054e-02	4.534e-01	5.504e-02	4.284e-01	3.698e-02	4.260e-01	4.223e-02	3.457e-01	3.329e-02	3.712e-01	5.010e-02	3.585e-01	3.453e-02	3.739e-01	3.321e-02	3.909e-01	3.543e-02	3.677e-01	3.600e-02	3.954e-01	4.072e-02	3.636e-01	3.724e-02	3.810e-01	4.375e-02	3.955e-01	4.345e-02	3.419e-01	4.244e-02	4.070e-01	4.445e-02	3.863e-01	3.052e-02
12	3.473e-01	3.557e-02	3.152e-01	4.234e-02	3.687e-01	3.023e-02	3.402e-01	4.677e-02	3.996e-01	3.557e-02	4.042e-01	4.119e-02	3.951e-01	3.566e-02	3.404e-01	4.747e-02	4.399e-01	3.819e-02	3.657e-01	3.294e-02	4.274e-01	3.703e-02	4.281e-01	3.929e-02	3.991e-01	4.056e-02	4.081e-01	3.968e-02	3.701e-01	4.306e-02	4.315e-01	4.541e-02	3.490e-01	4.300e-02	3.780e-01	4.257e-02	4.067e-01	3.136e-02
13	3.743e-01	3.718e-02	3.453e-01	4.481e-02	4.003e-01	3.322e-02	3.556e-01	5.138e-02	3.981e-01	3.758e-02	4.526e-01	4.588e-02	3.948e-01	3.710e-02	3.784e-01	5.253e-02	3.671e-01	3.703e-02	3.942e-01	3.648e-02	3.823e-01	3.665e-02	3.932e-01	3.965e-02	4.017e-01	4.323e-02	3.972e-01	4.112e-02	3.793e-01	4.638e-02	4.084e-01	4.614e-02	4.261e-01	5.045e-02	4.381e-01	4.858e-02	3.792e-01	3.231e-02
14	3.818e-01	3.973e-02	3.433e-01	4.697e-02	3.632e-01	3.333e-02	3.763e-01	5.554e-02	3.887e-01	3.891e-02	3.706e-01	4.372e-02	4.002e-01	3.986e-02	3.789e-01	5.532e-02	3.737e-01	3.931e-02	3.938e-01	3.829e-02	3.811e-01	3.873e-02	3.595e-01	4.010e-02	3.161e-01	4.001e-02	3.487e-01	4.098e-02	3.867e-01	4.897e-02	3.192e-01	4.269e-02	4.209e-01	5.267e-02	4.005e-01	4.880e-02	3.836e-01	3.407e-02
15	4.061e-01	4.261e-02	3.301e-01	4.819e-02	3.568e-01	3.367e-02	4.413e-01	6.126e-02	3.660e-01	3.861e-02	3.787e-01	4.546e-02	3.550e-01	3.832e-02	3.185e-01	5.137e-02	4.078e-01	4.189e-02	3.655e-01	3.744e-02	3.769e-01	3.933e-02	3.538e-01	4.062e-02	4.004e-01	4.539e-02	3.647e-01	4.302e-02	3.757e-01	4.875e-02	3.867e-01	4.800e-02	3.898e-01	5.168e-02	3.758e-01	4.796e-02	3.710e-01	3.376e-02
16	3.641e-01	4.061e-02	3.132e-01	4.726e-02	4.149e-01	3.657e-02	3.774e-01	5.694e-02	3.962e-01	4.069e-02	3.447e-01	4.347e-02	4.021e-01	4.097e-02	3.689e-01	5.599e-02	3.830e-01	4.064e-02	3.839e-01	3.843e-02	3.795e-01	3.949e-02	3.999e-01	4.317e-02	4.135e-01	4.657e-02	3.905e-01	4.455e-02	3.671e-01	4.825e-02	4.250e-01	5.031e-02	3.610e-01	4.964e-02	4.329e-01	5.180e-02	3.751e-01	3.427e-02
17	4.042e-01	4.337e-02	3.991e-01	5.363e-02	4.193e-01	3.732e-02	4.304e-01	6.125e-02	3.899e-01	4.069e-02	3.044e-01	4.107e-02	4.078e-01	4.177e-02	4.101e-01	5.925e-02	4.583e-01	4.510e-02	3.732e-01	3.812e-02	4.075e-01	4.142e-02	4.170e-01	4.450e-02	3.575e-01	4.323e-02	4.172e-01	4.612e-02	4.336e-01	5.284e-02	4.206e-01	5.069e-02	3.702e-01	5.043e-02	3.746e-01	4.821e-02	3.948e-01	3.513e-02
18	3.894e-01	4.279e-02	3.632e-01	5.193e-02	4.035e-01	3.679e-02	3.253e-01	5.316e-02	4.019e-01	4.139e-02	4.219e-01	4.860e-02	3.504e-01	3.873e-02	3.836e-01	5.789e-02	3.636e-01	3.995e-02	4.050e-01	3.976e-02	3.729e-01	3.979e-02	3.381e-01	3.988e-02	3.145e-01	4.097e-02	4.118e-01	4.652e-02	3.415e-01	4.695e-02	4.193e-01	5.072e-02	2.850e-01	4.454e-02	4.124e-01	5.140e-02	3.369e-01	3.260e-02
19	3.762e-01	4.210e-02	3.646e-01	5.213e-02	3.795e-01	3.614e-02	3.580e-01	5.631e-02	3.937e-01	4.142e-02	3.595e-01	4.498e-02	4.021e-01	4.163e-02	3.767e-01	5.750e-02	4.007e-01	4.205e-02	3.904e-01	3.927e-02	3.987e-01	4.127e-02	3.903e-01	4.314e-02	3.671e-01	4.489e-02	3.443e-01	4.275e-02	4.010e-01	5.161e-02	3.693e-01	4.813e-02	3.923e-01	5.201e-02	3.831e-01	4.971e-02	3.808e-01	3.465e-02
20	3.798e-01	4.237e-02	3.607e-01	5.184e-02	3.786e-01	3.565e-02	3.557e-01	5.561e-02	3.338e-01	3.807e-02	3.528e-01	4.466e-02	4.317e-01	4.344e-02	3.724e-01	5.684e-02	3.716e-01	4.047e-02	3.700e-01	3.830e-02	4.407e-01	4.347e-02	4.202e-01	4.497e-02	4.145e-01	4.683e-02	3.931e-01	4.543e-02	4.283e-01	5.298e-02	3.250e-01	4.490e-02	4.886e-01	5.847e-02	3.873e-01	4.984e-02	3.329e-01	3.252e-02
21	3.962e-01	4.354e-02	3.317e-01	5.033e-02	3.395e-01	3.406e-02	3.722e-01	5.749e-02	3.488e-01	3.953e-02	3.982e-01	4.764e-02	4.253e-01	4.323e-02	3.718e-01	5.676e-02	3.420e-01	3.901e-02	4.374e-01	4.166e-02	3.903e-01	4.107e-02	4.536e-01	4.672e-02	3.786e-01	4.497e-02	3.766e-01	4.474e-02	4.204e-01	5.282e-02	3.926e-01	4.951e-02	3.931e-01	5.189e-02	4.423e-01	5.350e-02	4.096e-01	3.590e-02
22	3.769e-01	4.231e-02	3.247e-01	4.927e-02	4.093e-01	3.740e-02	3.961e-01	5.910e-02	3.842e-01	4.099e-02	3.903e-01	4.738e-02	3.671e-01	4.021e-02	3.557e-01	5.526e-02	4.714e-01	4.595e-02	4.085e-01	4.059e-02	3.810e-01	4.054e-02	3.824e-01	4.306e-02	3.745e-01	4.449e-02	4.186e-01	4.729e-02	3.577e-01	4.850e-02	4.769e-01	5.477e-02	4.016e-01	5.234e-02	4.166e-01	5.192e-02	3.747e-01	3.445e-02
23	3.735e-01	4.233e-02	3.649e-01	5.244e-02	3.705e-01	3.569e-02	3.673e-01	5.673e-02	3.859e-01	4.154e-02	3.043e-01	4.163e-02	3.482e-01	3.946e-02	4.198e-01	6.003e-02	5.309e-01	4.884e-02	3.648e-01	3.827e-02	3.554e-01	3.928e-02	3.227e-01	3.960e-02	4.101e-01	4.678e-02	3.818e-01	4.489e-02	4.066e-01	5.169e-02	3.875e-01	4.927e-02	4.502e-01	5.527e-02	3.744e-01	4.921e-02	3.867e-01	3.505e-02
24	3.953e-01	4.370e-02	4.055e-01	5.524e-02	3.628e-01	3.527e-02	3.898e-01	5.785e-02	3.891e-01	4.175e-02	3.936e-01	4.744e-02	3.028e-01	3.689e-02	3.131e-01	5.258e-02	4.005e-01	4.273e-02	4.162e-01	4.096e-02	4.297e-01	4.357e-02	3.927e-01	4.382e-02	4.381e-01	4.785e-02	3.715e-01	4.476e-02	3.653e-01	4.930e-02	3.053e-01	4.387e-02	3.380e-01	4.760e-02	4.306e-01	5.286e-02	4.009e-01	3.561e-02
25	3.794e-01	4.273e-02	3.835e-01	5.349e-02	4.310e-01	3.859e-02	3.965e-01	5.916e-02	3.834e-01	4.114e-02	3.675e-01	4.580e-02	3.640e-01	4.048e-02	3.726e-01	5.687e-02	3.466e-01	3.915e-02	3.295e-01	3.631e-02	3.901e-01	4.128e-02	3.481e-01	4.091e-02	3.633e-01	4.362e-02	3.460e-01	4.312e-02	4.022e-01	5.134e-02	4.814e-01	5.475e-02	3.610e-01	4.941e-02	3.966e-01	5.104e-02	3.430e-01	3.288e-02
