# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210910_std2_2/: 12C15N
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19
# plane	POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=3		POL=1		POL=3		POL=1		POL=3		POL=4		POL=1		POL=3		POL=0		POL=1		POL=4	
1	2.050e+02	1.432e+01	1.240e+02	1.114e+01	2.910e+02	1.706e+01	1.070e+02	1.034e+01	2.030e+02	1.425e+01	1.940e+02	1.393e+01	2.280e+02	1.510e+01	1.170e+02	1.082e+01	2.180e+02	1.476e+01	2.240e+02	1.497e+01	2.170e+02	1.473e+01	1.890e+02	1.375e+01	1.440e+02	1.200e+01	1.910e+02	1.382e+01	1.420e+02	1.192e+01	1.460e+02	1.208e+01	1.470e+02	1.212e+01	1.320e+02	1.149e+01	3.280e+02	1.811e+01
2	2.080e+02	1.442e+01	1.690e+02	1.300e+01	3.300e+02	1.817e+01	1.190e+02	1.091e+01	2.760e+02	1.661e+01	2.180e+02	1.476e+01	2.620e+02	1.619e+01	1.190e+02	1.091e+01	2.270e+02	1.507e+01	2.750e+02	1.658e+01	2.340e+02	1.530e+01	2.310e+02	1.520e+01	1.720e+02	1.311e+01	1.930e+02	1.389e+01	1.590e+02	1.261e+01	1.800e+02	1.342e+01	1.250e+02	1.118e+01	1.440e+02	1.200e+01	3.850e+02	1.962e+01
3	2.580e+02	1.606e+01	1.270e+02	1.127e+01	3.410e+02	1.847e+01	1.160e+02	1.077e+01	2.720e+02	1.649e+01	2.010e+02	1.418e+01	2.720e+02	1.649e+01	1.340e+02	1.158e+01	2.440e+02	1.562e+01	2.900e+02	1.703e+01	2.360e+02	1.536e+01	2.350e+02	1.533e+01	1.940e+02	1.393e+01	2.070e+02	1.439e+01	1.750e+02	1.323e+01	1.950e+02	1.396e+01	1.740e+02	1.319e+01	1.940e+02	1.393e+01	3.900e+02	1.975e+01
4	2.420e+02	1.556e+01	1.400e+02	1.183e+01	3.110e+02	1.764e+01	1.220e+02	1.105e+01	2.760e+02	1.661e+01	2.200e+02	1.483e+01	2.840e+02	1.685e+01	1.120e+02	1.058e+01	2.430e+02	1.559e+01	2.790e+02	1.670e+01	2.520e+02	1.587e+01	2.660e+02	1.631e+01	1.770e+02	1.330e+01	2.420e+02	1.556e+01	1.590e+02	1.261e+01	1.700e+02	1.304e+01	1.650e+02	1.285e+01	1.870e+02	1.367e+01	3.790e+02	1.947e+01
5	2.040e+02	1.428e+01	1.600e+02	1.265e+01	3.070e+02	1.752e+01	1.120e+02	1.058e+01	2.720e+02	1.649e+01	2.090e+02	1.446e+01	2.380e+02	1.543e+01	1.270e+02	1.127e+01	2.920e+02	1.709e+01	3.050e+02	1.746e+01	2.710e+02	1.646e+01	2.440e+02	1.562e+01	1.880e+02	1.371e+01	2.200e+02	1.483e+01	1.780e+02	1.334e+01	1.730e+02	1.315e+01	1.450e+02	1.204e+01	1.590e+02	1.261e+01	3.580e+02	1.892e+01
6	2.250e+02	1.500e+01	1.300e+02	1.140e+01	3.380e+02	1.838e+01	1.320e+02	1.149e+01	2.960e+02	1.720e+01	1.900e+02	1.378e+01	2.560e+02	1.600e+01	1.260e+02	1.122e+01	2.420e+02	1.556e+01	2.640e+02	1.625e+01	2.820e+02	1.679e+01	2.220e+02	1.490e+01	1.890e+02	1.375e+01	2.380e+02	1.543e+01	1.590e+02	1.261e+01	1.680e+02	1.296e+01	1.330e+02	1.153e+01	1.780e+02	1.334e+01	3.680e+02	1.918e+01
7	2.210e+02	1.487e+01	1.570e+02	1.253e+01	3.260e+02	1.806e+01	1.180e+02	1.086e+01	2.440e+02	1.562e+01	1.880e+02	1.371e+01	2.350e+02	1.533e+01	1.230e+02	1.109e+01	2.440e+02	1.562e+01	2.830e+02	1.682e+01	3.070e+02	1.752e+01	2.260e+02	1.503e+01	1.880e+02	1.371e+01	2.130e+02	1.459e+01	1.580e+02	1.257e+01	1.690e+02	1.300e+01	1.300e+02	1.140e+01	1.940e+02	1.393e+01	3.530e+02	1.879e+01
8	2.240e+02	1.497e+01	1.520e+02	1.233e+01	3.070e+02	1.752e+01	1.360e+02	1.166e+01	2.710e+02	1.646e+01	1.550e+02	1.245e+01	2.350e+02	1.533e+01	1.170e+02	1.082e+01	2.400e+02	1.549e+01	3.030e+02	1.741e+01	2.400e+02	1.549e+01	2.170e+02	1.473e+01	1.890e+02	1.375e+01	2.080e+02	1.442e+01	1.820e+02	1.349e+01	1.800e+02	1.342e+01	1.420e+02	1.192e+01	1.580e+02	1.257e+01	3.460e+02	1.860e+01
9	2.010e+02	1.418e+01	1.390e+02	1.179e+01	3.220e+02	1.794e+01	1.150e+02	1.072e+01	2.660e+02	1.631e+01	2.010e+02	1.418e+01	2.600e+02	1.612e+01	1.280e+02	1.131e+01	2.280e+02	1.510e+01	2.770e+02	1.664e+01	2.710e+02	1.646e+01	2.160e+02	1.470e+01	1.870e+02	1.367e+01	2.100e+02	1.449e+01	1.550e+02	1.245e+01	1.580e+02	1.257e+01	1.480e+02	1.217e+01	1.640e+02	1.281e+01	3.060e+02	1.749e+01
10	2.160e+02	1.470e+01	1.100e+02	1.049e+01	2.920e+02	1.709e+01	1.110e+02	1.054e+01	2.320e+02	1.523e+01	1.680e+02	1.296e+01	2.080e+02	1.442e+01	1.160e+02	1.077e+01	2.260e+02	1.503e+01	2.550e+02	1.597e+01	2.550e+02	1.597e+01	2.160e+02	1.470e+01	1.810e+02	1.345e+01	2.290e+02	1.513e+01	1.530e+02	1.237e+01	1.390e+02	1.179e+01	1.400e+02	1.183e+01	1.710e+02	1.308e+01	3.280e+02	1.811e+01
