# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210910_std2_2/: 12C14N
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19
# plane	POL=3		POL=3		POL=3		POL=4		POL=4		POL=4		POL=3		POL=4		POL=3		POL=4		POL=4		POL=4		POL=3		POL=4		POL=3		POL=3		POL=3		POL=4		POL=3	
11	5.518e+04	2.349e+02	3.498e+04	1.870e+02	8.012e+04	2.830e+02	2.986e+04	1.728e+02	6.253e+04	2.501e+02	4.768e+04	2.184e+02	6.227e+04	2.495e+02	2.952e+04	1.718e+02	6.003e+04	2.450e+02	6.768e+04	2.602e+02	6.218e+04	2.494e+02	5.663e+04	2.380e+02	4.761e+04	2.182e+02	5.234e+04	2.288e+02	3.974e+04	1.993e+02	4.181e+04	2.045e+02	3.789e+04	1.947e+02	4.111e+04	2.028e+02	8.278e+04	2.877e+02
12	5.481e+04	2.341e+02	3.511e+04	1.874e+02	8.054e+04	2.838e+02	3.105e+04	1.762e+02	6.305e+04	2.511e+02	4.755e+04	2.181e+02	6.202e+04	2.490e+02	3.016e+04	1.737e+02	6.020e+04	2.454e+02	6.729e+04	2.594e+02	6.220e+04	2.494e+02	5.535e+04	2.353e+02	4.842e+04	2.200e+02	5.174e+04	2.275e+02	3.984e+04	1.996e+02	4.176e+04	2.044e+02	3.769e+04	1.941e+02	4.164e+04	2.041e+02	8.253e+04	2.873e+02
13	5.404e+04	2.325e+02	3.434e+04	1.853e+02	7.241e+04	2.691e+02	2.690e+04	1.640e+02	5.629e+04	2.372e+02	4.289e+04	2.071e+02	5.726e+04	2.393e+02	2.738e+04	1.655e+02	5.346e+04	2.312e+02	5.913e+04	2.432e+02	5.680e+04	2.383e+02	4.991e+04	2.234e+02	4.290e+04	2.071e+02	4.689e+04	2.165e+02	3.520e+04	1.876e+02	3.829e+04	1.957e+02	3.342e+04	1.828e+02	3.704e+04	1.925e+02	7.252e+04	2.693e+02
14	4.827e+04	2.197e+02	3.106e+04	1.762e+02	6.529e+04	2.555e+02	2.435e+04	1.561e+02	5.125e+04	2.264e+02	3.871e+04	1.967e+02	5.027e+04	2.242e+02	2.471e+04	1.572e+02	4.826e+04	2.197e+02	5.362e+04	2.316e+02	5.071e+04	2.252e+02	4.462e+04	2.112e+02	3.942e+04	1.985e+02	4.144e+04	2.036e+02	3.220e+04	1.794e+02	3.497e+04	1.870e+02	3.028e+04	1.740e+02	3.357e+04	1.832e+02	6.596e+04	2.568e+02
15	4.464e+04	2.113e+02	2.838e+04	1.685e+02	6.283e+04	2.507e+02	2.346e+04	1.532e+02	4.900e+04	2.214e+02	3.657e+04	1.912e+02	4.828e+04	2.197e+02	2.410e+04	1.552e+02	4.640e+04	2.154e+02	5.207e+04	2.282e+02	4.864e+04	2.205e+02	4.281e+04	2.069e+02	3.880e+04	1.970e+02	3.934e+04	1.983e+02	3.156e+04	1.776e+02	3.349e+04	1.830e+02	2.913e+04	1.707e+02	3.261e+04	1.806e+02	6.499e+04	2.549e+02
16	4.406e+04	2.099e+02	2.801e+04	1.674e+02	6.192e+04	2.488e+02	2.323e+04	1.524e+02	4.776e+04	2.185e+02	3.643e+04	1.909e+02	4.780e+04	2.186e+02	2.349e+04	1.533e+02	4.630e+04	2.152e+02	5.190e+04	2.278e+02	4.857e+04	2.204e+02	4.284e+04	2.070e+02	3.805e+04	1.951e+02	3.928e+04	1.982e+02	3.148e+04	1.774e+02	3.351e+04	1.830e+02	2.925e+04	1.710e+02	3.220e+04	1.794e+02	6.375e+04	2.525e+02
17	4.288e+04	2.071e+02	2.770e+04	1.664e+02	6.009e+04	2.451e+02	2.290e+04	1.513e+02	4.701e+04	2.168e+02	3.603e+04	1.898e+02	4.665e+04	2.160e+02	2.332e+04	1.527e+02	4.496e+04	2.120e+02	5.126e+04	2.264e+02	4.741e+04	2.177e+02	4.203e+04	2.050e+02	3.819e+04	1.954e+02	3.915e+04	1.979e+02	3.100e+04	1.761e+02	3.267e+04	1.808e+02	2.906e+04	1.705e+02	3.218e+04	1.794e+02	6.384e+04	2.527e+02
18	4.246e+04	2.061e+02	2.689e+04	1.640e+02	5.949e+04	2.439e+02	2.298e+04	1.516e+02	4.683e+04	2.164e+02	3.564e+04	1.888e+02	4.664e+04	2.160e+02	2.285e+04	1.512e+02	4.548e+04	2.133e+02	5.114e+04	2.262e+02	4.702e+04	2.168e+02	4.245e+04	2.060e+02	3.740e+04	1.934e+02	3.797e+04	1.949e+02	3.093e+04	1.759e+02	3.253e+04	1.804e+02	2.869e+04	1.694e+02	3.115e+04	1.765e+02	6.331e+04	2.516e+02
19	4.237e+04	2.058e+02	2.678e+04	1.636e+02	5.801e+04	2.408e+02	2.254e+04	1.501e+02	4.580e+04	2.140e+02	3.547e+04	1.883e+02	4.631e+04	2.152e+02	2.274e+04	1.508e+02	4.523e+04	2.127e+02	5.052e+04	2.248e+02	4.672e+04	2.161e+02	4.186e+04	2.046e+02	3.637e+04	1.907e+02	3.762e+04	1.940e+02	3.005e+04	1.733e+02	3.183e+04	1.784e+02	2.895e+04	1.701e+02	3.094e+04	1.759e+02	6.331e+04	2.516e+02
20	4.223e+04	2.055e+02	2.680e+04	1.637e+02	5.947e+04	2.439e+02	2.297e+04	1.516e+02	4.598e+04	2.144e+02	3.531e+04	1.879e+02	4.567e+04	2.137e+02	2.301e+04	1.517e+02	4.531e+04	2.129e+02	5.036e+04	2.244e+02	4.654e+04	2.157e+02	4.147e+04	2.036e+02	3.772e+04	1.942e+02	3.801e+04	1.950e+02	3.045e+04	1.745e+02	3.220e+04	1.794e+02	2.852e+04	1.689e+02	3.112e+04	1.764e+02	6.287e+04	2.507e+02
21	4.173e+04	2.043e+02	2.614e+04	1.617e+02	5.842e+04	2.417e+02	2.248e+04	1.499e+02	4.457e+04	2.111e+02	3.502e+04	1.871e+02	4.542e+04	2.131e+02	2.304e+04	1.518e+02	4.487e+04	2.118e+02	5.030e+04	2.243e+02	4.619e+04	2.149e+02	4.148e+04	2.037e+02	3.736e+04	1.933e+02	3.756e+04	1.938e+02	3.008e+04	1.734e+02	3.197e+04	1.788e+02	2.914e+04	1.707e+02	3.084e+04	1.756e+02	6.345e+04	2.519e+02
22	4.202e+04	2.050e+02	2.671e+04	1.634e+02	5.840e+04	2.417e+02	2.263e+04	1.504e+02	4.564e+04	2.136e+02	3.471e+04	1.863e+02	4.532e+04	2.129e+02	2.325e+04	1.525e+02	4.455e+04	2.111e+02	4.949e+04	2.225e+02	4.628e+04	2.151e+02	4.116e+04	2.029e+02	3.777e+04	1.944e+02	3.735e+04	1.933e+02	3.036e+04	1.742e+02	3.172e+04	1.781e+02	2.926e+04	1.711e+02	3.084e+04	1.756e+02	6.302e+04	2.510e+02
23	4.161e+04	2.040e+02	2.649e+04	1.627e+02	5.808e+04	2.410e+02	2.278e+04	1.509e+02	4.465e+04	2.113e+02	3.506e+04	1.872e+02	4.465e+04	2.113e+02	2.325e+04	1.525e+02	4.440e+04	2.107e+02	4.971e+04	2.230e+02	4.599e+04	2.144e+02	4.108e+04	2.027e+02	3.740e+04	1.934e+02	3.783e+04	1.945e+02	3.037e+04	1.743e+02	3.187e+04	1.785e+02	2.941e+04	1.715e+02	3.086e+04	1.757e+02	6.285e+04	2.507e+02
24	4.132e+04	2.033e+02	2.653e+04	1.629e+02	5.822e+04	2.413e+02	2.325e+04	1.525e+02	4.455e+04	2.111e+02	3.492e+04	1.869e+02	4.445e+04	2.108e+02	2.261e+04	1.504e+02	4.377e+04	2.092e+02	4.952e+04	2.225e+02	4.518e+04	2.126e+02	4.083e+04	2.021e+02	3.818e+04	1.954e+02	3.701e+04	1.924e+02	3.000e+04	1.732e+02	3.168e+04	1.780e+02	2.978e+04	1.726e+02	3.076e+04	1.754e+02	6.311e+04	2.512e+02
25	4.148e+04	2.037e+02	2.675e+04	1.636e+02	5.775e+04	2.403e+02	2.261e+04	1.504e+02	4.522e+04	2.126e+02	3.498e+04	1.870e+02	4.434e+04	2.106e+02	2.300e+04	1.516e+02	4.514e+04	2.125e+02	4.991e+04	2.234e+02	4.570e+04	2.138e+02	4.152e+04	2.038e+02	3.812e+04	1.952e+02	3.715e+04	1.928e+02	3.046e+04	1.745e+02	3.204e+04	1.790e+02	2.953e+04	1.718e+02	3.039e+04	1.743e+02	6.335e+04	2.517e+02
