# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210910_std2_2/: 13C/(12C+13C)*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
11	9.641e-01	3.222e-01	7.240e-01	3.627e-01	8.933e-01	2.831e-01	1.061e+00	4.343e-01	1.184e+00	3.756e-01	9.790e-01	3.709e-01	6.648e-01	2.719e-01	4.965e-01	3.144e-01	7.557e-01	3.091e-01	1.087e+00	3.364e-01	7.177e-01	2.935e-01	6.444e-01	2.752e-01	9.682e-01	3.668e-01	5.904e-01	2.956e-01	9.136e-01	3.905e-01	1.075e+00	3.937e-01	7.899e-01	3.540e-01	1.081e+00	3.717e-01	9.111e-01	2.583e-01
12	1.058e+00	3.199e-01	6.855e-01	3.434e-01	6.936e-01	2.383e-01	8.673e-01	3.887e-01	1.131e+00	3.500e-01	6.464e-01	2.896e-01	7.508e-01	2.747e-01	5.998e-01	3.211e-01	6.615e-01	2.825e-01	7.364e-01	2.694e-01	8.646e-01	3.164e-01	9.404e-01	3.142e-01	9.253e-01	3.506e-01	7.644e-01	3.266e-01	6.112e-01	3.060e-01	1.060e+00	3.756e-01	8.259e-01	3.379e-01	6.845e-01	2.799e-01	1.016e+00	2.630e-01
13	7.773e-01	2.671e-01	7.075e-01	3.341e-01	8.986e-01	2.779e-01	8.170e-01	3.661e-01	9.934e-01	3.320e-01	9.740e-01	3.565e-01	8.081e-01	2.863e-01	6.598e-01	3.532e-01	7.946e-01	3.123e-01	1.190e+00	3.447e-01	7.336e-01	2.883e-01	7.752e-01	2.836e-01	1.082e+00	3.722e-01	7.794e-01	3.493e-01	1.116e+00	4.087e-01	7.947e-01	3.251e-01	6.186e-01	2.920e-01	4.635e-01	2.320e-01	8.319e-01	2.406e-01
14	8.426e-01	2.739e-01	7.053e-01	3.331e-01	8.039e-01	2.685e-01	6.963e-01	3.487e-01	1.002e+00	3.447e-01	8.536e-01	3.355e-01	5.985e-01	2.556e-01	1.054e+00	4.505e-01	1.030e+00	3.769e-01	8.942e-01	2.987e-01	7.850e-01	3.085e-01	1.088e+00	3.450e-01	6.658e-01	2.982e-01	1.026e+00	3.889e-01	1.439e+00	4.814e-01	1.037e+00	3.798e-01	8.463e-01	3.462e-01	5.811e-01	2.602e-01	7.642e-01	2.308e-01
15	9.455e-01	2.925e-01	8.084e-01	3.623e-01	7.287e-01	2.504e-01	9.836e-01	4.026e-01	8.581e-01	3.140e-01	5.445e-01	2.570e-01	9.510e-01	3.093e-01	8.562e-01	3.837e-01	7.869e-01	3.093e-01	1.015e+00	3.142e-01	7.946e-01	3.009e-01	1.222e+00	3.697e-01	6.460e-01	2.894e-01	5.315e-01	2.845e-01	9.569e-01	3.916e-01	4.129e-01	2.387e-01	1.076e+00	3.700e-01	7.349e-01	2.888e-01	1.037e+00	2.640e-01
16	9.549e-01	2.886e-01	1.028e+00	3.895e-01	1.031e+00	2.867e-01	9.693e-01	3.967e-01	9.455e-01	3.251e-01	9.174e-01	3.358e-01	1.075e+00	3.251e-01	1.163e+00	4.408e-01	3.444e-01	1.990e-01	8.169e-01	2.808e-01	1.046e+00	3.598e-01	8.325e-01	2.861e-01	1.055e+00	3.526e-01	7.210e-01	3.230e-01	6.930e-01	3.105e-01	9.875e-01	3.615e-01	1.054e+00	3.625e-01	1.141e+00	3.532e-01	9.080e-01	2.390e-01
17	1.106e+00	3.018e-01	9.964e-01	3.776e-01	6.958e-01	2.323e-01	1.140e+00	4.041e-01	9.872e-01	3.129e-01	1.098e+00	3.573e-01	1.145e+00	3.249e-01	6.950e-01	3.282e-01	9.413e-01	3.236e-01	9.040e-01	2.796e-01	8.590e-01	2.953e-01	6.641e-01	2.514e-01	4.867e-01	2.297e-01	1.187e+00	4.084e-01	1.510e+00	4.570e-01	9.313e-01	3.300e-01	1.172e+00	3.716e-01	8.355e-01	2.960e-01	9.204e-01	2.343e-01
18	8.491e-01	2.566e-01	9.284e-01	3.517e-01	8.085e-01	2.443e-01	9.943e-01	3.768e-01	9.857e-01	3.125e-01	1.067e+00	3.384e-01	8.400e-01	2.731e-01	1.505e+00	4.663e-01	6.948e-01	2.730e-01	1.076e+00	3.052e-01	1.011e+00	3.128e-01	8.032e-01	2.683e-01	7.315e-01	2.770e-01	1.018e+00	3.608e-01	1.177e+00	3.831e-01	9.206e-01	3.262e-01	6.111e-01	2.610e-01	5.906e-01	2.414e-01	1.096e+00	2.488e-01
19	8.598e-01	2.541e-01	1.110e+00	3.819e-01	7.473e-01	2.311e-01	9.629e-01	3.648e-01	9.000e-01	2.927e-01	8.218e-01	2.911e-01	8.732e-01	2.701e-01	1.190e+00	3.978e-01	1.161e+00	3.360e-01	1.093e+00	2.982e-01	8.295e-01	2.771e-01	1.074e+00	2.987e-01	6.809e-01	2.578e-01	7.557e-01	3.091e-01	1.017e+00	3.603e-01	6.753e-01	2.762e-01	7.724e-01	2.826e-01	9.113e-01	2.963e-01	1.141e+00	2.469e-01
20	1.043e+00	2.700e-01	5.422e-01	2.559e-01	6.897e-01	2.185e-01	8.382e-01	3.295e-01	8.905e-01	2.822e-01	8.080e-01	2.777e-01	9.335e-01	2.701e-01	8.969e-01	3.397e-01	1.193e+00	3.385e-01	1.233e+00	3.044e-01	9.536e-01	2.882e-01	9.397e-01	2.719e-01	6.831e-01	2.498e-01	1.107e+00	3.600e-01	8.681e-01	3.177e-01	1.063e+00	3.290e-01	7.847e-01	2.780e-01	1.125e+00	3.128e-01	1.048e+00	2.293e-01
21	5.316e-01	1.882e-01	8.959e-01	3.174e-01	7.395e-01	2.185e-01	6.452e-01	2.890e-01	6.536e-01	2.391e-01	1.024e+00	3.029e-01	9.060e-01	2.621e-01	7.105e-01	2.906e-01	9.808e-01	2.965e-01	9.643e-01	2.631e-01	9.850e-01	2.912e-01	9.463e-01	2.683e-01	1.064e+00	3.079e-01	9.042e-01	3.309e-01	1.086e+00	3.443e-01	1.214e+00	3.443e-01	9.376e-01	2.972e-01	9.461e-01	2.797e-01	8.481e-01	2.003e-01
22	6.141e-01	1.995e-01	8.466e-01	2.999e-01	7.083e-01	2.093e-01	8.343e-01	3.160e-01	7.764e-01	2.460e-01	9.536e-01	2.882e-01	9.979e-01	2.627e-01	7.488e-01	2.943e-01	7.947e-01	2.654e-01	5.489e-01	1.943e-01	1.223e+00	3.116e-01	9.458e-01	2.629e-01	7.383e-01	2.466e-01	7.901e-01	2.992e-01	1.182e+00	3.496e-01	8.448e-01	2.747e-01	1.146e+00	3.187e-01	9.438e-01	2.731e-01	1.019e+00	2.130e-01
23	1.293e+00	2.798e-01	5.744e-01	2.453e-01	1.080e+00	2.518e-01	8.197e-01	2.999e-01	1.436e+00	3.265e-01	7.197e-01	2.473e-01	1.042e+00	2.654e-01	8.705e-01	2.992e-01	9.230e-01	2.728e-01	9.340e-01	2.459e-01	9.564e-01	2.712e-01	1.124e+00	2.776e-01	8.970e-01	2.651e-01	5.313e-01	2.379e-01	7.925e-01	2.807e-01	7.481e-01	2.498e-01	9.764e-01	2.826e-01	8.759e-01	2.588e-01	9.193e-01	1.965e-01
24	6.747e-01	1.951e-01	1.121e+00	3.315e-01	1.074e+00	2.438e-01	8.943e-01	3.074e-01	8.427e-01	2.438e-01	1.024e+00	2.849e-01	7.395e-01	2.185e-01	7.225e-01	2.643e-01	1.096e+00	2.938e-01	6.406e-01	1.980e-01	1.079e+00	2.748e-01	8.361e-01	2.370e-01	1.057e+00	2.783e-01	6.468e-01	2.541e-01	6.396e-01	2.421e-01	9.200e-01	2.719e-01	1.038e+00	2.943e-01	7.838e-01	2.368e-01	1.207e+00	2.211e-01
25	8.554e-01	2.143e-01	9.161e-01	2.979e-01	9.202e-01	2.237e-01	1.010e+00	3.202e-01	8.062e-01	2.332e-01	8.765e-01	2.590e-01	6.468e-01	1.999e-01	1.003e+00	3.103e-01	7.778e-01	2.405e-01	7.616e-01	2.077e-01	1.036e+00	2.639e-01	9.524e-01	2.465e-01	1.092e+00	2.780e-01	1.083e+00	3.275e-01	8.123e-01	2.713e-01	1.146e+00	2.967e-01	1.456e+00	3.310e-01	1.116e+00	2.756e-01	1.020e+00	1.987e-01
