# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_Std2_1/: 12C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3
# plane	POL=3		POL=1		POL=2	
1	4.500e+01	6.708e+00	1.614e+03	4.017e+01	1.640e+02	1.281e+01
2	5.100e+01	7.141e+00	1.039e+03	3.223e+01	1.590e+02	1.261e+01
3	5.900e+01	7.681e+00	9.720e+02	3.118e+01	1.890e+02	1.375e+01
4	6.700e+01	8.185e+00	9.940e+02	3.153e+01	2.210e+02	1.487e+01
5	5.300e+01	7.280e+00	1.019e+03	3.192e+01	2.790e+02	1.670e+01
6	7.100e+01	8.426e+00	1.012e+03	3.181e+01	3.200e+02	1.789e+01
7	7.000e+01	8.367e+00	1.070e+03	3.271e+01	3.840e+02	1.960e+01
8	7.200e+01	8.485e+00	1.126e+03	3.356e+01	3.540e+02	1.881e+01
9	5.100e+01	7.141e+00	1.081e+03	3.288e+01	4.070e+02	2.017e+01
10	7.100e+01	8.426e+00	1.176e+03	3.429e+01	4.540e+02	2.131e+01
11	5.300e+01	7.280e+00	1.108e+03	3.329e+01	4.910e+02	2.216e+01
12	4.900e+01	7.000e+00	1.249e+03	3.534e+01	4.770e+02	2.184e+01
13	2.900e+01	5.385e+00	1.248e+03	3.533e+01	5.490e+02	2.343e+01
14	3.400e+01	5.831e+00	1.345e+03	3.667e+01	5.070e+02	2.252e+01
15	3.900e+01	6.245e+00	1.341e+03	3.662e+01	5.540e+02	2.354e+01
16	3.000e+01	5.477e+00	1.409e+03	3.754e+01	5.200e+02	2.280e+01
17	3.900e+01	6.245e+00	1.463e+03	3.825e+01	5.650e+02	2.377e+01
18	2.600e+01	5.099e+00	1.581e+03	3.976e+01	5.580e+02	2.362e+01
19	4.000e+01	6.325e+00	1.612e+03	4.015e+01	5.280e+02	2.298e+01
20	2.500e+01	5.000e+00	1.693e+03	4.115e+01	4.950e+02	2.225e+01
21	3.200e+01	5.657e+00	1.787e+03	4.227e+01	4.580e+02	2.140e+01
22	4.200e+01	6.481e+00	1.816e+03	4.261e+01	4.780e+02	2.186e+01
23	3.500e+01	5.916e+00	1.851e+03	4.302e+01	4.010e+02	2.002e+01
24	4.300e+01	6.557e+00	2.021e+03	4.496e+01	4.560e+02	2.135e+01
25	4.900e+01	7.000e+00	2.144e+03	4.630e+01	4.480e+02	2.117e+01
