# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_Std2_1/: 12C14N
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3
# plane	POL=3		POL=3		POL=4	
1	3.712e+03	6.093e+01	8.866e+04	2.977e+02	1.366e+04	1.169e+02
2	3.432e+03	5.858e+01	8.652e+04	2.941e+02	1.419e+04	1.191e+02
3	3.125e+03	5.590e+01	8.618e+04	2.936e+02	1.478e+04	1.216e+02
4	2.550e+03	5.050e+01	8.716e+04	2.952e+02	1.488e+04	1.220e+02
5	2.191e+03	4.681e+01	8.938e+04	2.990e+02	1.561e+04	1.249e+02
6	1.948e+03	4.414e+01	8.829e+04	2.971e+02	1.538e+04	1.240e+02
7	1.580e+03	3.975e+01	8.744e+04	2.957e+02	1.504e+04	1.226e+02
8	1.350e+03	3.674e+01	8.584e+04	2.930e+02	1.348e+04	1.161e+02
9	1.222e+03	3.496e+01	8.542e+04	2.923e+02	1.261e+04	1.123e+02
10	1.036e+03	3.219e+01	8.052e+04	2.838e+02	1.284e+04	1.133e+02
11	9.340e+02	3.056e+01	7.983e+04	2.825e+02	1.229e+04	1.108e+02
12	7.570e+02	2.751e+01	7.702e+04	2.775e+02	1.134e+04	1.065e+02
13	7.090e+02	2.663e+01	7.562e+04	2.750e+02	1.127e+04	1.062e+02
14	6.540e+02	2.557e+01	7.546e+04	2.747e+02	9.848e+03	9.924e+01
15	5.940e+02	2.437e+01	7.188e+04	2.681e+02	9.795e+03	9.897e+01
16	5.620e+02	2.371e+01	7.024e+04	2.650e+02	8.708e+03	9.332e+01
17	5.430e+02	2.330e+01	7.080e+04	2.661e+02	8.728e+03	9.342e+01
18	4.180e+02	2.045e+01	6.848e+04	2.617e+02	7.895e+03	8.885e+01
19	4.390e+02	2.095e+01	6.734e+04	2.595e+02	7.708e+03	8.780e+01
20	3.300e+02	1.817e+01	6.703e+04	2.589e+02	6.953e+03	8.338e+01
21	3.420e+02	1.849e+01	6.590e+04	2.567e+02	6.414e+03	8.009e+01
22	3.200e+02	1.789e+01	6.484e+04	2.546e+02	6.305e+03	7.940e+01
23	3.060e+02	1.749e+01	6.376e+04	2.525e+02	5.553e+03	7.452e+01
24	2.680e+02	1.637e+01	6.321e+04	2.514e+02	5.653e+03	7.519e+01
25	3.200e+02	1.789e+01	6.346e+04	2.519e+02	5.331e+03	7.301e+01
