# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210909_std2_3/: 12C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11
# plane	POL=2		POL=2		POL=2		POL=2		POL=2		POL=1		POL=2		POL=2		POL=2		POL=2		POL=2	
1	1.145e+03	3.384e+01	5.480e+02	2.341e+01	1.183e+03	3.439e+01	1.048e+03	3.237e+01	4.570e+02	2.138e+01	9.610e+02	3.100e+01	6.300e+02	2.510e+01	9.560e+02	3.092e+01	8.250e+02	2.872e+01	5.750e+02	2.398e+01	1.301e+03	3.607e+01
2	1.132e+03	3.365e+01	4.660e+02	2.159e+01	1.185e+03	3.442e+01	1.051e+03	3.242e+01	4.090e+02	2.022e+01	1.054e+03	3.247e+01	6.770e+02	2.602e+01	9.800e+02	3.130e+01	8.040e+02	2.835e+01	5.710e+02	2.390e+01	1.398e+03	3.739e+01
3	1.140e+03	3.376e+01	4.710e+02	2.170e+01	1.344e+03	3.666e+01	1.053e+03	3.245e+01	4.420e+02	2.102e+01	1.107e+03	3.327e+01	6.700e+02	2.588e+01	1.041e+03	3.226e+01	8.110e+02	2.848e+01	5.560e+02	2.358e+01	1.396e+03	3.736e+01
4	1.220e+03	3.493e+01	4.500e+02	2.121e+01	1.352e+03	3.677e+01	1.154e+03	3.397e+01	4.230e+02	2.057e+01	1.190e+03	3.450e+01	6.510e+02	2.551e+01	1.116e+03	3.341e+01	8.280e+02	2.877e+01	5.910e+02	2.431e+01	1.497e+03	3.869e+01
5	1.214e+03	3.484e+01	4.920e+02	2.218e+01	1.434e+03	3.787e+01	1.136e+03	3.370e+01	4.890e+02	2.211e+01	1.263e+03	3.554e+01	7.710e+02	2.777e+01	1.054e+03	3.247e+01	8.600e+02	2.933e+01	5.880e+02	2.425e+01	1.619e+03	4.024e+01
6	1.317e+03	3.629e+01	5.800e+02	2.408e+01	1.455e+03	3.814e+01	1.187e+03	3.445e+01	4.740e+02	2.177e+01	1.342e+03	3.663e+01	7.060e+02	2.657e+01	1.201e+03	3.466e+01	8.500e+02	2.915e+01	6.150e+02	2.480e+01	1.666e+03	4.082e+01
7	1.362e+03	3.691e+01	6.020e+02	2.454e+01	1.670e+03	4.087e+01	1.278e+03	3.575e+01	4.990e+02	2.234e+01	1.450e+03	3.808e+01	8.140e+02	2.853e+01	1.349e+03	3.673e+01	8.980e+02	2.997e+01	6.540e+02	2.557e+01	1.820e+03	4.266e+01
8	1.383e+03	3.719e+01	6.050e+02	2.460e+01	1.761e+03	4.196e+01	1.339e+03	3.659e+01	5.160e+02	2.272e+01	1.458e+03	3.818e+01	8.220e+02	2.867e+01	1.311e+03	3.621e+01	9.840e+02	3.137e+01	7.040e+02	2.653e+01	1.870e+03	4.324e+01
9	1.449e+03	3.807e+01	5.980e+02	2.445e+01	1.837e+03	4.286e+01	1.362e+03	3.691e+01	5.120e+02	2.263e+01	1.627e+03	4.034e+01	8.430e+02	2.903e+01	1.436e+03	3.789e+01	9.730e+02	3.119e+01	7.710e+02	2.777e+01	1.970e+03	4.438e+01
10	1.526e+03	3.906e+01	6.410e+02	2.532e+01	1.984e+03	4.454e+01	1.413e+03	3.759e+01	6.200e+02	2.490e+01	1.702e+03	4.126e+01	8.640e+02	2.939e+01	1.524e+03	3.904e+01	1.078e+03	3.283e+01	7.680e+02	2.771e+01	2.108e+03	4.591e+01
