# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210909_std2_3/: 12C15N
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11
# plane	POL=1		POL=0		POL=0		POL=5		POL=0		POL=5		POL=0		POL=0		POL=1		POL=0		POL=2	
1	2.200e+02	1.483e+01	1.290e+02	1.136e+01	2.310e+02	1.520e+01	2.260e+02	1.503e+01	7.600e+01	8.718e+00	1.990e+02	1.411e+01	1.660e+02	1.288e+01	1.910e+02	1.382e+01	2.530e+02	1.591e+01	1.210e+02	1.100e+01	2.410e+02	1.552e+01
2	2.200e+02	1.483e+01	1.040e+02	1.020e+01	2.360e+02	1.536e+01	1.910e+02	1.382e+01	7.700e+01	8.775e+00	2.120e+02	1.456e+01	1.740e+02	1.319e+01	1.830e+02	1.353e+01	2.490e+02	1.578e+01	1.080e+02	1.039e+01	2.230e+02	1.493e+01
3	2.160e+02	1.470e+01	1.140e+02	1.068e+01	2.160e+02	1.470e+01	1.650e+02	1.285e+01	7.500e+01	8.660e+00	1.950e+02	1.396e+01	1.960e+02	1.400e+01	2.040e+02	1.428e+01	2.370e+02	1.539e+01	1.040e+02	1.020e+01	2.190e+02	1.480e+01
4	2.220e+02	1.490e+01	1.120e+02	1.058e+01	2.270e+02	1.507e+01	2.070e+02	1.439e+01	9.400e+01	9.695e+00	2.030e+02	1.425e+01	1.620e+02	1.273e+01	1.760e+02	1.327e+01	2.240e+02	1.497e+01	1.220e+02	1.105e+01	2.150e+02	1.466e+01
5	2.320e+02	1.523e+01	1.080e+02	1.039e+01	2.550e+02	1.597e+01	2.050e+02	1.432e+01	7.700e+01	8.775e+00	1.990e+02	1.411e+01	1.310e+02	1.145e+01	1.790e+02	1.338e+01	2.190e+02	1.480e+01	1.100e+02	1.049e+01	2.200e+02	1.483e+01
6	2.200e+02	1.483e+01	9.400e+01	9.695e+00	2.530e+02	1.591e+01	2.110e+02	1.453e+01	7.400e+01	8.602e+00	1.800e+02	1.342e+01	1.460e+02	1.208e+01	1.610e+02	1.269e+01	1.860e+02	1.364e+01	1.140e+02	1.068e+01	1.980e+02	1.407e+01
7	2.140e+02	1.463e+01	8.800e+01	9.381e+00	2.330e+02	1.526e+01	1.780e+02	1.334e+01	7.200e+01	8.485e+00	1.900e+02	1.378e+01	1.490e+02	1.221e+01	1.750e+02	1.323e+01	1.800e+02	1.342e+01	1.260e+02	1.122e+01	1.980e+02	1.407e+01
8	2.100e+02	1.449e+01	1.070e+02	1.034e+01	2.240e+02	1.497e+01	2.000e+02	1.414e+01	9.300e+01	9.644e+00	1.850e+02	1.360e+01	1.600e+02	1.265e+01	1.750e+02	1.323e+01	1.950e+02	1.396e+01	1.020e+02	1.010e+01	2.090e+02	1.446e+01
9	1.980e+02	1.407e+01	9.300e+01	9.644e+00	1.970e+02	1.404e+01	1.790e+02	1.338e+01	9.400e+01	9.695e+00	2.010e+02	1.418e+01	1.320e+02	1.149e+01	1.850e+02	1.360e+01	2.090e+02	1.446e+01	1.100e+02	1.049e+01	2.150e+02	1.466e+01
10	2.250e+02	1.500e+01	8.900e+01	9.434e+00	2.480e+02	1.575e+01	1.660e+02	1.288e+01	5.800e+01	7.616e+00	1.890e+02	1.375e+01	1.560e+02	1.249e+01	1.730e+02	1.315e+01	1.730e+02	1.315e+01	9.700e+01	9.849e+00	1.960e+02	1.400e+01
11	1.950e+02	1.396e+01	9.300e+01	9.644e+00	2.200e+02	1.483e+01	1.760e+02	1.327e+01	9.000e+01	9.487e+00	1.540e+02	1.241e+01	1.560e+02	1.249e+01	2.020e+02	1.421e+01	1.700e+02	1.304e+01	1.140e+02	1.068e+01	1.740e+02	1.319e+01
12	2.010e+02	1.418e+01	7.900e+01	8.888e+00	2.120e+02	1.456e+01	1.600e+02	1.265e+01	6.300e+01	7.937e+00	1.820e+02	1.349e+01	1.590e+02	1.261e+01	1.590e+02	1.261e+01	2.090e+02	1.446e+01	1.020e+02	1.010e+01	1.680e+02	1.296e+01
13	1.860e+02	1.364e+01	9.100e+01	9.539e+00	2.220e+02	1.490e+01	1.550e+02	1.245e+01	7.800e+01	8.832e+00	1.890e+02	1.375e+01	1.220e+02	1.105e+01	1.880e+02	1.371e+01	1.720e+02	1.311e+01	1.090e+02	1.044e+01	1.980e+02	1.407e+01
14	2.010e+02	1.418e+01	9.000e+01	9.487e+00	2.200e+02	1.483e+01	1.550e+02	1.245e+01	7.300e+01	8.544e+00	1.610e+02	1.269e+01	1.300e+02	1.140e+01	1.660e+02	1.288e+01	1.780e+02	1.334e+01	9.300e+01	9.644e+00	1.790e+02	1.338e+01
15	1.720e+02	1.311e+01	8.500e+01	9.220e+00	2.120e+02	1.456e+01	1.900e+02	1.378e+01	6.700e+01	8.185e+00	1.610e+02	1.269e+01	1.430e+02	1.196e+01	1.960e+02	1.400e+01	1.640e+02	1.281e+01	1.060e+02	1.030e+01	1.920e+02	1.386e+01
16	1.810e+02	1.345e+01	8.600e+01	9.274e+00	2.200e+02	1.483e+01	1.620e+02	1.273e+01	7.600e+01	8.718e+00	1.670e+02	1.292e+01	1.310e+02	1.145e+01	1.600e+02	1.265e+01	1.690e+02	1.300e+01	8.600e+01	9.274e+00	1.820e+02	1.349e+01
17	2.180e+02	1.476e+01	9.800e+01	9.899e+00	2.210e+02	1.487e+01	1.570e+02	1.253e+01	6.600e+01	8.124e+00	1.590e+02	1.261e+01	1.450e+02	1.204e+01	1.700e+02	1.304e+01	1.630e+02	1.277e+01	1.090e+02	1.044e+01	1.650e+02	1.285e+01
18	2.060e+02	1.435e+01	8.300e+01	9.110e+00	2.380e+02	1.543e+01	1.470e+02	1.212e+01	7.300e+01	8.544e+00	1.850e+02	1.360e+01	1.480e+02	1.217e+01	2.000e+02	1.414e+01	1.830e+02	1.353e+01	9.600e+01	9.798e+00	1.920e+02	1.386e+01
19	1.880e+02	1.371e+01	8.200e+01	9.055e+00	2.100e+02	1.449e+01	1.590e+02	1.261e+01	6.200e+01	7.874e+00	1.740e+02	1.319e+01	1.370e+02	1.170e+01	1.680e+02	1.296e+01	1.890e+02	1.375e+01	1.110e+02	1.054e+01	1.920e+02	1.386e+01
20	2.070e+02	1.439e+01	9.600e+01	9.798e+00	1.910e+02	1.382e+01	1.640e+02	1.281e+01	6.700e+01	8.185e+00	1.580e+02	1.257e+01	1.350e+02	1.162e+01	1.800e+02	1.342e+01	1.560e+02	1.249e+01	9.300e+01	9.644e+00	2.100e+02	1.449e+01
21	1.830e+02	1.353e+01	8.000e+01	8.944e+00	2.090e+02	1.446e+01	1.840e+02	1.356e+01	7.300e+01	8.544e+00	1.670e+02	1.292e+01	1.290e+02	1.136e+01	1.460e+02	1.208e+01	1.750e+02	1.323e+01	9.200e+01	9.592e+00	1.680e+02	1.296e+01
22	1.990e+02	1.411e+01	9.900e+01	9.950e+00	1.840e+02	1.356e+01	1.740e+02	1.319e+01	7.400e+01	8.602e+00	1.200e+02	1.095e+01	1.190e+02	1.091e+01	1.300e+02	1.140e+01	1.620e+02	1.273e+01	1.080e+02	1.039e+01	1.550e+02	1.245e+01
23	1.830e+02	1.353e+01	8.500e+01	9.220e+00	1.840e+02	1.356e+01	1.440e+02	1.200e+01	8.000e+01	8.944e+00	1.510e+02	1.229e+01	1.210e+02	1.100e+01	1.580e+02	1.257e+01	1.480e+02	1.217e+01	9.800e+01	9.899e+00	1.700e+02	1.304e+01
24	1.930e+02	1.389e+01	8.500e+01	9.220e+00	2.210e+02	1.487e+01	1.780e+02	1.334e+01	6.500e+01	8.062e+00	1.680e+02	1.296e+01	1.320e+02	1.149e+01	1.720e+02	1.311e+01	1.700e+02	1.304e+01	9.200e+01	9.592e+00	2.010e+02	1.418e+01
25	1.780e+02	1.334e+01	8.900e+01	9.434e+00	1.960e+02	1.400e+01	1.490e+02	1.221e+01	9.600e+01	9.798e+00	1.520e+02	1.233e+01	1.140e+02	1.068e+01	1.680e+02	1.296e+01	1.450e+02	1.204e+01	9.900e+01	9.950e+00	2.260e+02	1.503e+01
