# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210907_Std2_4/: 12C14N
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4
# plane	POL=2		POL=1		POL=2		POL=1	
1	2.900e+04	1.703e+02	1.162e+04	1.078e+02	8.083e+03	8.991e+01	9.730e+02	3.119e+01
2	2.968e+04	1.723e+02	1.250e+04	1.118e+02	8.257e+03	9.087e+01	1.062e+03	3.259e+01
3	2.996e+04	1.731e+02	1.268e+04	1.126e+02	8.093e+03	8.996e+01	1.008e+03	3.175e+01
4	2.904e+04	1.704e+02	1.228e+04	1.108e+02	7.999e+03	8.944e+01	1.058e+03	3.253e+01
5	2.798e+04	1.673e+02	1.203e+04	1.097e+02	7.822e+03	8.844e+01	1.071e+03	3.273e+01
6	2.783e+04	1.668e+02	1.166e+04	1.080e+02	7.515e+03	8.669e+01	9.870e+02	3.142e+01
7	2.667e+04	1.633e+02	1.146e+04	1.070e+02	7.098e+03	8.425e+01	1.076e+03	3.280e+01
8	2.575e+04	1.605e+02	1.113e+04	1.055e+02	6.950e+03	8.337e+01	9.840e+02	3.137e+01
9	2.462e+04	1.569e+02	1.123e+04	1.060e+02	6.548e+03	8.092e+01	9.490e+02	3.081e+01
10	2.404e+04	1.551e+02	1.118e+04	1.057e+02	6.302e+03	7.939e+01	9.420e+02	3.069e+01
11	2.347e+04	1.532e+02	1.107e+04	1.052e+02	6.251e+03	7.906e+01	9.570e+02	3.094e+01
12	2.292e+04	1.514e+02	1.069e+04	1.034e+02	5.967e+03	7.725e+01	9.940e+02	3.153e+01
13	2.220e+04	1.490e+02	1.076e+04	1.037e+02	5.887e+03	7.673e+01	9.450e+02	3.074e+01
14	2.168e+04	1.472e+02	1.056e+04	1.027e+02	5.735e+03	7.573e+01	1.020e+03	3.194e+01
15	2.107e+04	1.452e+02	1.032e+04	1.016e+02	5.617e+03	7.495e+01	9.350e+02	3.058e+01
16	2.056e+04	1.434e+02	1.017e+04	1.009e+02	5.304e+03	7.283e+01	9.140e+02	3.023e+01
17	2.039e+04	1.428e+02	1.025e+04	1.013e+02	5.212e+03	7.219e+01	9.680e+02	3.111e+01
18	1.998e+04	1.414e+02	1.002e+04	1.001e+02	5.182e+03	7.199e+01	9.370e+02	3.061e+01
19	1.956e+04	1.399e+02	1.024e+04	1.012e+02	5.025e+03	7.089e+01	8.730e+02	2.955e+01
20	1.922e+04	1.386e+02	9.898e+03	9.949e+01	4.961e+03	7.043e+01	9.270e+02	3.045e+01
21	1.850e+04	1.360e+02	9.842e+03	9.921e+01	4.973e+03	7.052e+01	8.560e+02	2.926e+01
22	1.885e+04	1.373e+02	9.766e+03	9.882e+01	4.867e+03	6.976e+01	8.850e+02	2.975e+01
23	1.859e+04	1.363e+02	9.615e+03	9.806e+01	4.762e+03	6.901e+01	8.330e+02	2.886e+01
24	1.782e+04	1.335e+02	9.516e+03	9.755e+01	4.588e+03	6.773e+01	7.940e+02	2.818e+01
25	1.781e+04	1.335e+02	9.565e+03	9.780e+01	4.495e+03	6.704e+01	8.330e+02	2.886e+01
26	1.743e+04	1.320e+02	9.328e+03	9.658e+01	4.529e+03	6.730e+01	8.040e+02	2.835e+01
27	1.708e+04	1.307e+02	9.473e+03	9.733e+01	4.438e+03	6.662e+01	8.100e+02	2.846e+01
28	1.684e+04	1.298e+02	9.138e+03	9.559e+01	4.309e+03	6.564e+01	7.640e+02	2.764e+01
29	1.691e+04	1.300e+02	9.199e+03	9.591e+01	4.295e+03	6.554e+01	7.330e+02	2.707e+01
30	1.664e+04	1.290e+02	9.533e+03	9.764e+01	4.187e+03	6.471e+01	7.750e+02	2.784e+01
